id,Météo,Moment de la journée,État de la route,Espace devant sur voie principale,Vitesse sur voie principale,Distance sur voie principale,Type de véhicule sur voie principale,Besoin du passager,Rôle du véhicule autonome,Type de véhicule suivant,État du véhicule,Distance jusqu'au point de fusion,Vitesse du véhicule
8552,Ensoleillé,Jour,Sec,100 mètres,35 km/h,50 mètres,Camion,Pas de besoin particulier,Voiture,Aucun,En approche,100 mètres,80 km/h
8640,Ensoleillé,Jour,Sec,100 mètres,35 km/h,50 mètres,Camion,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,10 mètres,30 km/h
8961,Ensoleillé,Jour,Sec,100 mètres,35 km/h,100 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,À l'arrêt,0 mètre,0 km/h
9009,Ensoleillé,Jour,Sec,100 mètres,35 km/h,100 mètres,Voiture,Pressé (travail/vol),Voiture,Aucun,En approche,10 mètres,50 km/h
9101,Ensoleillé,Jour,Sec,100 mètres,35 km/h,100 mètres,Voiture,Pas de besoin particulier,Voiture,Voiture,À l'arrêt,0 mètre,0 km/h
9255,Ensoleillé,Jour,Sec,100 mètres,35 km/h,100 mètres,Camion,Urgent (transport médical),Camion,Voiture,En approche,50 mètres,80 km/h
9586,Ensoleillé,Jour,Sec,100 mètres,35 km/h,100 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,50 mètres,50 km/h
9656,Ensoleillé,Jour,Sec,100 mètres,35 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,50 mètres,50 km/h
10059,Ensoleillé,Jour,Sec,100 mètres,60 km/h,50 mètres,Camion,Urgent (transport médical),Camion,Aucun,En approche,10 mètres,50 km/h
10138,Ensoleillé,Jour,Sec,100 mètres,60 km/h,50 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,80 km/h
10164,Ensoleillé,Jour,Sec,100 mètres,60 km/h,50 mètres,Camion,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,100 mètres,30 km/h
10309,Ensoleillé,Jour,Sec,100 mètres,60 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,10 mètres,50 km/h
10482,Ensoleillé,Jour,Sec,100 mètres,60 km/h,50 mètres,Véhicule prioritaire,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,100 mètres,80 km/h
10642,Ensoleillé,Jour,Sec,100 mètres,60 km/h,100 mètres,Voiture,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,100 mètres,80 km/h
10747,Ensoleillé,Jour,Sec,100 mètres,60 km/h,100 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Aucun,En approche,50 mètres,30 km/h
10753,Ensoleillé,Jour,Sec,100 mètres,60 km/h,100 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,100 mètres,50 km/h
11082,Ensoleillé,Jour,Sec,100 mètres,60 km/h,100 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Voiture,En approche,100 mètres,80 km/h
11380,Ensoleillé,Jour,Sec,100 mètres,60 km/h,150 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,10 mètres,30 km/h
11687,Ensoleillé,Jour,Sec,100 mètres,60 km/h,150 mètres,Camion,Urgent (transport médical),Camion,Voiture,En approche,50 mètres,30 km/h
11689,Ensoleillé,Jour,Sec,100 mètres,60 km/h,150 mètres,Camion,Urgent (transport médical),Camion,Voiture,En approche,10 mètres,50 km/h
11747,Ensoleillé,Jour,Sec,100 mètres,60 km/h,150 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,50 mètres,30 km/h
11759,Ensoleillé,Jour,Sec,100 mètres,60 km/h,150 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,50 km/h
11896,Ensoleillé,Jour,Sec,100 mètres,60 km/h,150 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Voiture,En approche,50 mètres,50 km/h
12119,Ensoleillé,Jour,Sec,100 mètres,60 km/h,150 mètres,Véhicule prioritaire,Pas de besoin particulier,Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,50 km/h
12284,Ensoleillé,Jour,Sec,100 mètres,100 km/h,100 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,100 mètres,30 km/h
12536,Ensoleillé,Jour,Sec,100 mètres,100 km/h,100 mètres,Camion,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,50 mètres,50 km/h
12557,Ensoleillé,Jour,Sec,100 mètres,100 km/h,100 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,50 mètres,30 km/h
12733,Ensoleillé,Jour,Sec,100 mètres,100 km/h,100 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,100 mètres,50 km/h
12815,Ensoleillé,Jour,Sec,100 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,50 mètres,80 km/h
12882,Ensoleillé,Jour,Sec,100 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Voiture,En approche,100 mètres,80 km/h
13003,Ensoleillé,Jour,Sec,100 mètres,100 km/h,150 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,100 mètres,50 km/h
13126,Ensoleillé,Jour,Sec,100 mètres,100 km/h,150 mètres,Voiture,Pressé (travail/vol),Camion,Voiture,En approche,50 mètres,50 km/h
13396,Ensoleillé,Jour,Sec,100 mètres,100 km/h,150 mètres,Camion,Pressé (travail/vol),Camion,Voiture,En approche,50 mètres,50 km/h
13453,Ensoleillé,Jour,Sec,100 mètres,100 km/h,150 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,100 mètres,50 km/h
13503,Ensoleillé,Jour,Sec,100 mètres,100 km/h,150 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Aucun,En approche,100 mètres,50 km/h
13689,Ensoleillé,Jour,Sec,100 mètres,100 km/h,150 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Aucun,En approche,10 mètres,50 km/h
14211,Ensoleillé,Jour,Sec,100 mètres,100 km/h,200 mètres,Camion,Pressé (travail/vol),Camion,Véhicule prioritaire,À l'arrêt,0 mètre,0 km/h
14520,Ensoleillé,Jour,Sec,100 mètres,100 km/h,200 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,10 mètres,30 km/h
14623,Ensoleillé,Jour,Sec,50 mètres,35 km/h,10 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,100 mètres,50 km/h
14746,Ensoleillé,Jour,Sec,50 mètres,35 km/h,10 mètres,Voiture,Pressé (travail/vol),Camion,Voiture,En approche,50 mètres,50 km/h
15126,Ensoleillé,Jour,Sec,50 mètres,35 km/h,10 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Aucun,En approche,50 mètres,50 km/h
15160,Ensoleillé,Jour,Sec,50 mètres,35 km/h,10 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,10 mètres,30 km/h
15526,Ensoleillé,Jour,Sec,50 mètres,35 km/h,50 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,50 mètres,50 km/h
15545,Ensoleillé,Jour,Sec,50 mètres,35 km/h,50 mètres,Voiture,Pressé (travail/vol),Camion,Aucun,En approche,50 mètres,80 km/h
15609,Ensoleillé,Jour,Sec,50 mètres,35 km/h,50 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Aucun,En approche,10 mètres,50 km/h
15723,Ensoleillé,Jour,Sec,50 mètres,35 km/h,50 mètres,Camion,Urgent (transport médical),Camion,Aucun,En approche,100 mètres,50 km/h
16047,Ensoleillé,Jour,Sec,50 mètres,35 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,50 mètres,30 km/h
17133,Ensoleillé,Jour,Sec,50 mètres,60 km/h,50 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,100 mètres,50 km/h
17142,Ensoleillé,Jour,Sec,50 mètres,60 km/h,50 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,100 mètres,80 km/h
17243,Ensoleillé,Jour,Sec,50 mètres,60 km/h,50 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,50 km/h
17305,Ensoleillé,Jour,Sec,50 mètres,60 km/h,50 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,50 mètres,80 km/h
17477,Ensoleillé,Jour,Sec,50 mètres,60 km/h,50 mètres,Camion,Pas de besoin particulier,Voiture,Voiture,En approche,50 mètres,30 km/h
17713,Ensoleillé,Jour,Sec,50 mètres,60 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Voiture,En approche,100 mètres,50 km/h
17939,Ensoleillé,Jour,Sec,50 mètres,60 km/h,100 mètres,Voiture,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
17955,Ensoleillé,Jour,Sec,50 mètres,60 km/h,100 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,50 mètres,80 km/h
18105,Ensoleillé,Jour,Sec,50 mètres,60 km/h,100 mètres,Camion,Urgent (transport médical),Voiture,Voiture,En approche,50 mètres,80 km/h
18273,Ensoleillé,Jour,Sec,50 mètres,60 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Aucun,En approche,100 mètres,50 km/h
18476,Ensoleillé,Jour,Sec,50 mètres,60 km/h,100 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,50 mètres,50 km/h
18759,Ensoleillé,Jour,Sec,50 mètres,60 km/h,150 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,10 mètres,50 km/h
19019,Ensoleillé,Jour,Sec,50 mètres,60 km/h,150 mètres,Camion,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
19103,Ensoleillé,Jour,Sec,50 mètres,60 km/h,150 mètres,Camion,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,100 mètres,50 km/h
19218,Ensoleillé,Jour,Sec,50 mètres,60 km/h,150 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,10 mètres,80 km/h
19394,Ensoleillé,Jour,Sec,50 mètres,60 km/h,150 mètres,Véhicule prioritaire,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,100 mètres,30 km/h
19687,Ensoleillé,Jour,Sec,50 mètres,100 km/h,100 mètres,Voiture,Pas de besoin particulier,Camion,Aucun,En approche,50 mètres,30 km/h
20085,Ensoleillé,Jour,Sec,50 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Voiture,En approche,50 mètres,80 km/h
20281,Ensoleillé,Jour,Sec,50 mètres,100 km/h,150 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Aucun,À l'arrêt,0 mètre,0 km/h
20368,Ensoleillé,Jour,Sec,50 mètres,100 km/h,150 mètres,Voiture,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,10 mètres,80 km/h
20819,Ensoleillé,Jour,Sec,50 mètres,100 km/h,150 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
20855,Ensoleillé,Jour,Sec,50 mètres,100 km/h,150 mètres,Véhicule prioritaire,Urgent (transport médical),Camion,Aucun,En approche,50 mètres,80 km/h
21089,Ensoleillé,Jour,Sec,50 mètres,100 km/h,200 mètres,Voiture,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
21130,Ensoleillé,Jour,Sec,50 mètres,100 km/h,200 mètres,Voiture,Urgent (transport médical),Camion,Aucun,En approche,10 mètres,30 km/h
21238,Ensoleillé,Jour,Sec,50 mètres,100 km/h,200 mètres,Voiture,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,10 mètres,80 km/h
21449,Ensoleillé,Jour,Sec,50 mètres,100 km/h,200 mètres,Camion,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,10 mètres,50 km/h
21900,Ensoleillé,Jour,Sec,20 mètres,35 km/h,10 mètres,Voiture,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,10 mètres,30 km/h
22049,Ensoleillé,Jour,Sec,20 mètres,35 km/h,10 mètres,Voiture,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,10 mètres,50 km/h
22136,Ensoleillé,Jour,Sec,20 mètres,35 km/h,10 mètres,Voiture,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,50 mètres,50 km/h
22729,Ensoleillé,Jour,Sec,20 mètres,35 km/h,50 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,10 mètres,50 km/h
22810,Ensoleillé,Jour,Sec,20 mètres,35 km/h,50 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,10 mètres,30 km/h
22859,Ensoleillé,Jour,Sec,20 mètres,35 km/h,50 mètres,Voiture,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,10 mètres,50 km/h
22988,Ensoleillé,Jour,Sec,20 mètres,35 km/h,50 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,10 mètres,80 km/h
23126,Ensoleillé,Jour,Sec,20 mètres,35 km/h,50 mètres,Camion,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,50 mètres,50 km/h
23178,Ensoleillé,Jour,Sec,20 mètres,35 km/h,50 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,10 mètres,80 km/h
23231,Ensoleillé,Jour,Sec,20 mètres,35 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Voiture,À l'arrêt,0 mètre,0 km/h
23341,Ensoleillé,Jour,Sec,20 mètres,35 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Aucun,À l'arrêt,0 mètre,0 km/h
23374,Ensoleillé,Jour,Sec,20 mètres,35 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Aucun,En approche,100 mètres,30 km/h
23589,Ensoleillé,Jour,Sec,20 mètres,35 km/h,100 mètres,Voiture,Pressé (travail/vol),Voiture,Aucun,En approche,10 mètres,50 km/h
23894,Ensoleillé,Jour,Sec,20 mètres,35 km/h,100 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,100 mètres,30 km/h
23973,Ensoleillé,Jour,Sec,20 mètres,35 km/h,100 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Aucun,En approche,100 mètres,50 km/h
24228,Ensoleillé,Jour,Sec,20 mètres,35 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Voiture,En approche,10 mètres,80 km/h
24290,Ensoleillé,Jour,Sec,20 mètres,35 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Voiture,En approche,10 mètres,30 km/h
24342,Ensoleillé,Jour,Sec,20 mètres,60 km/h,50 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,100 mètres,80 km/h
25014,Ensoleillé,Jour,Sec,20 mètres,60 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,100 mètres,30 km/h
25018,Ensoleillé,Jour,Sec,20 mètres,60 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,10 mètres,80 km/h
25110,Ensoleillé,Jour,Sec,20 mètres,60 km/h,50 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,10 mètres,30 km/h
25360,Ensoleillé,Jour,Sec,20 mètres,60 km/h,100 mètres,Voiture,Pas de besoin particulier,Camion,Aucun,En approche,10 mètres,30 km/h
25386,Ensoleillé,Jour,Sec,20 mètres,60 km/h,100 mètres,Camion,Urgent (transport médical),Voiture,Aucun,En approche,50 mètres,50 km/h
25661,Ensoleillé,Jour,Sec,20 mètres,60 km/h,100 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Voiture,À l'arrêt,0 mètre,0 km/h
25877,Ensoleillé,Jour,Sec,20 mètres,60 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Véhicule prioritaire,Voiture,En approche,50 mètres,30 km/h
26268,Ensoleillé,Jour,Sec,20 mètres,60 km/h,150 mètres,Camion,Urgent (transport médical),Camion,Voiture,En approche,10 mètres,80 km/h
26725,Ensoleillé,Jour,Sec,20 mètres,60 km/h,150 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,50 mètres,80 km/h
27003,Ensoleillé,Jour,Sec,20 mètres,100 km/h,100 mètres,Camion,Urgent (transport médical),Voiture,Aucun,En approche,100 mètres,50 km/h
27186,Ensoleillé,Jour,Sec,20 mètres,100 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Aucun,En approche,50 mètres,50 km/h
27360,Ensoleillé,Jour,Sec,20 mètres,100 km/h,100 mètres,Véhicule prioritaire,Urgent (transport médical),Camion,Véhicule prioritaire,En approche,10 mètres,30 km/h
27383,Ensoleillé,Jour,Sec,20 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,100 mètres,50 km/h
27471,Ensoleillé,Jour,Sec,20 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Véhicule prioritaire,À l'arrêt,0 mètre,0 km/h
27521,Ensoleillé,Jour,Sec,20 mètres,100 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Voiture,À l'arrêt,0 mètre,0 km/h
27689,Ensoleillé,Jour,Sec,20 mètres,100 km/h,150 mètres,Voiture,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,50 km/h
27883,Ensoleillé,Jour,Sec,20 mètres,100 km/h,150 mètres,Camion,Urgent (transport médical),Camion,Voiture,En approche,100 mètres,50 km/h
27901,Ensoleillé,Jour,Sec,20 mètres,100 km/h,150 mètres,Camion,Pressé (travail/vol),Voiture,Aucun,À l'arrêt,0 mètre,0 km/h
