id,天气,时间,路况,主车道前方空隙,主车道车速,主车道车距,主车道车辆类型,乘客需求,本车角色,后车类型,本车状态,本车距合流点距离,本车速度
3983,晴天,白天,干燥,畅通,60公里/小时,100米,应急车辆,无特别需求,普通轿车,应急车辆,接近中,100米,50公里/小时
4050,晴天,白天,干燥,畅通,60公里/小时,100米,应急车辆,无特别需求,卡车,应急车辆,接近中,10米,30公里/小时
4094,晴天,白天,干燥,畅通,60公里/小时,150米,普通轿车,紧急（送医）,应急车辆,普通轿车,接近中,100米,30公里/小时
4248,晴天,白天,干燥,畅通,60公里/小时,150米,普通轿车,无特别需求,普通轿车,普通轿车,接近中,10米,80公里/小时
4404,晴天,白天,干燥,畅通,60公里/小时,150米,卡车,紧急（送医）,卡车,应急车辆,接近中,100米,30公里/小时
4689,晴天,白天,干燥,畅通,60公里/小时,150米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,无,接近中,10米,50公里/小时
4730,晴天,白天,干燥,畅通,60公里/小时,150米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,10米,30公里/小时
4856,晴天,白天,干燥,畅通,60公里/小时,150米,应急车辆,无特别需求,卡车,应急车辆,接近中,50米,50公里/小时
4947,晴天,白天,干燥,畅通,100公里/小时,100米,普通轿车,紧急（送医）,卡车,应急车辆,接近中,50米,30公里/小时
5029,晴天,白天,干燥,畅通,100公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,10米,50公里/小时
5299,晴天,白天,干燥,畅通,100公里/小时,100米,卡车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,10米,50公里/小时
5325,晴天,白天,干燥,畅通,100公里/小时,100米,卡车,无特别需求,普通轿车,普通轿车,接近中,50米,80公里/小时
5961,晴天,白天,干燥,畅通,100公里/小时,150米,卡车,紧急（送医）,普通轿车,应急车辆,静止,0米,0公里/小时
6514,晴天,白天,干燥,畅通,100公里/小时,200米,普通轿车,紧急（送医）,应急车辆,无,接近中,100米,30公里/小时
6577,晴天,白天,干燥,畅通,100公里/小时,200米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,无,接近中,50米,30公里/小时
6793,晴天,白天,干燥,畅通,100公里/小时,200米,卡车,紧急（送医）,应急车辆,普通轿车,接近中,100米,50公里/小时
6807,晴天,白天,干燥,畅通,100公里/小时,200米,卡车,紧急（送医）,应急车辆,应急车辆,接近中,50米,30公里/小时
7093,晴天,白天,干燥,畅通,100公里/小时,200米,应急车辆,紧急（送医）,卡车,普通轿车,接近中,100米,50公里/小时
7159,晴天,白天,干燥,畅通,100公里/小时,200米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,10米,50公里/小时
7163,晴天,白天,干燥,畅通,100公里/小时,200米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,100米,50公里/小时
7691,晴天,白天,干燥,100米,35公里/小时,10米,卡车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,静止,0米,0公里/小时
7719,晴天,白天,干燥,100米,35公里/小时,10米,卡车,赶时间（通勤/赶飞机）,卡车,无,接近中,10米,50公里/小时
7731,晴天,白天,干燥,100米,35公里/小时,10米,卡车,赶时间（通勤/赶飞机）,卡车,应急车辆,静止,0米,0公里/小时
7773,晴天,白天,干燥,100米,35公里/小时,10米,卡车,无特别需求,应急车辆,无,接近中,100米,50公里/小时
7963,晴天,白天,干燥,100米,35公里/小时,10米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,100米,50公里/小时
8115,晴天,白天,干燥,100米,35公里/小时,50米,普通轿车,紧急（送医）,普通轿车,普通轿车,接近中,50米,80公里/小时
8271,晴天,白天,干燥,100米,35公里/小时,50米,普通轿车,赶时间（通勤/赶飞机）,卡车,应急车辆,静止,0米,0公里/小时
8334,晴天,白天,干燥,100米,35公里/小时,50米,普通轿车,无特别需求,应急车辆,应急车辆,接近中,100米,30公里/小时
8356,晴天,白天,干燥,100米,35公里/小时,50米,普通轿车,无特别需求,卡车,普通轿车,接近中,50米,50公里/小时
8552,晴天,白天,干燥,100米,35公里/小时,50米,卡车,无特别需求,普通轿车,无,接近中,100米,80公里/小时
8640,晴天,白天,干燥,100米,35公里/小时,50米,卡车,无特别需求,卡车,应急车辆,接近中,10米,30公里/小时
8961,晴天,白天,干燥,100米,35公里/小时,100米,普通轿车,紧急（送医）,应急车辆,应急车辆,静止,0米,0公里/小时
9009,晴天,白天,干燥,100米,35公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,无,接近中,10米,50公里/小时
9101,晴天,白天,干燥,100米,35公里/小时,100米,普通轿车,无特别需求,普通轿车,普通轿车,静止,0米,0公里/小时
9255,晴天,白天,干燥,100米,35公里/小时,100米,卡车,紧急（送医）,卡车,普通轿车,接近中,50米,80公里/小时
9586,晴天,白天,干燥,100米,35公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,50米,50公里/小时
9656,晴天,白天,干燥,100米,35公里/小时,100米,应急车辆,无特别需求,普通轿车,应急车辆,接近中,50米,50公里/小时
10059,晴天,白天,干燥,100米,60公里/小时,50米,卡车,紧急（送医）,卡车,无,接近中,10米,50公里/小时
10138,晴天,白天,干燥,100米,60公里/小时,50米,卡车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,10米,80公里/小时
10164,晴天,白天,干燥,100米,60公里/小时,50米,卡车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,100米,30公里/小时
10309,晴天,白天,干燥,100米,60公里/小时,50米,应急车辆,紧急（送医）,应急车辆,普通轿车,接近中,10米,50公里/小时
10482,晴天,白天,干燥,100米,60公里/小时,50米,应急车辆,无特别需求,应急车辆,普通轿车,接近中,100米,80公里/小时
10642,晴天,白天,干燥,100米,60公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,100米,80公里/小时
10747,晴天,白天,干燥,100米,60公里/小时,100米,普通轿车,无特别需求,应急车辆,无,接近中,50米,30公里/小时
10753,晴天,白天,干燥,100米,60公里/小时,100米,普通轿车,无特别需求,应急车辆,普通轿车,接近中,100米,50公里/小时
11082,晴天,白天,干燥,100米,60公里/小时,100米,应急车辆,紧急（送医）,普通轿车,普通轿车,接近中,100米,80公里/小时
11380,晴天,白天,干燥,100米,60公里/小时,150米,普通轿车,紧急（送医）,应急车辆,无,接近中,10米,30公里/小时
11687,晴天,白天,干燥,100米,60公里/小时,150米,卡车,紧急（送医）,卡车,普通轿车,接近中,50米,30公里/小时
11689,晴天,白天,干燥,100米,60公里/小时,150米,卡车,紧急（送医）,卡车,普通轿车,接近中,10米,50公里/小时
11747,晴天,白天,干燥,100米,60公里/小时,150米,卡车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,50米,30公里/小时
11759,晴天,白天,干燥,100米,60公里/小时,150米,卡车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,10米,50公里/小时
11896,晴天,白天,干燥,100米,60公里/小时,150米,应急车辆,紧急（送医）,普通轿车,普通轿车,接近中,50米,50公里/小时
12119,晴天,白天,干燥,100米,60公里/小时,150米,应急车辆,无特别需求,应急车辆,应急车辆,接近中,10米,50公里/小时
12284,晴天,白天,干燥,100米,100公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,100米,30公里/小时
12536,晴天,白天,干燥,100米,100公里/小时,100米,卡车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,50米,50公里/小时
12557,晴天,白天,干燥,100米,100公里/小时,100米,卡车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,50米,30公里/小时
12733,晴天,白天,干燥,100米,100公里/小时,100米,应急车辆,紧急（送医）,应急车辆,普通轿车,接近中,100米,50公里/小时
12815,晴天,白天,干燥,100米,100公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,无,接近中,50米,80公里/小时
12882,晴天,白天,干燥,100米,100公里/小时,100米,应急车辆,无特别需求,普通轿车,普通轿车,接近中,100米,80公里/小时
13003,晴天,白天,干燥,100米,100公里/小时,150米,普通轿车,紧急（送医）,应急车辆,普通轿车,接近中,100米,50公里/小时
13126,晴天,白天,干燥,100米,100公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,50米,50公里/小时
13396,晴天,白天,干燥,100米,100公里/小时,150米,卡车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,50米,50公里/小时
13453,晴天,白天,干燥,100米,100公里/小时,150米,卡车,无特别需求,应急车辆,普通轿车,接近中,100米,50公里/小时
13503,晴天,白天,干燥,100米,100公里/小时,150米,应急车辆,紧急（送医）,普通轿车,无,接近中,100米,50公里/小时
13689,晴天,白天,干燥,100米,100公里/小时,150米,应急车辆,无特别需求,普通轿车,无,接近中,10米,50公里/小时
14211,晴天,白天,干燥,100米,100公里/小时,200米,卡车,赶时间（通勤/赶飞机）,卡车,应急车辆,静止,0米,0公里/小时
14520,晴天,白天,干燥,100米,100公里/小时,200米,应急车辆,无特别需求,普通轿车,应急车辆,接近中,10米,30公里/小时
14623,晴天,白天,干燥,50米,35公里/小时,10米,普通轿车,紧急（送医）,应急车辆,普通轿车,接近中,100米,50公里/小时
14746,晴天,白天,干燥,50米,35公里/小时,10米,普通轿车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,50米,50公里/小时
15126,晴天,白天,干燥,50米,35公里/小时,10米,应急车辆,紧急（送医）,普通轿车,无,接近中,50米,50公里/小时
15160,晴天,白天,干燥,50米,35公里/小时,10米,应急车辆,紧急（送医）,应急车辆,无,接近中,10米,30公里/小时
15526,晴天,白天,干燥,50米,35公里/小时,50米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,50米,50公里/小时
15545,晴天,白天,干燥,50米,35公里/小时,50米,普通轿车,赶时间（通勤/赶飞机）,卡车,无,接近中,50米,80公里/小时
15609,晴天,白天,干燥,50米,35公里/小时,50米,普通轿车,无特别需求,应急车辆,无,接近中,10米,50公里/小时
15723,晴天,白天,干燥,50米,35公里/小时,50米,卡车,紧急（送医）,卡车,无,接近中,100米,50公里/小时
16047,晴天,白天,干燥,50米,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,50米,30公里/小时
17133,晴天,白天,干燥,50米,60公里/小时,50米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,100米,50公里/小时
17142,晴天,白天,干燥,50米,60公里/小时,50米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,100米,80公里/小时
17243,晴天,白天,干燥,50米,60公里/小时,50米,普通轿车,无特别需求,应急车辆,应急车辆,接近中,100米,50公里/小时
17305,晴天,白天,干燥,50米,60公里/小时,50米,卡车,紧急（送医）,普通轿车,应急车辆,接近中,50米,80公里/小时
17477,晴天,白天,干燥,50米,60公里/小时,50米,卡车,无特别需求,普通轿车,普通轿车,接近中,50米,30公里/小时
17713,晴天,白天,干燥,50米,60公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,100米,50公里/小时
17939,晴天,白天,干燥,50米,60公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,10米,50公里/小时
17955,晴天,白天,干燥,50米,60公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,50米,80公里/小时
18105,晴天,白天,干燥,50米,60公里/小时,100米,卡车,紧急（送医）,普通轿车,普通轿车,接近中,50米,80公里/小时
18273,晴天,白天,干燥,50米,60公里/小时,100米,卡车,无特别需求,普通轿车,无,接近中,100米,50公里/小时
18476,晴天,白天,干燥,50米,60公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,50米,50公里/小时
18759,晴天,白天,干燥,50米,60公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,10米,50公里/小时
19019,晴天,白天,干燥,50米,60公里/小时,150米,卡车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,10米,50公里/小时
19103,晴天,白天,干燥,50米,60公里/小时,150米,卡车,无特别需求,普通轿车,应急车辆,接近中,100米,50公里/小时
19218,晴天,白天,干燥,50米,60公里/小时,150米,应急车辆,紧急（送医）,应急车辆,普通轿车,接近中,10米,80公里/小时
19394,晴天,白天,干燥,50米,60公里/小时,150米,应急车辆,无特别需求,应急车辆,普通轿车,接近中,100米,30公里/小时
19687,晴天,白天,干燥,50米,100公里/小时,100米,普通轿车,无特别需求,卡车,无,接近中,50米,30公里/小时
20085,晴天,白天,干燥,50米,100公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,普通轿车,接近中,50米,80公里/小时
20281,晴天,白天,干燥,50米,100公里/小时,150米,普通轿车,紧急（送医）,应急车辆,无,静止,0米,0公里/小时
20368,晴天,白天,干燥,50米,100公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,10米,80公里/小时
20819,晴天,白天,干燥,50米,100公里/小时,150米,应急车辆,紧急（送医）,普通轿车,应急车辆,接近中,10米,50公里/小时
20855,晴天,白天,干燥,50米,100公里/小时,150米,应急车辆,紧急（送医）,卡车,无,接近中,50米,80公里/小时
21089,晴天,白天,干燥,50米,100公里/小时,200米,普通轿车,紧急（送医）,普通轿车,应急车辆,接近中,10米,50公里/小时
21130,晴天,白天,干燥,50米,100公里/小时,200米,普通轿车,紧急（送医）,卡车,无,接近中,10米,30公里/小时
21238,晴天,白天,干燥,50米,100公里/小时,200米,普通轿车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,10米,80公里/小时
21449,晴天,白天,干燥,50米,100公里/小时,200米,卡车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,10米,50公里/小时
21900,晴天,白天,干燥,20米,35公里/小时,10米,普通轿车,紧急（送医）,普通轿车,应急车辆,接近中,10米,30公里/小时
22049,晴天,白天,干燥,20米,35公里/小时,10米,普通轿车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,10米,50公里/小时
22136,晴天,白天,干燥,20米,35公里/小时,10米,普通轿车,无特别需求,卡车,应急车辆,接近中,50米,50公里/小时
22729,晴天,白天,干燥,20米,35公里/小时,50米,普通轿车,紧急（送医）,应急车辆,普通轿车,接近中,10米,50公里/小时
22810,晴天,白天,干燥,20米,35公里/小时,50米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,无,接近中,10米,30公里/小时
22859,晴天,白天,干燥,20米,35公里/小时,50米,普通轿车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,10米,50公里/小时
22988,晴天,白天,干燥,20米,35公里/小时,50米,卡车,紧急（送医）,应急车辆,无,接近中,10米,80公里/小时
23126,晴天,白天,干燥,20米,35公里/小时,50米,卡车,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,50米,50公里/小时
23178,晴天,白天,干燥,20米,35公里/小时,50米,卡车,无特别需求,应急车辆,普通轿车,接近中,10米,80公里/小时
23231,晴天,白天,干燥,20米,35公里/小时,50米,应急车辆,紧急（送医）,普通轿车,普通轿车,静止,0米,0公里/小时
23341,晴天,白天,干燥,20米,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,无,静止,0米,0公里/小时
23374,晴天,白天,干燥,20米,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,卡车,无,接近中,100米,30公里/小时
23589,晴天,白天,干燥,20米,35公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,普通轿车,无,接近中,10米,50公里/小时
23894,晴天,白天,干燥,20米,35公里/小时,100米,卡车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,100米,30公里/小时
23973,晴天,白天,干燥,20米,35公里/小时,100米,卡车,无特别需求,应急车辆,无,接近中,100米,50公里/小时
24228,晴天,白天,干燥,20米,35公里/小时,100米,应急车辆,无特别需求,普通轿车,普通轿车,接近中,10米,80公里/小时
24290,晴天,白天,干燥,20米,35公里/小时,100米,应急车辆,无特别需求,卡车,普通轿车,接近中,10米,30公里/小时
24342,晴天,白天,干燥,20米,60公里/小时,50米,普通轿车,紧急（送医）,应急车辆,普通轿车,接近中,100米,80公里/小时
25014,晴天,白天,干燥,20米,60公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,100米,30公里/小时
25018,晴天,白天,干燥,20米,60公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,10米,80公里/小时
25110,晴天,白天,干燥,20米,60公里/小时,50米,应急车辆,无特别需求,卡车,应急车辆,接近中,10米,30公里/小时
25360,晴天,白天,干燥,20米,60公里/小时,100米,普通轿车,无特别需求,卡车,无,接近中,10米,30公里/小时
25386,晴天,白天,干燥,20米,60公里/小时,100米,卡车,紧急（送医）,普通轿车,无,接近中,50米,50公里/小时
25661,晴天,白天,干燥,20米,60公里/小时,100米,应急车辆,紧急（送医）,普通轿车,普通轿车,静止,0米,0公里/小时
25877,晴天,白天,干燥,20米,60公里/小时,100米,应急车辆,无特别需求,应急车辆,普通轿车,接近中,50米,30公里/小时
26268,晴天,白天,干燥,20米,60公里/小时,150米,卡车,紧急（送医）,卡车,普通轿车,接近中,10米,80公里/小时
26725,晴天,白天,干燥,20米,60公里/小时,150米,应急车辆,无特别需求,卡车,应急车辆,接近中,50米,80公里/小时
27003,晴天,白天,干燥,20米,100公里/小时,100米,卡车,紧急（送医）,普通轿车,无,接近中,100米,50公里/小时
27186,晴天,白天,干燥,20米,100公里/小时,100米,卡车,无特别需求,普通轿车,无,接近中,50米,50公里/小时
27360,晴天,白天,干燥,20米,100公里/小时,100米,应急车辆,紧急（送医）,卡车,应急车辆,接近中,10米,30公里/小时
27383,晴天,白天,干燥,20米,100公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,100米,50公里/小时
27471,晴天,白天,干燥,20米,100公里/小时,100米,应急车辆,无特别需求,普通轿车,应急车辆,静止,0米,0公里/小时
27521,晴天,白天,干燥,20米,100公里/小时,100米,应急车辆,无特别需求,卡车,普通轿车,静止,0米,0公里/小时
27689,晴天,白天,干燥,20米,100公里/小时,150米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,10米,50公里/小时
27883,晴天,白天,干燥,20米,100公里/小时,150米,卡车,紧急（送医）,卡车,普通轿车,接近中,100米,50公里/小时
27901,晴天,白天,干燥,20米,100公里/小时,150米,卡车,赶时间（通勤/赶飞机）,普通轿车,无,静止,0米,0公里/小时
28141,晴天,白天,干燥,20米,100公里/小时,150米,应急车辆,紧急（送医）,卡车,无,静止,0米,0公里/小时
28268,晴天,白天,干燥,20米,100公里/小时,150米,应急车辆,无特别需求,普通轿车,无,接近中,10米,80公里/小时
28316,晴天,白天,干燥,20米,100公里/小时,150米,应急车辆,无特别需求,应急车辆,应急车辆,接近中,50米,50公里/小时
28347,晴天,白天,干燥,20米,100公里/小时,150米,应急车辆,无特别需求,卡车,应急车辆,接近中,50米,30公里/小时
28622,晴天,白天,干燥,20米,100公里/小时,200米,卡车,紧急（送医）,普通轿车,无,接近中,100米,80公里/小时
28707,晴天,白天,干燥,20米,100公里/小时,200米,卡车,紧急（送医）,卡车,应急车辆,接近中,50米,30公里/小时
28922,晴天,白天,干燥,20米,100公里/小时,200米,应急车辆,紧急（送医）,应急车辆,无,接近中,100米,80公里/小时
28959,晴天,白天,干燥,20米,100公里/小时,200米,应急车辆,紧急（送医）,卡车,无,接近中,10米,50公里/小时
29133,晴天,白天,干燥,20米,100公里/小时,200米,应急车辆,无特别需求,卡车,无,接近中,100米,50公里/小时
29310,晴天,白天,湿滑,畅通,35公里/小时,10米,普通轿车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,10米,30公里/小时
29355,晴天,白天,湿滑,畅通,35公里/小时,10米,普通轿车,无特别需求,普通轿车,普通轿车,接近中,50米,80公里/小时
29360,晴天,白天,湿滑,畅通,35公里/小时,10米,普通轿车,无特别需求,普通轿车,普通轿车,接近中,10米,30公里/小时
29414,晴天,白天,湿滑,畅通,35公里/小时,10米,普通轿车,无特别需求,卡车,普通轿车,接近中,100米,30公里/小时
29982,晴天,白天,湿滑,畅通,35公里/小时,50米,普通轿车,紧急（送医）,普通轿车,普通轿车,接近中,100米,80公里/小时
30211,晴天,白天,湿滑,畅通,35公里/小时,50米,普通轿车,无特别需求,卡车,无,静止,0米,0公里/小时
30335,晴天,白天,湿滑,畅通,35公里/小时,50米,卡车,赶时间（通勤/赶飞机）,普通轿车,无,接近中,50米,80公里/小时
30387,晴天,白天,湿滑,畅通,35公里/小时,50米,卡车,赶时间（通勤/赶飞机）,应急车辆,应急车辆,接近中,50米,30公里/小时
30606,晴天,白天,湿滑,畅通,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,无,接近中,50米,50公里/小时
30665,晴天,白天,湿滑,畅通,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,卡车,无,接近中,50米,80公里/小时
30671,晴天,白天,湿滑,畅通,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,卡车,普通轿车,静止,0米,0公里/小时
30688,晴天,白天,湿滑,畅通,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,10米,80公里/小时
30810,晴天,白天,湿滑,畅通,35公里/小时,100米,普通轿车,紧急（送医）,普通轿车,应急车辆,接近中,10米,30公里/小时
30942,晴天,白天,湿滑,畅通,35公里/小时,100米,普通轿车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,100米,80公里/小时
31115,晴天,白天,湿滑,畅通,35公里/小时,100米,卡车,紧急（送医）,卡车,无,接近中,50米,80公里/小时
31185,晴天,白天,湿滑,畅通,35公里/小时,100米,卡车,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,50米,80公里/小时
31904,晴天,白天,湿滑,畅通,60公里/小时,50米,卡车,紧急（送医）,应急车辆,普通轿车,接近中,100米,30公里/小时
32082,晴天,白天,湿滑,畅通,60公里/小时,50米,卡车,无特别需求,应急车辆,普通轿车,接近中,100米,80公里/小时
32250,晴天,白天,湿滑,畅通,60公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,10米,30公里/小时
32462,晴天,白天,湿滑,畅通,60公里/小时,100米,普通轿车,紧急（送医）,卡车,无,接近中,100米,80公里/小时
32637,晴天,白天,湿滑,畅通,60公里/小时,100米,普通轿车,无特别需求,应急车辆,应急车辆,接近中,50米,30公里/小时
32765,晴天,白天,湿滑,畅通,60公里/小时,100米,卡车,赶时间（通勤/赶飞机）,普通轿车,无,接近中,50米,80公里/小时
32918,晴天,白天,湿滑,畅通,60公里/小时,100米,卡车,无特别需求,卡车,无,接近中,10米,80公里/小时
32933,晴天,白天,湿滑,畅通,60公里/小时,100米,卡车,无特别需求,卡车,应急车辆,接近中,100米,50公里/小时
32972,晴天,白天,湿滑,畅通,60公里/小时,100米,应急车辆,紧急（送医）,应急车辆,无,接近中,100米,80公里/小时
33093,晴天,白天,湿滑,畅通,60公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,卡车,无,接近中,100米,50公里/小时
33493,晴天,白天,湿滑,畅通,60公里/小时,150米,卡车,紧急（送医）,普通轿车,普通轿车,接近中,100米,50公里/小时
33563,晴天,白天,湿滑,畅通,60公里/小时,150米,卡车,紧急（送医）,卡车,应急车辆,接近中,100米,50公里/小时
33644,晴天,白天,湿滑,畅通,60公里/小时,150米,卡车,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,100米,30公里/小时
33812,晴天,白天,湿滑,畅通,60公里/小时,150米,应急车辆,紧急（送医）,卡车,无,接近中,100米,80公里/小时
34066,晴天,白天,湿滑,畅通,100公里/小时,100米,普通轿车,紧急（送医）,应急车辆,普通轿车,接近中,50米,50公里/小时
34103,晴天,白天,湿滑,畅通,100公里/小时,100米,普通轿车,紧急（送医）,卡车,应急车辆,接近中,100米,50公里/小时
34340,晴天,白天,湿滑,畅通,100公里/小时,100米,卡车,紧急（送医）,应急车辆,普通轿车,接近中,10米,30公里/小时
