id,weather,time,road_condition,mainstream_front_space,mainstream_vehicle_speed,mainstream_gap,mainstream_vehicle_type,occupant_requirement,ego_role,following_vehicle,ego_state,ego_distance,ego_velocity
40692,sunny,day,wet,100m,60km/h,150m,normal car,none,normal car,normal car,approaching,100m,80km/h
40706,sunny,day,wet,100m,60km/h,150m,normal car,none,normal car,emergency vehicle,approaching,50m,50km/h
40767,sunny,day,wet,100m,60km/h,150m,normal car,none,truck,emergency vehicle,approaching,50m,30km/h
41009,sunny,day,wet,100m,60km/h,150m,truck,none,emergency vehicle,emergency vehicle,approaching,10m,50km/h
41057,sunny,day,wet,100m,60km/h,150m,emergency vehicle,urgent (to hospital),normal car,normal car,approaching,50m,30km/h
41080,sunny,day,wet,100m,60km/h,150m,emergency vehicle,urgent (to hospital),emergency vehicle,none,approaching,10m,30km/h
41110,sunny,day,wet,100m,60km/h,150m,emergency vehicle,urgent (to hospital),truck,none,approaching,10m,30km/h
41223,sunny,day,wet,100m,60km/h,150m,emergency vehicle,none,normal car,none,approaching,100m,50km/h
41250,sunny,day,wet,100m,60km/h,150m,emergency vehicle,none,normal car,emergency vehicle,approaching,10m,30km/h
41269,sunny,day,wet,100m,60km/h,150m,emergency vehicle,none,emergency vehicle,normal car,approaching,10m,50km/h
41357,sunny,day,wet,100m,100km/h,100m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,50m,30km/h
41596,sunny,day,wet,100m,100km/h,100m,truck,urgent (to hospital),normal car,normal car,approaching,50m,50km/h
41661,sunny,day,wet,100m,100km/h,100m,truck,urgent (to hospital),truck,emergency vehicle,stopping,0m,0km/h
41795,sunny,day,wet,100m,100km/h,100m,truck,none,emergency vehicle,none,approaching,50m,80km/h
41824,sunny,day,wet,100m,100km/h,100m,truck,none,truck,none,approaching,100m,30km/h
41914,sunny,day,wet,100m,100km/h,100m,emergency vehicle,urgent (to hospital),truck,none,approaching,100m,30km/h
42173,sunny,day,wet,100m,100km/h,150m,normal car,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,100m,50km/h
42237,sunny,day,wet,100m,100km/h,150m,normal car,hurry (commute or flight),normal car,emergency vehicle,approaching,50m,30km/h
42350,sunny,day,wet,100m,100km/h,150m,normal car,none,emergency vehicle,normal car,approaching,10m,30km/h
42527,sunny,day,wet,100m,100km/h,150m,truck,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,30km/h
42575,sunny,day,wet,100m,100km/h,150m,truck,none,normal car,none,approaching,50m,80km/h
42694,sunny,day,wet,100m,100km/h,150m,emergency vehicle,urgent (to hospital),emergency vehicle,none,approaching,100m,30km/h
42898,sunny,day,wet,100m,100km/h,150m,emergency vehicle,none,emergency vehicle,emergency vehicle,approaching,10m,80km/h
43269,sunny,day,wet,100m,100km/h,200m,truck,urgent (to hospital),truck,none,approaching,10m,50km/h
43276,sunny,day,wet,100m,100km/h,200m,truck,urgent (to hospital),truck,normal car,approaching,50m,50km/h
43354,sunny,day,wet,100m,100km/h,200m,truck,hurry (commute or flight),truck,none,approaching,100m,30km/h
43637,sunny,day,wet,100m,100km/h,200m,emergency vehicle,hurry (commute or flight),truck,normal car,approaching,50m,30km/h
43701,sunny,day,wet,100m,100km/h,200m,emergency vehicle,none,emergency vehicle,emergency vehicle,stopping,0m,0km/h
43739,sunny,day,wet,100m,100km/h,200m,emergency vehicle,none,truck,emergency vehicle,approaching,10m,50km/h
43768,sunny,day,wet,50m,35km/h,10m,normal car,urgent (to hospital),normal car,emergency vehicle,approaching,10m,80km/h
43876,sunny,day,wet,50m,35km/h,10m,normal car,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,50km/h
44447,sunny,day,wet,50m,35km/h,10m,emergency vehicle,hurry (commute or flight),truck,normal car,approaching,50m,30km/h
44452,sunny,day,wet,50m,35km/h,10m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,100m,80km/h
44529,sunny,day,wet,50m,35km/h,10m,emergency vehicle,none,truck,none,approaching,10m,50km/h
44647,sunny,day,wet,50m,35km/h,50m,normal car,hurry (commute or flight),normal car,none,approaching,50m,30km/h
44898,sunny,day,wet,50m,35km/h,50m,truck,urgent (to hospital),truck,normal car,approaching,10m,80km/h
44955,sunny,day,wet,50m,35km/h,50m,truck,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,80km/h
45628,sunny,day,wet,50m,35km/h,100m,normal car,none,truck,emergency vehicle,approaching,10m,80km/h
45742,sunny,day,wet,50m,35km/h,100m,truck,hurry (commute or flight),normal car,emergency vehicle,approaching,100m,80km/h
45746,sunny,day,wet,50m,35km/h,100m,truck,hurry (commute or flight),normal car,emergency vehicle,approaching,50m,50km/h
45885,sunny,day,wet,50m,35km/h,100m,truck,none,truck,normal car,approaching,50m,80km/h
46004,sunny,day,wet,50m,35km/h,100m,emergency vehicle,hurry (commute or flight),normal car,normal car,approaching,100m,30km/h
46037,sunny,day,wet,50m,35km/h,100m,emergency vehicle,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,30km/h
46270,sunny,day,wet,50m,60km/h,50m,normal car,hurry (commute or flight),normal car,none,approaching,10m,30km/h
46406,sunny,day,wet,50m,60km/h,50m,normal car,none,emergency vehicle,emergency vehicle,approaching,50m,50km/h
47335,sunny,day,wet,50m,60km/h,100m,truck,urgent (to hospital),truck,emergency vehicle,approaching,50m,80km/h
47585,sunny,day,wet,50m,60km/h,100m,emergency vehicle,urgent (to hospital),truck,none,approaching,50m,80km/h
47708,sunny,day,wet,50m,60km/h,100m,emergency vehicle,none,normal car,none,approaching,10m,80km/h
47883,sunny,day,wet,50m,60km/h,150m,normal car,hurry (commute or flight),normal car,none,approaching,100m,50km/h
47995,sunny,day,wet,50m,60km/h,150m,normal car,none,normal car,emergency vehicle,approaching,50m,80km/h
48342,sunny,day,wet,50m,60km/h,150m,emergency vehicle,urgent (to hospital),normal car,normal car,approaching,100m,80km/h
48537,sunny,day,wet,50m,60km/h,150m,emergency vehicle,none,normal car,emergency vehicle,approaching,50m,30km/h
48977,sunny,day,wet,50m,100km/h,100m,truck,hurry (commute or flight),normal car,normal car,approaching,50m,30km/h
49474,sunny,day,wet,50m,100km/h,150m,normal car,urgent (to hospital),truck,none,approaching,100m,30km/h
49501,sunny,day,wet,50m,100km/h,150m,normal car,hurry (commute or flight),normal car,none,stopping,0m,0km/h
49634,sunny,day,wet,50m,100km/h,150m,normal car,none,emergency vehicle,normal car,approaching,100m,30km/h
49834,sunny,day,wet,50m,100km/h,150m,truck,hurry (commute or flight),truck,none,approaching,100m,30km/h
49920,sunny,day,wet,50m,100km/h,150m,truck,none,emergency vehicle,emergency vehicle,approaching,10m,30km/h
49964,sunny,day,wet,50m,100km/h,150m,emergency vehicle,urgent (to hospital),normal car,normal car,approaching,100m,30km/h
50029,sunny,day,wet,50m,100km/h,150m,emergency vehicle,urgent (to hospital),truck,normal car,approaching,10m,50km/h
50341,sunny,day,wet,50m,100km/h,200m,normal car,hurry (commute or flight),emergency vehicle,none,stopping,0m,0km/h
50563,sunny,day,wet,50m,100km/h,200m,truck,urgent (to hospital),truck,normal car,approaching,100m,50km/h
50644,sunny,day,wet,50m,100km/h,200m,truck,hurry (commute or flight),truck,none,approaching,100m,30km/h
50989,sunny,day,wet,50m,100km/h,200m,emergency vehicle,none,emergency vehicle,normal car,approaching,10m,50km/h
51485,sunny,day,wet,20m,35km/h,10m,truck,none,normal car,none,approaching,50m,80km/h
51510,sunny,day,wet,20m,35km/h,10m,truck,none,normal car,emergency vehicle,approaching,10m,30km/h
51513,sunny,day,wet,20m,35km/h,10m,truck,none,emergency vehicle,none,approaching,100m,50km/h
52014,sunny,day,wet,20m,35km/h,50m,normal car,hurry (commute or flight),truck,emergency vehicle,approaching,100m,30km/h
52077,sunny,day,wet,20m,35km/h,50m,normal car,none,emergency vehicle,emergency vehicle,approaching,50m,30km/h
52145,sunny,day,wet,20m,35km/h,50m,truck,urgent (to hospital),emergency vehicle,none,approaching,50m,80km/h
52149,sunny,day,wet,20m,35km/h,50m,truck,urgent (to hospital),emergency vehicle,none,approaching,10m,50km/h
52251,sunny,day,wet,20m,35km/h,50m,truck,hurry (commute or flight),emergency vehicle,emergency vehicle,stopping,0m,0km/h
52381,sunny,day,wet,20m,35km/h,50m,emergency vehicle,urgent (to hospital),normal car,none,stopping,0m,0km/h
52562,sunny,day,wet,20m,35km/h,50m,emergency vehicle,none,normal car,none,approaching,100m,80km/h
52783,sunny,day,wet,20m,35km/h,100m,normal car,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,50km/h
52845,sunny,day,wet,20m,35km/h,100m,normal car,none,normal car,normal car,approaching,50m,80km/h
53115,sunny,day,wet,20m,35km/h,100m,truck,none,normal car,normal car,approaching,50m,80km/h
53340,sunny,day,wet,20m,35km/h,100m,emergency vehicle,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,10m,30km/h
53355,sunny,day,wet,20m,35km/h,100m,emergency vehicle,hurry (commute or flight),truck,normal car,approaching,50m,80km/h
53418,sunny,day,wet,20m,35km/h,100m,emergency vehicle,none,emergency vehicle,normal car,approaching,10m,80km/h
53615,sunny,day,wet,20m,60km/h,50m,normal car,hurry (commute or flight),truck,none,approaching,50m,80km/h
53638,sunny,day,wet,20m,60km/h,50m,normal car,hurry (commute or flight),truck,emergency vehicle,approaching,10m,80km/h
53724,sunny,day,wet,20m,60km/h,50m,normal car,none,truck,emergency vehicle,approaching,100m,30km/h
53942,sunny,day,wet,20m,60km/h,50m,truck,none,emergency vehicle,none,approaching,100m,80km/h
54194,sunny,day,wet,20m,60km/h,50m,emergency vehicle,none,normal car,normal car,approaching,100m,30km/h
54218,sunny,day,wet,20m,60km/h,50m,emergency vehicle,none,emergency vehicle,none,approaching,10m,80km/h
54274,sunny,day,wet,20m,60km/h,100m,normal car,urgent (to hospital),normal car,none,approaching,100m,30km/h
54309,sunny,day,wet,20m,60km/h,100m,normal car,urgent (to hospital),emergency vehicle,none,approaching,10m,50km/h
54587,sunny,day,wet,20m,60km/h,100m,truck,urgent (to hospital),emergency vehicle,normal car,approaching,50m,30km/h
54666,sunny,day,wet,20m,60km/h,100m,truck,hurry (commute or flight),emergency vehicle,none,approaching,50m,50km/h
54768,sunny,day,wet,20m,60km/h,100m,truck,none,emergency vehicle,normal car,approaching,10m,80km/h
54784,sunny,day,wet,20m,60km/h,100m,truck,none,truck,none,approaching,100m,30km/h
55138,sunny,day,wet,20m,60km/h,150m,normal car,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,10m,80km/h
55320,sunny,day,wet,20m,60km/h,150m,normal car,none,emergency vehicle,emergency vehicle,approaching,10m,30km/h
55453,sunny,day,wet,20m,60km/h,150m,truck,hurry (commute or flight),normal car,normal car,approaching,100m,50km/h
55471,sunny,day,wet,20m,60km/h,150m,truck,hurry (commute or flight),emergency vehicle,none,stopping,0m,0km/h
55633,sunny,day,wet,20m,60km/h,150m,emergency vehicle,urgent (to hospital),normal car,normal car,approaching,100m,50km/h
56009,sunny,day,wet,20m,100km/h,100m,normal car,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,50km/h
56256,sunny,day,wet,20m,100km/h,100m,truck,hurry (commute or flight),normal car,none,approaching,50m,50km/h
56549,sunny,day,wet,20m,100km/h,100m,emergency vehicle,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,50km/h
56845,sunny,day,wet,20m,100km/h,150m,normal car,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,50m,80km/h
57678,sunny,day,wet,20m,100km/h,200m,normal car,hurry (commute or flight),truck,normal car,approaching,10m,80km/h
57801,sunny,day,wet,20m,100km/h,200m,truck,urgent (to hospital),normal car,emergency vehicle,stopping,0m,0km/h
57856,sunny,day,wet,20m,100km/h,200m,truck,urgent (to hospital),truck,normal car,approaching,50m,50km/h
57916,sunny,day,wet,20m,100km/h,200m,truck,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,50km/h
58180,sunny,day,wet,20m,100km/h,200m,emergency vehicle,hurry (commute or flight),emergency vehicle,none,approaching,10m,30km/h
58269,sunny,day,wet,20m,100km/h,200m,emergency vehicle,none,emergency vehicle,none,approaching,10m,50km/h
58770,sunny,night,dry,free,35km/h,10m,truck,hurry (commute or flight),truck,emergency vehicle,approaching,10m,30km/h
58801,sunny,night,dry,free,35km/h,10m,truck,none,emergency vehicle,none,stopping,0m,0km/h
58895,sunny,night,dry,free,35km/h,10m,emergency vehicle,urgent (to hospital),emergency vehicle,none,approaching,50m,80km/h
59018,sunny,night,dry,free,35km/h,10m,emergency vehicle,hurry (commute or flight),truck,none,approaching,10m,80km/h
59425,sunny,night,dry,free,35km/h,50m,truck,urgent (to hospital),normal car,emergency vehicle,approaching,50m,80km/h
59707,sunny,night,dry,free,35km/h,50m,emergency vehicle,urgent (to hospital),emergency vehicle,none,approaching,50m,30km/h
59934,sunny,night,dry,free,35km/h,50m,emergency vehicle,none,truck,emergency vehicle,approaching,100m,30km/h
59953,sunny,night,dry,free,35km/h,100m,normal car,urgent (to hospital),normal car,normal car,approaching,100m,50km/h
59956,sunny,night,dry,free,35km/h,100m,normal car,urgent (to hospital),normal car,normal car,approaching,50m,50km/h
60122,sunny,night,dry,free,35km/h,100m,normal car,none,normal car,none,approaching,100m,80km/h
60167,sunny,night,dry,free,35km/h,100m,normal car,none,emergency vehicle,normal car,approaching,50m,30km/h
60251,sunny,night,dry,free,35km/h,100m,truck,urgent (to hospital),emergency vehicle,normal car,stopping,0m,0km/h
60265,sunny,night,dry,free,35km/h,100m,truck,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,50m,80km/h
60374,sunny,night,dry,free,35km/h,100m,truck,hurry (commute or flight),truck,normal car,approaching,100m,30km/h
60408,sunny,night,dry,free,35km/h,100m,truck,none,normal car,normal car,approaching,10m,80km/h
60793,sunny,night,dry,free,60km/h,50m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,100m,50km/h
61462,sunny,night,dry,free,60km/h,50m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,100m,80km/h
61829,sunny,night,dry,free,60km/h,100m,normal car,none,truck,emergency vehicle,approaching,10m,50km/h
61832,sunny,night,dry,free,60km/h,100m,truck,urgent (to hospital),normal car,none,approaching,100m,80km/h
61890,sunny,night,dry,free,60km/h,100m,truck,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,10m,30km/h
61957,sunny,night,dry,free,60km/h,100m,truck,hurry (commute or flight),emergency vehicle,none,approaching,50m,30km/h
62098,sunny,night,dry,free,60km/h,100m,truck,none,truck,emergency vehicle,approaching,10m,80km/h
62375,sunny,night,dry,free,60km/h,150m,normal car,urgent (to hospital),normal car,none,approaching,50m,80km/h
62490,sunny,night,dry,free,60km/h,150m,normal car,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,30km/h
62537,sunny,night,dry,free,60km/h,150m,normal car,hurry (commute or flight),truck,normal car,approaching,50m,30km/h
62580,sunny,night,dry,free,60km/h,150m,normal car,none,normal car,emergency vehicle,approaching,10m,30km/h
62737,sunny,night,dry,free,60km/h,150m,truck,hurry (commute or flight),normal car,none,approaching,50m,30km/h
63007,sunny,night,dry,free,60km/h,150m,emergency vehicle,hurry (commute or flight),normal car,none,approaching,50m,30km/h
63125,sunny,night,dry,free,60km/h,150m,emergency vehicle,none,emergency vehicle,none,approaching,50m,80km/h
63365,sunny,night,dry,free,100km/h,100m,normal car,none,normal car,none,approaching,50m,80km/h
63502,sunny,night,dry,free,100km/h,100m,truck,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,100m,80km/h
63660,sunny,night,dry,free,100km/h,100m,truck,none,normal car,emergency vehicle,approaching,10m,30km/h
63715,sunny,night,dry,free,100km/h,100m,truck,none,truck,emergency vehicle,approaching,50m,80km/h
64002,sunny,night,dry,free,100km/h,150m,normal car,urgent (to hospital),normal car,normal car,approaching,100m,80km/h
64038,sunny,night,dry,free,100km/h,150m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,10m,80km/h
64216,sunny,night,dry,free,100km/h,150m,normal car,none,emergency vehicle,normal car,approaching,50m,50km/h
64244,sunny,night,dry,free,100km/h,150m,normal car,none,truck,normal car,approaching,100m,30km/h
64286,sunny,night,dry,free,100km/h,150m,truck,urgent (to hospital),normal car,emergency vehicle,approaching,50m,50km/h
64295,sunny,night,dry,free,100km/h,150m,truck,urgent (to hospital),emergency vehicle,none,approaching,50m,80km/h
64336,sunny,night,dry,free,100km/h,150m,truck,urgent (to hospital),truck,normal car,approaching,50m,50km/h
64492,sunny,night,dry,free,100km/h,150m,truck,none,emergency vehicle,emergency vehicle,approaching,100m,80km/h
64711,sunny,night,dry,free,100km/h,150m,emergency vehicle,none,normal car,none,stopping,0m,0km/h
65100,sunny,night,dry,free,100km/h,200m,truck,urgent (to hospital),normal car,emergency vehicle,approaching,10m,30km/h
65195,sunny,night,dry,free,100km/h,200m,truck,hurry (commute or flight),emergency vehicle,none,approaching,50m,80km/h
65248,sunny,night,dry,free,100km/h,200m,truck,hurry (commute or flight),truck,emergency vehicle,approaching,10m,80km/h
65406,sunny,night,dry,free,100km/h,200m,emergency vehicle,urgent (to hospital),truck,none,approaching,50m,50km/h
65560,sunny,night,dry,free,100km/h,200m,emergency vehicle,none,emergency vehicle,none,approaching,10m,30km/h
65738,sunny,night,dry,100m,35km/h,10m,normal car,hurry (commute or flight),emergency vehicle,none,approaching,10m,80km/h
66354,sunny,night,dry,100m,35km/h,10m,emergency vehicle,none,normal car,emergency vehicle,approaching,100m,30km/h
66712,sunny,night,dry,100m,35km/h,50m,truck,urgent (to hospital),normal car,emergency vehicle,approaching,100m,80km/h
66717,sunny,night,dry,100m,35km/h,50m,truck,urgent (to hospital),normal car,emergency vehicle,approaching,50m,30km/h
66911,sunny,night,dry,100m,35km/h,50m,truck,none,emergency vehicle,normal car,stopping,0m,0km/h
67381,sunny,night,dry,100m,35km/h,100m,normal car,hurry (commute or flight),truck,none,stopping,0m,0km/h
67503,sunny,night,dry,100m,35km/h,100m,truck,urgent (to hospital),normal car,none,approaching,100m,50km/h
67540,sunny,night,dry,100m,35km/h,100m,truck,urgent (to hospital),emergency vehicle,none,approaching,10m,30km/h
67676,sunny,night,dry,100m,35km/h,100m,truck,hurry (commute or flight),truck,emergency vehicle,approaching,50m,50km/h
67700,sunny,night,dry,100m,35km/h,100m,truck,none,normal car,normal car,approaching,10m,30km/h
67702,sunny,night,dry,100m,35km/h,100m,truck,none,normal car,emergency vehicle,approaching,100m,80km/h
67728,sunny,night,dry,100m,35km/h,100m,truck,none,emergency vehicle,normal car,approaching,10m,80km/h
68420,sunny,night,dry,100m,60km/h,50m,truck,hurry (commute or flight),normal car,normal car,approaching,10m,30km/h
68694,sunny,night,dry,100m,60km/h,50m,emergency vehicle,hurry (commute or flight),normal car,emergency vehicle,approaching,100m,30km/h
68828,sunny,night,dry,100m,60km/h,50m,emergency vehicle,none,truck,none,approaching,10m,80km/h
69147,sunny,night,dry,100m,60km/h,100m,truck,urgent (to hospital),normal car,emergency vehicle,approaching,50m,30km/h
69630,sunny,night,dry,100m,60km/h,100m,emergency vehicle,none,emergency vehicle,emergency vehicle,approaching,10m,30km/h
69638,sunny,night,dry,100m,60km/h,100m,emergency vehicle,none,truck,none,approaching,10m,80km/h
69869,sunny,night,dry,100m,60km/h,150m,normal car,none,normal car,emergency vehicle,approaching,10m,50km/h
70027,sunny,night,dry,100m,60km/h,150m,truck,hurry (commute or flight),normal car,none,approaching,50m,30km/h
70037,sunny,night,dry,100m,60km/h,150m,truck,hurry (commute or flight),normal car,normal car,approaching,50m,30km/h
70133,sunny,night,dry,100m,60km/h,150m,truck,none,normal car,emergency vehicle,approaching,100m,50km/h
70523,sunny,night,dry,100m,100km/h,100m,normal car,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,100m,50km/h
70567,sunny,night,dry,100m,100km/h,100m,normal car,hurry (commute or flight),normal car,none,approaching,50m,30km/h
70618,sunny,night,dry,100m,100km/h,100m,normal car,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,10m,80km/h
70653,sunny,night,dry,100m,100km/h,100m,normal car,none,normal car,none,approaching,100m,50km/h
70732,sunny,night,dry,100m,100km/h,100m,normal car,none,truck,emergency vehicle,approaching,100m,80km/h
70928,sunny,night,dry,100m,100km/h,100m,truck,none,normal car,none,approaching,10m,80km/h
71054,sunny,night,dry,100m,100km/h,100m,emergency vehicle,urgent (to hospital),emergency vehicle,normal car,approaching,100m,30km/h
71064,sunny,night,dry,100m,100km/h,100m,emergency vehicle,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,100m,30km/h
71208,sunny,night,dry,100m,100km/h,100m,emergency vehicle,none,normal car,normal car,approaching,10m,80km/h
71243,sunny,night,dry,100m,100km/h,100m,emergency vehicle,none,emergency vehicle,emergency vehicle,approaching,100m,50km/h
71293,sunny,night,dry,100m,100km/h,150m,normal car,urgent (to hospital),normal car,normal car,approaching,100m,50km/h
71295,sunny,night,dry,100m,100km/h,150m,normal car,urgent (to hospital),normal car,normal car,approaching,50m,80km/h
71410,sunny,night,dry,100m,100km/h,150m,normal car,hurry (commute or flight),emergency vehicle,none,approaching,10m,30km/h
71921,sunny,night,dry,100m,100km/h,150m,emergency vehicle,hurry (commute or flight),normal car,normal car,stopping,0m,0km/h
72091,sunny,night,dry,100m,100km/h,200m,normal car,urgent (to hospital),normal car,none,stopping,0m,0km/h
72140,sunny,night,dry,100m,100km/h,200m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,10m,30km/h
72209,sunny,night,dry,100m,100km/h,200m,normal car,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,50km/h
72264,sunny,night,dry,100m,100km/h,200m,normal car,hurry (commute or flight),truck,emergency vehicle,approaching,100m,30km/h
72560,sunny,night,dry,100m,100km/h,200m,truck,none,normal car,normal car,approaching,10m,30km/h
72637,sunny,night,dry,100m,100km/h,200m,emergency vehicle,urgent (to hospital),normal car,none,approaching,50m,30km/h
72639,sunny,night,dry,100m,100km/h,200m,emergency vehicle,urgent (to hospital),normal car,none,approaching,10m,50km/h
72642,sunny,night,dry,100m,100km/h,200m,emergency vehicle,urgent (to hospital),normal car,normal car,approaching,100m,80km/h
72835,sunny,night,dry,100m,100km/h,200m,emergency vehicle,none,normal car,emergency vehicle,approaching,50m,80km/h
72957,sunny,night,dry,50m,35km/h,10m,normal car,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,50m,30km/h
73187,sunny,night,dry,50m,35km/h,10m,truck,urgent (to hospital),normal car,normal car,approaching,50m,30km/h
73647,sunny,night,dry,50m,35km/h,10m,emergency vehicle,none,normal car,emergency vehicle,approaching,50m,30km/h
73696,sunny,night,dry,50m,35km/h,10m,emergency vehicle,none,truck,normal car,approaching,50m,50km/h
73997,sunny,night,dry,50m,35km/h,50m,truck,urgent (to hospital),normal car,normal car,approaching,50m,30km/h
74128,sunny,night,dry,50m,35km/h,50m,truck,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,10m,80km/h
74172,sunny,night,dry,50m,35km/h,50m,truck,none,normal car,normal car,approaching,100m,80km/h
74382,sunny,night,dry,50m,35km/h,50m,emergency vehicle,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,80km/h
74428,sunny,night,dry,50m,35km/h,50m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,10m,80km/h
74670,sunny,night,dry,50m,35km/h,100m,normal car,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,10m,30km/h
74706,sunny,night,dry,50m,35km/h,100m,normal car,none,normal car,none,approaching,50m,50km/h
74916,sunny,night,dry,50m,35km/h,100m,truck,hurry (commute or flight),emergency vehicle,none,approaching,50m,50km/h
75310,sunny,night,dry,50m,35km/h,100m,emergency vehicle,none,truck,none,approaching,10m,30km/h
75436,sunny,night,dry,50m,60km/h,50m,normal car,hurry (commute or flight),normal car,normal car,approaching,50m,50km/h
75736,sunny,night,dry,50m,60km/h,50m,truck,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,50km/h
75821,sunny,night,dry,50m,60km/h,50m,truck,none,emergency vehicle,normal car,stopping,0m,0km/h
76167,sunny,night,dry,50m,60km/h,100m,normal car,urgent (to hospital),normal car,emergency vehicle,approaching,50m,30km/h
76227,sunny,night,dry,50m,60km/h,100m,normal car,urgent (to hospital),truck,emergency vehicle,approaching,50m,30km/h
76282,sunny,night,dry,50m,60km/h,100m,normal car,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,100m,80km/h
76303,sunny,night,dry,50m,60km/h,100m,normal car,hurry (commute or flight),truck,normal car,approaching,100m,50km/h
76445,sunny,night,dry,50m,60km/h,100m,truck,urgent (to hospital),emergency vehicle,none,approaching,50m,80km/h
76476,sunny,night,dry,50m,60km/h,100m,truck,urgent (to hospital),truck,none,approaching,50m,50km/h
76591,sunny,night,dry,50m,60km/h,100m,truck,none,normal car,none,stopping,0m,0km/h
76957,sunny,night,dry,50m,60km/h,150m,normal car,urgent (to hospital),normal car,none,approaching,50m,30km/h
77121,sunny,night,dry,50m,60km/h,150m,normal car,hurry (commute or flight),truck,emergency vehicle,stopping,0m,0km/h
77345,sunny,night,dry,50m,60km/h,150m,truck,hurry (commute or flight),emergency vehicle,none,approaching,50m,80km/h
77405,sunny,night,dry,50m,60km/h,150m,truck,none,normal car,none,approaching,50m,80km/h
78027,sunny,night,dry,50m,100km/h,100m,normal car,none,truck,emergency vehicle,approaching,50m,30km/h
78059,sunny,night,dry,50m,100km/h,100m,truck,urgent (to hospital),normal car,emergency vehicle,approaching,10m,50km/h
78146,sunny,night,dry,50m,100km/h,100m,truck,hurry (commute or flight),normal car,emergency vehicle,approaching,50m,50km/h
78304,sunny,night,dry,50m,100km/h,100m,emergency vehicle,urgent (to hospital),normal car,none,approaching,100m,30km/h
78442,sunny,night,dry,50m,100km/h,100m,emergency vehicle,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,100m,80km/h
78705,sunny,night,dry,50m,100km/h,150m,normal car,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,80km/h
78718,sunny,night,dry,50m,100km/h,150m,normal car,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,10m,80km/h
78792,sunny,night,dry,50m,100km/h,150m,normal car,none,emergency vehicle,normal car,approaching,100m,80km/h
78935,sunny,night,dry,50m,100km/h,150m,truck,hurry (commute or flight),normal car,none,approaching,50m,80km/h
78941,sunny,night,dry,50m,100km/h,150m,truck,hurry (commute or flight),normal car,normal car,stopping,0m,0km/h
79009,sunny,night,dry,50m,100km/h,150m,truck,hurry (commute or flight),truck,normal car,approaching,10m,50km/h
79167,sunny,night,dry,50m,100km/h,150m,emergency vehicle,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,50m,30km/h
79183,sunny,night,dry,50m,100km/h,150m,emergency vehicle,urgent (to hospital),truck,normal car,approaching,100m,50km/h
79538,sunny,night,dry,50m,100km/h,200m,normal car,hurry (commute or flight),truck,none,approaching,10m,80km/h
79552,sunny,night,dry,50m,100km/h,200m,normal car,hurry (commute or flight),truck,emergency vehicle,approaching,100m,80km/h
79592,sunny,night,dry,50m,100km/h,200m,normal car,none,emergency vehicle,none,approaching,100m,80km/h
79849,sunny,night,dry,50m,100km/h,200m,truck,none,normal car,normal car,approaching,10m,50km/h
80187,sunny,night,dry,50m,100km/h,200m,emergency vehicle,none,truck,emergency vehicle,approaching,50m,30km/h
80387,sunny,night,dry,20m,35km/h,10m,normal car,none,normal car,normal car,approaching,50m,30km/h
80493,sunny,night,dry,20m,35km/h,10m,truck,urgent (to hospital),emergency vehicle,none,approaching,100m,50km/h
80594,sunny,night,dry,20m,35km/h,10m,truck,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,30km/h
