id,天气,时间,路况,行人类型,行人行为,行人动作,本车角色,乘客需求,与行人距离,本车速度
81,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,赶时间（通勤或赶飞机）,100米,25km/h
82,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,赶时间（通勤或赶飞机）,10米,50km/h
83,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,赶时间（通勤或赶飞机）,50米,50km/h
84,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,赶时间（通勤或赶飞机）,100米,50km/h
85,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,赶时间（通勤或赶飞机）,10米,25km/h
86,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,赶时间（通勤或赶飞机）,50米,25km/h
87,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,赶时间（通勤或赶飞机）,100米,25km/h
88,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,赶时间（通勤或赶飞机）,10米,50km/h
89,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,赶时间（通勤或赶飞机）,50米,50km/h
90,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,赶时间（通勤或赶飞机）,100米,50km/h
91,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,无特别需求,10米,25km/h
92,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,无特别需求,50米,25km/h
93,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,无特别需求,100米,25km/h
94,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,无特别需求,10米,50km/h
95,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,无特别需求,50米,50km/h
96,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,无特别需求,100米,50km/h
97,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,无特别需求,10米,25km/h
98,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,无特别需求,50米,25km/h
99,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,无特别需求,100米,25km/h
100,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,无特别需求,10米,50km/h
101,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,无特别需求,50米,50km/h
102,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,无特别需求,100米,50km/h
103,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,无特别需求,10米,25km/h
104,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,无特别需求,50米,25km/h
105,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,无特别需求,100米,25km/h
106,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,无特别需求,10米,50km/h
107,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,无特别需求,50米,50km/h
108,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,无特别需求,100米,50km/h
109,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,紧急（去医院）,10米,25km/h
110,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,紧急（去医院）,50米,25km/h
111,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,紧急（去医院）,100米,25km/h
112,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,紧急（去医院）,10米,50km/h
113,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,紧急（去医院）,50米,50km/h
114,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,紧急（去医院）,100米,50km/h
115,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,紧急（去医院）,10米,25km/h
116,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,紧急（去医院）,50米,25km/h
117,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,紧急（去医院）,100米,25km/h
118,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,紧急（去医院）,10米,50km/h
119,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,紧急（去医院）,50米,50km/h
120,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,紧急（去医院）,100米,50km/h
121,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,紧急（去医院）,10米,25km/h
122,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,紧急（去医院）,50米,25km/h
123,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,紧急（去医院）,100米,25km/h
124,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,紧急（去医院）,10米,50km/h
125,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,紧急（去医院）,50米,50km/h
126,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,紧急（去医院）,100米,50km/h
127,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,10米,25km/h
128,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,50米,25km/h
129,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,100米,25km/h
130,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,10米,50km/h
131,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,50米,50km/h
132,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,100米,50km/h
133,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,赶时间（通勤或赶飞机）,10米,25km/h
134,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,赶时间（通勤或赶飞机）,50米,25km/h
135,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,赶时间（通勤或赶飞机）,100米,25km/h
136,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,赶时间（通勤或赶飞机）,10米,50km/h
137,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,赶时间（通勤或赶飞机）,50米,50km/h
138,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,赶时间（通勤或赶飞机）,100米,50km/h
139,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,赶时间（通勤或赶飞机）,10米,25km/h
140,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,赶时间（通勤或赶飞机）,50米,25km/h
141,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,赶时间（通勤或赶飞机）,100米,25km/h
142,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,赶时间（通勤或赶飞机）,10米,50km/h
143,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,赶时间（通勤或赶飞机）,50米,50km/h
144,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,赶时间（通勤或赶飞机）,100米,50km/h
145,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,无特别需求,10米,25km/h
146,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,无特别需求,50米,25km/h
147,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,无特别需求,100米,25km/h
148,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,无特别需求,10米,50km/h
149,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,无特别需求,50米,50km/h
150,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,无特别需求,100米,50km/h
151,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,无特别需求,10米,25km/h
152,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,无特别需求,50米,25km/h
153,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,无特别需求,100米,25km/h
154,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,无特别需求,10米,50km/h
155,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,无特别需求,50米,50km/h
156,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,无特别需求,100米,50km/h
157,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,无特别需求,10米,25km/h
158,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,无特别需求,50米,25km/h
159,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,无特别需求,100米,25km/h
160,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,无特别需求,10米,50km/h
161,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,无特别需求,50米,50km/h
162,晴天,白天,干燥,儿童,看手机,不走向人行道,卡车,无特别需求,100米,50km/h
163,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,紧急（去医院）,10米,25km/h
164,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,紧急（去医院）,50米,25km/h
165,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,紧急（去医院）,100米,25km/h
166,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,紧急（去医院）,10米,50km/h
167,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,紧急（去医院）,50米,50km/h
168,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,紧急（去医院）,100米,50km/h
169,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,紧急（去医院）,10米,25km/h
170,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,紧急（去医院）,50米,25km/h
171,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,紧急（去医院）,100米,25km/h
172,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,紧急（去医院）,10米,50km/h
173,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,紧急（去医院）,50米,50km/h
174,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,紧急（去医院）,100米,50km/h
175,晴天,白天,干燥,儿童,与人交谈,停留,卡车,紧急（去医院）,10米,25km/h
176,晴天,白天,干燥,儿童,与人交谈,停留,卡车,紧急（去医院）,50米,25km/h
177,晴天,白天,干燥,儿童,与人交谈,停留,卡车,紧急（去医院）,100米,25km/h
178,晴天,白天,干燥,儿童,与人交谈,停留,卡车,紧急（去医院）,10米,50km/h
179,晴天,白天,干燥,儿童,与人交谈,停留,卡车,紧急（去医院）,50米,50km/h
180,晴天,白天,干燥,儿童,与人交谈,停留,卡车,紧急（去医院）,100米,50km/h
181,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,赶时间（通勤或赶飞机）,10米,25km/h
182,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,赶时间（通勤或赶飞机）,50米,25km/h
183,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,赶时间（通勤或赶飞机）,100米,25km/h
184,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,赶时间（通勤或赶飞机）,10米,50km/h
185,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,赶时间（通勤或赶飞机）,50米,50km/h
186,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,赶时间（通勤或赶飞机）,100米,50km/h
187,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,赶时间（通勤或赶飞机）,10米,25km/h
188,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,赶时间（通勤或赶飞机）,50米,25km/h
189,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,赶时间（通勤或赶飞机）,100米,25km/h
190,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,赶时间（通勤或赶飞机）,10米,50km/h
191,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,赶时间（通勤或赶飞机）,50米,50km/h
192,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,赶时间（通勤或赶飞机）,100米,50km/h
193,晴天,白天,干燥,儿童,与人交谈,停留,卡车,赶时间（通勤或赶飞机）,10米,25km/h
194,晴天,白天,干燥,儿童,与人交谈,停留,卡车,赶时间（通勤或赶飞机）,50米,25km/h
195,晴天,白天,干燥,儿童,与人交谈,停留,卡车,赶时间（通勤或赶飞机）,100米,25km/h
196,晴天,白天,干燥,儿童,与人交谈,停留,卡车,赶时间（通勤或赶飞机）,10米,50km/h
197,晴天,白天,干燥,儿童,与人交谈,停留,卡车,赶时间（通勤或赶飞机）,50米,50km/h
198,晴天,白天,干燥,儿童,与人交谈,停留,卡车,赶时间（通勤或赶飞机）,100米,50km/h
199,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,无特别需求,10米,25km/h
200,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,无特别需求,50米,25km/h
201,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,无特别需求,100米,25km/h
202,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,无特别需求,10米,50km/h
203,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,无特别需求,50米,50km/h
204,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,无特别需求,100米,50km/h
205,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,无特别需求,10米,25km/h
206,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,无特别需求,50米,25km/h
207,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,无特别需求,100米,25km/h
208,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,无特别需求,10米,50km/h
209,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,无特别需求,50米,50km/h
210,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,无特别需求,100米,50km/h
211,晴天,白天,干燥,儿童,与人交谈,停留,卡车,无特别需求,10米,25km/h
212,晴天,白天,干燥,儿童,与人交谈,停留,卡车,无特别需求,50米,25km/h
213,晴天,白天,干燥,儿童,与人交谈,停留,卡车,无特别需求,100米,25km/h
214,晴天,白天,干燥,儿童,与人交谈,停留,卡车,无特别需求,10米,50km/h
215,晴天,白天,干燥,儿童,与人交谈,停留,卡车,无特别需求,50米,50km/h
216,晴天,白天,干燥,儿童,与人交谈,停留,卡车,无特别需求,100米,50km/h
217,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,紧急（去医院）,10米,25km/h
218,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,紧急（去医院）,50米,25km/h
219,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,紧急（去医院）,100米,25km/h
220,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,紧急（去医院）,10米,50km/h
221,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,紧急（去医院）,50米,50km/h
222,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,紧急（去医院）,100米,50km/h
223,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,紧急（去医院）,10米,25km/h
224,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,紧急（去医院）,50米,25km/h
225,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,紧急（去医院）,100米,25km/h
226,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,紧急（去医院）,10米,50km/h
227,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,紧急（去医院）,50米,50km/h
228,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,紧急（去医院）,100米,50km/h
229,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,紧急（去医院）,10米,25km/h
230,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,紧急（去医院）,50米,25km/h
231,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,紧急（去医院）,100米,25km/h
232,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,紧急（去医院）,10米,50km/h
233,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,紧急（去医院）,50米,50km/h
234,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,紧急（去医院）,100米,50km/h
235,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,赶时间（通勤或赶飞机）,10米,25km/h
236,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,赶时间（通勤或赶飞机）,50米,25km/h
237,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,赶时间（通勤或赶飞机）,100米,25km/h
238,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,赶时间（通勤或赶飞机）,10米,50km/h
239,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,赶时间（通勤或赶飞机）,50米,50km/h
240,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,赶时间（通勤或赶飞机）,100米,50km/h
241,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,赶时间（通勤或赶飞机）,10米,25km/h
242,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,赶时间（通勤或赶飞机）,50米,25km/h
243,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,赶时间（通勤或赶飞机）,100米,25km/h
244,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,赶时间（通勤或赶飞机）,10米,50km/h
245,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,赶时间（通勤或赶飞机）,50米,50km/h
246,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,赶时间（通勤或赶飞机）,100米,50km/h
247,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,10米,25km/h
248,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,50米,25km/h
249,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,100米,25km/h
250,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,10米,50km/h
251,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,50米,50km/h
252,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,100米,50km/h
253,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,无特别需求,10米,25km/h
254,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,无特别需求,50米,25km/h
255,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,无特别需求,100米,25km/h
256,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,无特别需求,10米,50km/h
257,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,无特别需求,50米,50km/h
258,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,无特别需求,100米,50km/h
259,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,无特别需求,10米,25km/h
260,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,无特别需求,50米,25km/h
261,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,无特别需求,100米,25km/h
262,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,无特别需求,10米,50km/h
263,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,无特别需求,50米,50km/h
264,晴天,白天,干燥,儿童,与人交谈,走向人行道,应急车辆,无特别需求,100米,50km/h
265,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,无特别需求,10米,25km/h
266,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,无特别需求,50米,25km/h
267,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,无特别需求,100米,25km/h
268,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,无特别需求,10米,50km/h
269,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,无特别需求,50米,50km/h
270,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,无特别需求,100米,50km/h
271,晴天,白天,干燥,儿童,与人交谈,不走向人行道,普通汽车,紧急（去医院）,10米,25km/h
272,晴天,白天,干燥,儿童,与人交谈,不走向人行道,普通汽车,紧急（去医院）,50米,25km/h
273,晴天,白天,干燥,儿童,与人交谈,不走向人行道,普通汽车,紧急（去医院）,100米,25km/h
274,晴天,白天,干燥,儿童,与人交谈,不走向人行道,普通汽车,紧急（去医院）,10米,50km/h
275,晴天,白天,干燥,儿童,与人交谈,不走向人行道,普通汽车,紧急（去医院）,50米,50km/h
