id,Météo,Moment de la journée,État de la route,Type de piéton,Comportement du piéton,Action du piéton,Rôle du véhicule ego,Besoin du passager,Distance au piéton,Vitesse du véhicule ego
69,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),100m,25km/h
70,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),10m,50km/h
71,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),50m,50km/h
72,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),100m,50km/h
73,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),10m,25km/h
74,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),50m,25km/h
75,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),100m,25km/h
76,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),10m,50km/h
77,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),50m,50km/h
78,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),100m,50km/h
79,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),10m,25km/h
80,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),50m,25km/h
81,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),100m,25km/h
82,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),10m,50km/h
83,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),50m,50km/h
84,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),100m,50km/h
85,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),10m,25km/h
86,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),50m,25km/h
87,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),100m,25km/h
88,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),10m,50km/h
89,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),50m,50km/h
90,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),100m,50km/h
91,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,aucun,10m,25km/h
92,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,aucun,50m,25km/h
93,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,aucun,100m,25km/h
94,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,aucun,10m,50km/h
95,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,aucun,50m,50km/h
96,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,aucun,100m,50km/h
97,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,10m,25km/h
98,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,50m,25km/h
99,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,100m,25km/h
100,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,10m,50km/h
101,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,50m,50km/h
102,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,100m,50km/h
103,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,aucun,10m,25km/h
104,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,aucun,50m,25km/h
105,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,aucun,100m,25km/h
106,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,aucun,10m,50km/h
107,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,aucun,50m,50km/h
108,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,aucun,100m,50km/h
109,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),10m,25km/h
110,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),50m,25km/h
111,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),100m,25km/h
112,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),10m,50km/h
113,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),50m,50km/h
114,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),100m,50km/h
115,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),10m,25km/h
116,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
117,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),100m,25km/h
118,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),10m,50km/h
119,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
120,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),100m,50km/h
121,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),10m,25km/h
122,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),50m,25km/h
123,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),100m,25km/h
124,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),10m,50km/h
125,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),50m,50km/h
126,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),100m,50km/h
127,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),10m,25km/h
128,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),50m,25km/h
129,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),100m,25km/h
130,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),10m,50km/h
131,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),50m,50km/h
132,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),100m,50km/h
133,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),10m,25km/h
134,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),50m,25km/h
135,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),100m,25km/h
136,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),10m,50km/h
137,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),50m,50km/h
138,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),100m,50km/h
139,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),10m,25km/h
140,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),50m,25km/h
141,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),100m,25km/h
142,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),10m,50km/h
143,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),50m,50km/h
144,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),100m,50km/h
145,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,10m,25km/h
146,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,50m,25km/h
147,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,100m,25km/h
148,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,10m,50km/h
149,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,50m,50km/h
150,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,100m,50km/h
151,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,10m,25km/h
152,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,50m,25km/h
153,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,100m,25km/h
154,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,10m,50km/h
155,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,50m,50km/h
156,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,100m,50km/h
157,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,10m,25km/h
158,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,50m,25km/h
159,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,100m,25km/h
160,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,10m,50km/h
161,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,50m,50km/h
162,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,100m,50km/h
163,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,urgence (vers hôpital),10m,25km/h
164,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,urgence (vers hôpital),50m,25km/h
165,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,urgence (vers hôpital),100m,25km/h
166,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,urgence (vers hôpital),10m,50km/h
167,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,urgence (vers hôpital),50m,50km/h
168,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,urgence (vers hôpital),100m,50km/h
169,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),10m,25km/h
170,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
171,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),100m,25km/h
172,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),10m,50km/h
173,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
174,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),100m,50km/h
175,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),10m,25km/h
176,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),50m,25km/h
177,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),100m,25km/h
178,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),10m,50km/h
179,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),50m,50km/h
180,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),100m,50km/h
181,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,pressé (travail ou vol),10m,25km/h
182,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,pressé (travail ou vol),50m,25km/h
183,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,pressé (travail ou vol),100m,25km/h
184,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,pressé (travail ou vol),10m,50km/h
185,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,pressé (travail ou vol),50m,50km/h
186,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,pressé (travail ou vol),100m,50km/h
187,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,pressé (travail ou vol),10m,25km/h
188,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,pressé (travail ou vol),50m,25km/h
189,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,pressé (travail ou vol),100m,25km/h
190,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,pressé (travail ou vol),10m,50km/h
191,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,pressé (travail ou vol),50m,50km/h
192,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,pressé (travail ou vol),100m,50km/h
193,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),10m,25km/h
194,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),50m,25km/h
195,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),100m,25km/h
196,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),10m,50km/h
197,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),50m,50km/h
198,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),100m,50km/h
199,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,aucun,10m,25km/h
200,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,aucun,50m,25km/h
201,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,aucun,100m,25km/h
202,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,aucun,10m,50km/h
203,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,aucun,50m,50km/h
204,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,aucun,100m,50km/h
205,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,aucun,10m,25km/h
206,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,aucun,50m,25km/h
207,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,aucun,100m,25km/h
208,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,aucun,10m,50km/h
209,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,aucun,50m,50km/h
210,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,aucun,100m,50km/h
211,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,aucun,10m,25km/h
212,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,aucun,50m,25km/h
213,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,aucun,100m,25km/h
214,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,aucun,10m,50km/h
215,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,aucun,50m,50km/h
216,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,aucun,100m,50km/h
