id,Météo,Moment de la journée,État de la route,Type de piéton,Comportement du piéton,Action du piéton,Rôle du véhicule ego,Besoin du passager,Distance au piéton,Vitesse du véhicule ego
439,ensoleillé,jour,sec,enfant,regarde autour,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),10m,25km/h
451,ensoleillé,jour,sec,enfant,regarde autour,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),10m,25km/h
461,ensoleillé,jour,sec,enfant,regarde autour,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),50m,50km/h
467,ensoleillé,jour,sec,enfant,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),50m,50km/h
468,ensoleillé,jour,sec,enfant,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),100m,50km/h
485,ensoleillé,jour,sec,enfant,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,50m,50km/h
500,ensoleillé,jour,sec,personne âgée,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),50m,25km/h
559,ensoleillé,jour,sec,personne âgée,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),10m,25km/h
622,ensoleillé,jour,sec,personne âgée,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),10m,50km/h
652,ensoleillé,jour,sec,personne âgée,parle à quelqu'un,s’arrêter,voiture normale,urgence (vers hôpital),10m,50km/h
706,ensoleillé,jour,sec,personne âgée,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),10m,50km/h
716,ensoleillé,jour,sec,personne âgée,parle à quelqu'un,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),50m,25km/h
719,ensoleillé,jour,sec,personne âgée,parle à quelqu'un,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),50m,50km/h
734,ensoleillé,jour,sec,personne âgée,parle à quelqu'un,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),50m,25km/h
737,ensoleillé,jour,sec,personne âgée,parle à quelqu'un,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),50m,50km/h
739,ensoleillé,jour,sec,personne âgée,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,aucun,10m,25km/h
796,ensoleillé,jour,sec,personne âgée,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,10m,50km/h
829,ensoleillé,jour,sec,personne âgée,regarde autour,s’arrêter,voiture normale,pressé (travail ou vol),10m,25km/h
853,ensoleillé,jour,sec,personne âgée,regarde autour,s’arrêter,véhicule d'urgence,aucun,10m,25km/h
879,ensoleillé,jour,sec,personne âgée,regarde autour,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),100m,25km/h
912,ensoleillé,jour,sec,personne âgée,regarde autour,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,100m,50km/h
929,ensoleillé,jour,sec,personne âgée,regarde autour,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
937,ensoleillé,jour,sec,personne âgée,regarde autour,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),10m,25km/h
961,ensoleillé,jour,sec,personne âgée,regarde autour,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,10m,25km/h
971,ensoleillé,jour,sec,personne âgée,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,50m,50km/h
972,ensoleillé,jour,sec,personne âgée,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,100m,50km/h
978,ensoleillé,jour,sec,policier,regarde son téléphone,s’arrêter,voiture normale,urgence (vers hôpital),100m,50km/h
981,ensoleillé,jour,sec,policier,regarde son téléphone,s’arrêter,véhicule d'urgence,urgence (vers hôpital),100m,25km/h
1007,ensoleillé,jour,sec,policier,regarde son téléphone,s’arrêter,camion,pressé (travail ou vol),50m,50km/h
1024,ensoleillé,jour,sec,policier,regarde son téléphone,s’arrêter,camion,aucun,10m,50km/h
1028,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),50m,25km/h
1035,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),100m,25km/h
1036,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),10m,50km/h
1053,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),100m,25km/h
1085,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),50m,50km/h
1087,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),10m,25km/h
1088,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
1093,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),10m,25km/h
1115,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),50m,50km/h
1124,ensoleillé,jour,sec,policier,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,50m,25km/h
1145,ensoleillé,jour,sec,policier,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
1148,ensoleillé,jour,sec,policier,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),50m,25km/h
1154,ensoleillé,jour,sec,policier,parle à quelqu'un,s’arrêter,voiture normale,pressé (travail ou vol),50m,25km/h
1158,ensoleillé,jour,sec,policier,parle à quelqu'un,s’arrêter,voiture normale,pressé (travail ou vol),100m,50km/h
1163,ensoleillé,jour,sec,policier,parle à quelqu'un,s’arrêter,véhicule d'urgence,pressé (travail ou vol),50m,50km/h
1164,ensoleillé,jour,sec,policier,parle à quelqu'un,s’arrêter,véhicule d'urgence,pressé (travail ou vol),100m,50km/h
1183,ensoleillé,jour,sec,policier,parle à quelqu'un,s’arrêter,camion,aucun,10m,25km/h
1200,ensoleillé,jour,sec,policier,parle à quelqu'un,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),100m,50km/h
1228,ensoleillé,jour,sec,policier,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,aucun,10m,50km/h
1262,ensoleillé,jour,sec,policier,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),50m,25km/h
1273,ensoleillé,jour,sec,policier,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),10m,25km/h
1289,ensoleillé,jour,sec,policier,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,50m,50km/h
1291,ensoleillé,jour,sec,policier,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,10m,25km/h
1298,ensoleillé,jour,sec,policier,regarde autour,s’arrêter,voiture normale,urgence (vers hôpital),50m,25km/h
1329,ensoleillé,jour,sec,policier,regarde autour,s’arrêter,camion,pressé (travail ou vol),100m,25km/h
1347,ensoleillé,jour,sec,policier,regarde autour,s’arrêter,camion,aucun,100m,25km/h
1348,ensoleillé,jour,sec,policier,regarde autour,s’arrêter,camion,aucun,10m,50km/h
1351,ensoleillé,jour,sec,policier,regarde autour,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),10m,25km/h
1356,ensoleillé,jour,sec,policier,regarde autour,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),100m,50km/h
1384,ensoleillé,jour,sec,policier,regarde autour,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),10m,50km/h
1397,ensoleillé,jour,sec,policier,regarde autour,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,50m,50km/h
1398,ensoleillé,jour,sec,policier,regarde autour,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,100m,50km/h
1420,ensoleillé,jour,sec,policier,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),10m,50km/h
1428,ensoleillé,jour,sec,policier,regarde autour,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),100m,50km/h
1430,ensoleillé,jour,sec,policier,regarde autour,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),50m,25km/h
1444,ensoleillé,jour,sec,policier,regarde autour,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,10m,50km/h
1445,ensoleillé,jour,sec,policier,regarde autour,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,50m,50km/h
1454,ensoleillé,jour,sec,policier,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,50m,25km/h
1457,ensoleillé,jour,sec,policier,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,50m,50km/h
1494,ensoleillé,jour,sec,femme enceinte,regarde son téléphone,s’arrêter,camion,pressé (travail ou vol),100m,50km/h
1513,ensoleillé,jour,sec,femme enceinte,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),10m,25km/h
1523,ensoleillé,jour,sec,femme enceinte,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
1528,ensoleillé,jour,sec,femme enceinte,regarde son téléphone,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),10m,50km/h
1531,ensoleillé,jour,sec,femme enceinte,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),10m,25km/h
1535,ensoleillé,jour,sec,femme enceinte,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),50m,50km/h
1536,ensoleillé,jour,sec,femme enceinte,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),100m,50km/h
1612,ensoleillé,jour,sec,femme enceinte,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,10m,50km/h
1625,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,s’arrêter,voiture normale,urgence (vers hôpital),50m,50km/h
1633,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),10m,25km/h
1705,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),10m,25km/h
1711,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,aucun,10m,25km/h
1713,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,aucun,100m,25km/h
1730,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),50m,25km/h
1731,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),100m,25km/h
1740,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),100m,50km/h
1748,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),50m,25km/h
1769,ensoleillé,jour,sec,femme enceinte,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,50m,50km/h
1808,ensoleillé,jour,sec,femme enceinte,regarde autour,s’arrêter,véhicule d'urgence,pressé (travail ou vol),50m,25km/h
1816,ensoleillé,jour,sec,femme enceinte,regarde autour,s’arrêter,camion,pressé (travail ou vol),10m,50km/h
1839,ensoleillé,jour,sec,femme enceinte,regarde autour,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),100m,25km/h
1863,ensoleillé,jour,sec,femme enceinte,regarde autour,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),100m,25km/h
1870,ensoleillé,jour,sec,femme enceinte,regarde autour,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),10m,50km/h
1906,ensoleillé,jour,sec,femme enceinte,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),10m,50km/h
1912,ensoleillé,jour,sec,femme enceinte,regarde autour,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),10m,50km/h
1958,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),50m,25km/h
1960,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),10m,50km/h
1963,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,s’arrêter,voiture normale,pressé (travail ou vol),10m,25km/h
1982,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,s’arrêter,voiture normale,aucun,50m,25km/h
2009,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
2027,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),50m,50km/h
2035,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,aucun,10m,25km/h
2044,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,10m,50km/h
2066,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),50m,25km/h
2086,ensoleillé,jour,sec,étudiant universitaire,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),10m,50km/h
2112,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,s’arrêter,voiture normale,urgence (vers hôpital),100m,50km/h
2113,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),10m,25km/h
2128,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,s’arrêter,voiture normale,pressé (travail ou vol),10m,50km/h
2137,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),10m,25km/h
2142,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),100m,50km/h
2153,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,s’arrêter,véhicule d'urgence,aucun,50m,50km/h
2168,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
2175,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),100m,25km/h
2178,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),100m,50km/h
2185,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),10m,25km/h
2190,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),100m,50km/h
2200,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,aucun,10m,50km/h
2222,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
2226,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),100m,50km/h
2236,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),10m,50km/h
2248,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),10m,50km/h
2266,ensoleillé,jour,sec,étudiant universitaire,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,10m,50km/h
2271,ensoleillé,jour,sec,étudiant universitaire,regarde autour,s’arrêter,voiture normale,urgence (vers hôpital),100m,25km/h
2278,ensoleillé,jour,sec,étudiant universitaire,regarde autour,s’arrêter,véhicule d'urgence,urgence (vers hôpital),10m,50km/h
2280,ensoleillé,jour,sec,étudiant universitaire,regarde autour,s’arrêter,véhicule d'urgence,urgence (vers hôpital),100m,50km/h
2301,ensoleillé,jour,sec,étudiant universitaire,regarde autour,s’arrêter,camion,pressé (travail ou vol),100m,25km/h
2302,ensoleillé,jour,sec,étudiant universitaire,regarde autour,s’arrêter,camion,pressé (travail ou vol),10m,50km/h
2309,ensoleillé,jour,sec,étudiant universitaire,regarde autour,s’arrêter,voiture normale,aucun,50m,50km/h
2316,ensoleillé,jour,sec,étudiant universitaire,regarde autour,s’arrêter,véhicule d'urgence,aucun,100m,50km/h
2320,ensoleillé,jour,sec,étudiant universitaire,regarde autour,s’arrêter,camion,aucun,10m,50km/h
2326,ensoleillé,jour,sec,étudiant universitaire,regarde autour,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),10m,50km/h
2361,ensoleillé,jour,sec,étudiant universitaire,regarde autour,se déplacer en direction du passage piéton,voiture normale,aucun,100m,25km/h
2387,ensoleillé,jour,sec,étudiant universitaire,regarde autour,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
2389,ensoleillé,jour,sec,étudiant universitaire,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),10m,25km/h
2393,ensoleillé,jour,sec,étudiant universitaire,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),50m,50km/h
2394,ensoleillé,jour,sec,étudiant universitaire,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),100m,50km/h
2406,ensoleillé,jour,sec,étudiant universitaire,regarde autour,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),100m,50km/h
2409,ensoleillé,jour,sec,étudiant universitaire,regarde autour,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),100m,25km/h
2415,ensoleillé,jour,sec,étudiant universitaire,regarde autour,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,100m,25km/h
2440,ensoleillé,jour,mouillé,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,urgence (vers hôpital),10m,50km/h
2445,ensoleillé,jour,mouillé,enfant,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),100m,25km/h
2481,ensoleillé,jour,mouillé,enfant,regarde son téléphone,s’arrêter,camion,aucun,100m,25km/h
2484,ensoleillé,jour,mouillé,enfant,regarde son téléphone,s’arrêter,camion,aucun,100m,50km/h
2504,ensoleillé,jour,mouillé,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,pressé (travail ou vol),50m,25km/h
2513,ensoleillé,jour,mouillé,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,pressé (travail ou vol),50m,50km/h
2535,ensoleillé,jour,mouillé,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,aucun,100m,25km/h
2550,ensoleillé,jour,mouillé,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),100m,50km/h
2555,ensoleillé,jour,mouillé,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),50m,50km/h
2560,ensoleillé,jour,mouillé,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),10m,50km/h
2572,ensoleillé,jour,mouillé,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,camion,pressé (travail ou vol),10m,50km/h
2580,ensoleillé,jour,mouillé,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,100m,50km/h
2586,ensoleillé,jour,mouillé,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,100m,50km/h
2603,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
2606,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),50m,25km/h
2610,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,s’arrêter,camion,urgence (vers hôpital),100m,50km/h
2622,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,pressé (travail ou vol),100m,50km/h
2625,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),100m,25km/h
2627,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,s’arrêter,camion,pressé (travail ou vol),50m,50km/h
2648,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),50m,25km/h
2677,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),10m,25km/h
2678,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),50m,25km/h
2679,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),100m,25km/h
2699,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,camion,aucun,50m,50km/h
2700,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,camion,aucun,100m,50km/h
2702,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),50m,25km/h
2704,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),10m,50km/h
2713,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,camion,urgence (vers hôpital),10m,25km/h
2741,ensoleillé,jour,mouillé,enfant,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,aucun,50m,50km/h
