id,weather,time,road_condition,pedestrian_type,pedestrian_behavior,pedestiran_action,ego_role,occupant_requirement,distance to pedestrian,ego_vehicle_speed
97,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,none,10m,25km/h
98,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,none,50m,25km/h
99,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,none,100m,25km/h
100,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,none,10m,50km/h
101,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,none,50m,50km/h
102,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,none,100m,50km/h
103,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,none,10m,25km/h
104,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,none,50m,25km/h
105,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,none,100m,25km/h
106,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,none,10m,50km/h
107,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,none,50m,50km/h
108,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,none,100m,50km/h
109,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,urgent (to hospital),10m,25km/h
110,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,urgent (to hospital),50m,25km/h
111,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,urgent (to hospital),100m,25km/h
112,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,urgent (to hospital),10m,50km/h
113,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,urgent (to hospital),50m,50km/h
114,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,urgent (to hospital),100m,50km/h
115,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),10m,25km/h
116,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),50m,25km/h
117,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),100m,25km/h
118,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),10m,50km/h
119,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),50m,50km/h
120,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),100m,50km/h
121,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),10m,25km/h
122,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),50m,25km/h
123,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),100m,25km/h
124,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),10m,50km/h
125,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),50m,50km/h
126,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,urgent (to hospital),100m,50km/h
127,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),10m,25km/h
128,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),50m,25km/h
129,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),100m,25km/h
130,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),10m,50km/h
131,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),50m,50km/h
132,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),100m,50km/h
133,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),10m,25km/h
134,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),50m,25km/h
135,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),100m,25km/h
136,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),10m,50km/h
137,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),50m,50km/h
138,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),100m,50km/h
139,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),10m,25km/h
140,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),50m,25km/h
141,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),100m,25km/h
142,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),10m,50km/h
143,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),50m,50km/h
144,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,hurry (commute or flight),100m,50km/h
145,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,none,10m,25km/h
146,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,none,50m,25km/h
147,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,none,100m,25km/h
148,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,none,10m,50km/h
149,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,none,50m,50km/h
150,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,none,100m,50km/h
151,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,10m,25km/h
152,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,50m,25km/h
153,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,100m,25km/h
154,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,10m,50km/h
155,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,50m,50km/h
156,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,none,100m,50km/h
157,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,none,10m,25km/h
158,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,none,50m,25km/h
159,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,none,100m,25km/h
160,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,none,10m,50km/h
161,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,none,50m,50km/h
162,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,truck,none,100m,50km/h
163,sunny,day,dry,children,talking to someone,stop,normal car,urgent (to hospital),10m,25km/h
164,sunny,day,dry,children,talking to someone,stop,normal car,urgent (to hospital),50m,25km/h
165,sunny,day,dry,children,talking to someone,stop,normal car,urgent (to hospital),100m,25km/h
166,sunny,day,dry,children,talking to someone,stop,normal car,urgent (to hospital),10m,50km/h
167,sunny,day,dry,children,talking to someone,stop,normal car,urgent (to hospital),50m,50km/h
168,sunny,day,dry,children,talking to someone,stop,normal car,urgent (to hospital),100m,50km/h
169,sunny,day,dry,children,talking to someone,stop,emergency vehicle,urgent (to hospital),10m,25km/h
170,sunny,day,dry,children,talking to someone,stop,emergency vehicle,urgent (to hospital),50m,25km/h
171,sunny,day,dry,children,talking to someone,stop,emergency vehicle,urgent (to hospital),100m,25km/h
172,sunny,day,dry,children,talking to someone,stop,emergency vehicle,urgent (to hospital),10m,50km/h
173,sunny,day,dry,children,talking to someone,stop,emergency vehicle,urgent (to hospital),50m,50km/h
174,sunny,day,dry,children,talking to someone,stop,emergency vehicle,urgent (to hospital),100m,50km/h
175,sunny,day,dry,children,talking to someone,stop,truck,urgent (to hospital),10m,25km/h
176,sunny,day,dry,children,talking to someone,stop,truck,urgent (to hospital),50m,25km/h
177,sunny,day,dry,children,talking to someone,stop,truck,urgent (to hospital),100m,25km/h
178,sunny,day,dry,children,talking to someone,stop,truck,urgent (to hospital),10m,50km/h
179,sunny,day,dry,children,talking to someone,stop,truck,urgent (to hospital),50m,50km/h
180,sunny,day,dry,children,talking to someone,stop,truck,urgent (to hospital),100m,50km/h
181,sunny,day,dry,children,talking to someone,stop,normal car,hurry (commute or flight),10m,25km/h
182,sunny,day,dry,children,talking to someone,stop,normal car,hurry (commute or flight),50m,25km/h
183,sunny,day,dry,children,talking to someone,stop,normal car,hurry (commute or flight),100m,25km/h
184,sunny,day,dry,children,talking to someone,stop,normal car,hurry (commute or flight),10m,50km/h
185,sunny,day,dry,children,talking to someone,stop,normal car,hurry (commute or flight),50m,50km/h
186,sunny,day,dry,children,talking to someone,stop,normal car,hurry (commute or flight),100m,50km/h
187,sunny,day,dry,children,talking to someone,stop,emergency vehicle,hurry (commute or flight),10m,25km/h
188,sunny,day,dry,children,talking to someone,stop,emergency vehicle,hurry (commute or flight),50m,25km/h
189,sunny,day,dry,children,talking to someone,stop,emergency vehicle,hurry (commute or flight),100m,25km/h
190,sunny,day,dry,children,talking to someone,stop,emergency vehicle,hurry (commute or flight),10m,50km/h
191,sunny,day,dry,children,talking to someone,stop,emergency vehicle,hurry (commute or flight),50m,50km/h
192,sunny,day,dry,children,talking to someone,stop,emergency vehicle,hurry (commute or flight),100m,50km/h
193,sunny,day,dry,children,talking to someone,stop,truck,hurry (commute or flight),10m,25km/h
194,sunny,day,dry,children,talking to someone,stop,truck,hurry (commute or flight),50m,25km/h
195,sunny,day,dry,children,talking to someone,stop,truck,hurry (commute or flight),100m,25km/h
196,sunny,day,dry,children,talking to someone,stop,truck,hurry (commute or flight),10m,50km/h
197,sunny,day,dry,children,talking to someone,stop,truck,hurry (commute or flight),50m,50km/h
198,sunny,day,dry,children,talking to someone,stop,truck,hurry (commute or flight),100m,50km/h
199,sunny,day,dry,children,talking to someone,stop,normal car,none,10m,25km/h
200,sunny,day,dry,children,talking to someone,stop,normal car,none,50m,25km/h
201,sunny,day,dry,children,talking to someone,stop,normal car,none,100m,25km/h
202,sunny,day,dry,children,talking to someone,stop,normal car,none,10m,50km/h
203,sunny,day,dry,children,talking to someone,stop,normal car,none,50m,50km/h
204,sunny,day,dry,children,talking to someone,stop,normal car,none,100m,50km/h
205,sunny,day,dry,children,talking to someone,stop,emergency vehicle,none,10m,25km/h
206,sunny,day,dry,children,talking to someone,stop,emergency vehicle,none,50m,25km/h
207,sunny,day,dry,children,talking to someone,stop,emergency vehicle,none,100m,25km/h
208,sunny,day,dry,children,talking to someone,stop,emergency vehicle,none,10m,50km/h
209,sunny,day,dry,children,talking to someone,stop,emergency vehicle,none,50m,50km/h
210,sunny,day,dry,children,talking to someone,stop,emergency vehicle,none,100m,50km/h
211,sunny,day,dry,children,talking to someone,stop,truck,none,10m,25km/h
212,sunny,day,dry,children,talking to someone,stop,truck,none,50m,25km/h
213,sunny,day,dry,children,talking to someone,stop,truck,none,100m,25km/h
214,sunny,day,dry,children,talking to someone,stop,truck,none,10m,50km/h
215,sunny,day,dry,children,talking to someone,stop,truck,none,50m,50km/h
216,sunny,day,dry,children,talking to someone,stop,truck,none,100m,50km/h
217,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,25km/h
218,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,25km/h
219,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,25km/h
220,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,50km/h
221,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,50km/h
222,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,50km/h
223,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),10m,25km/h
224,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),50m,25km/h
225,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),100m,25km/h
226,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),10m,50km/h
227,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),50m,50km/h
228,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),100m,50km/h
229,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),10m,25km/h
230,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),50m,25km/h
231,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),100m,25km/h
232,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),10m,50km/h
233,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),50m,50km/h
234,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),100m,50km/h
235,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),10m,25km/h
236,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),50m,25km/h
237,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),100m,25km/h
238,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),10m,50km/h
239,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),50m,50km/h
240,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,hurry (commute or flight),100m,50km/h
241,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),10m,25km/h
242,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),50m,25km/h
243,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),100m,25km/h
244,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),10m,50km/h
245,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),50m,50km/h
246,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),100m,50km/h
247,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),10m,25km/h
248,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,25km/h
249,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),100m,25km/h
250,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),10m,50km/h
251,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,50km/h
252,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),100m,50km/h
253,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,none,10m,25km/h
254,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,none,50m,25km/h
255,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,none,100m,25km/h
256,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,none,10m,50km/h
257,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,none,50m,50km/h
258,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,none,100m,50km/h
259,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,10m,25km/h
260,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,50m,25km/h
261,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,100m,25km/h
262,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,10m,50km/h
263,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,50m,50km/h
264,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,emergency vehicle,none,100m,50km/h
265,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,none,10m,25km/h
266,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,none,50m,25km/h
267,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,none,100m,25km/h
268,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,none,10m,50km/h
269,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,none,50m,50km/h
270,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,none,100m,50km/h
271,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),10m,25km/h
272,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),50m,25km/h
273,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),100m,25km/h
274,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),10m,50km/h
275,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),50m,50km/h
276,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),100m,50km/h
277,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),10m,25km/h
278,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),50m,25km/h
279,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),100m,25km/h
280,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),10m,50km/h
281,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),50m,50km/h
282,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),100m,50km/h
283,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),10m,25km/h
284,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),50m,25km/h
285,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),100m,25km/h
286,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),10m,50km/h
287,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),50m,50km/h
288,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,truck,urgent (to hospital),100m,50km/h
