id,weather,time,road_condition,bicycle_front_space,bicycle_rider,bicycle_position,dist_bicycle,ego_vehicle_speed,ego_role,occupant_requirement,following_vehicle
2203,sunny,day,dry,20m,children,middle of the lane,100m,25km/h,normal car,hurry (commute or flight),normal car
2215,sunny,day,dry,20m,children,middle of the lane,100m,25km/h,emergency vehicle,hurry (commute or flight),normal car
2248,sunny,day,dry,20m,children,right of the lane,100m,25km/h,emergency vehicle,none,none
2251,sunny,day,dry,20m,children,middle of the lane,100m,25km/h,emergency vehicle,none,normal car
2268,sunny,day,dry,20m,children,right of the lane,100m,25km/h,truck,none,emergency vehicle
2278,sunny,day,dry,20m,adult,right of the lane,10m,50km/h,normal car,urgent (to hospital),emergency vehicle
2301,sunny,day,dry,20m,adult,middle of the lane,10m,50km/h,truck,urgent (to hospital),emergency vehicle
2306,sunny,day,dry,20m,adult,right of the lane,10m,50km/h,normal car,hurry (commute or flight),none
2309,sunny,day,dry,20m,adult,middle of the lane,10m,50km/h,normal car,hurry (commute or flight),normal car
2313,sunny,day,dry,20m,adult,middle of the lane,10m,50km/h,normal car,hurry (commute or flight),emergency vehicle
2316,sunny,day,dry,20m,children,right of the lane,10m,50km/h,normal car,hurry (commute or flight),emergency vehicle
2320,sunny,day,dry,20m,children,right of the lane,10m,50km/h,emergency vehicle,hurry (commute or flight),none
2324,sunny,day,dry,20m,children,right of the lane,10m,50km/h,emergency vehicle,hurry (commute or flight),normal car
2326,sunny,day,dry,20m,adult,right of the lane,10m,50km/h,emergency vehicle,hurry (commute or flight),emergency vehicle
2327,sunny,day,dry,20m,children,middle of the lane,10m,50km/h,emergency vehicle,hurry (commute or flight),emergency vehicle
2335,sunny,day,dry,20m,children,middle of the lane,10m,50km/h,truck,hurry (commute or flight),normal car
2352,sunny,day,dry,20m,children,right of the lane,10m,50km/h,normal car,none,emergency vehicle
2389,sunny,day,dry,20m,adult,middle of the lane,50m,50km/h,emergency vehicle,urgent (to hospital),none
2394,sunny,day,dry,20m,adult,right of the lane,50m,50km/h,emergency vehicle,urgent (to hospital),normal car
2421,sunny,day,dry,20m,adult,middle of the lane,50m,50km/h,normal car,hurry (commute or flight),emergency vehicle
2451,sunny,day,dry,20m,children,middle of the lane,50m,50km/h,normal car,none,none
2468,sunny,day,dry,20m,children,right of the lane,50m,50km/h,emergency vehicle,none,normal car
2484,sunny,day,dry,20m,children,right of the lane,50m,50km/h,truck,none,emergency vehicle
2504,sunny,day,dry,20m,children,right of the lane,100m,50km/h,emergency vehicle,urgent (to hospital),normal car
2506,sunny,day,dry,20m,adult,right of the lane,100m,50km/h,emergency vehicle,urgent (to hospital),emergency vehicle
2519,sunny,day,dry,20m,children,middle of the lane,100m,50km/h,truck,urgent (to hospital),emergency vehicle
2520,sunny,day,dry,20m,children,right of the lane,100m,50km/h,truck,urgent (to hospital),emergency vehicle
2534,sunny,day,dry,20m,adult,right of the lane,100m,50km/h,emergency vehicle,hurry (commute or flight),none
2547,sunny,day,dry,20m,children,middle of the lane,100m,50km/h,truck,hurry (commute or flight),none
2555,sunny,day,dry,20m,children,middle of the lane,100m,50km/h,truck,hurry (commute or flight),emergency vehicle
2560,sunny,day,dry,20m,children,right of the lane,100m,50km/h,normal car,none,none
2572,sunny,day,dry,20m,children,right of the lane,100m,50km/h,emergency vehicle,none,none
2580,sunny,day,dry,20m,children,right of the lane,100m,50km/h,emergency vehicle,none,emergency vehicle
2584,sunny,day,dry,20m,children,right of the lane,100m,50km/h,truck,none,none
2603,sunny,day,wet,free,children,middle of the lane,10m,25km/h,normal car,urgent (to hospital),emergency vehicle
2606,sunny,day,wet,free,adult,right of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),none
2609,sunny,day,wet,free,adult,middle of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),normal car
2617,sunny,day,wet,free,adult,middle of the lane,10m,25km/h,truck,urgent (to hospital),none
2618,sunny,day,wet,free,adult,right of the lane,10m,25km/h,truck,urgent (to hospital),none
2622,sunny,day,wet,free,adult,right of the lane,10m,25km/h,truck,urgent (to hospital),normal car
2642,sunny,day,wet,free,adult,right of the lane,10m,25km/h,emergency vehicle,hurry (commute or flight),none
2648,sunny,day,wet,free,children,right of the lane,10m,25km/h,emergency vehicle,hurry (commute or flight),normal car
2677,sunny,day,wet,free,adult,middle of the lane,10m,25km/h,emergency vehicle,none,none
2704,sunny,day,wet,free,children,right of the lane,50m,25km/h,normal car,urgent (to hospital),none
2711,sunny,day,wet,free,children,middle of the lane,50m,25km/h,normal car,urgent (to hospital),emergency vehicle
2715,sunny,day,wet,free,children,middle of the lane,50m,25km/h,emergency vehicle,urgent (to hospital),none
2726,sunny,day,wet,free,adult,right of the lane,50m,25km/h,truck,urgent (to hospital),none
2752,sunny,day,wet,free,children,right of the lane,50m,25km/h,emergency vehicle,hurry (commute or flight),none
2782,sunny,day,wet,free,adult,right of the lane,50m,25km/h,normal car,none,emergency vehicle
2790,sunny,day,wet,free,adult,right of the lane,50m,25km/h,emergency vehicle,none,normal car
2795,sunny,day,wet,free,children,middle of the lane,50m,25km/h,emergency vehicle,none,emergency vehicle
2798,sunny,day,wet,free,adult,right of the lane,50m,25km/h,truck,none,none
2827,sunny,day,wet,free,children,middle of the lane,100m,25km/h,emergency vehicle,urgent (to hospital),normal car
2849,sunny,day,wet,free,adult,middle of the lane,100m,25km/h,normal car,hurry (commute or flight),normal car
2865,sunny,day,wet,free,adult,middle of the lane,100m,25km/h,emergency vehicle,hurry (commute or flight),emergency vehicle
2880,sunny,day,wet,free,children,right of the lane,100m,25km/h,truck,hurry (commute or flight),emergency vehicle
2886,sunny,day,wet,free,adult,right of the lane,100m,25km/h,normal car,none,normal car
2894,sunny,day,wet,free,adult,right of the lane,100m,25km/h,emergency vehicle,none,none
2916,sunny,day,wet,free,children,right of the lane,100m,25km/h,truck,none,emergency vehicle
2936,sunny,day,wet,free,children,right of the lane,10m,50km/h,emergency vehicle,urgent (to hospital),normal car
2989,sunny,day,wet,free,adult,middle of the lane,10m,50km/h,normal car,none,none
3012,sunny,day,wet,free,children,right of the lane,10m,50km/h,emergency vehicle,none,emergency vehicle
3016,sunny,day,wet,free,children,right of the lane,10m,50km/h,truck,none,none
3019,sunny,day,wet,free,children,middle of the lane,10m,50km/h,truck,none,normal car
3024,sunny,day,wet,free,children,right of the lane,10m,50km/h,truck,none,emergency vehicle
3025,sunny,day,wet,free,adult,middle of the lane,50m,50km/h,normal car,urgent (to hospital),none
3036,sunny,day,wet,free,children,right of the lane,50m,50km/h,normal car,urgent (to hospital),emergency vehicle
3063,sunny,day,wet,free,children,middle of the lane,50m,50km/h,normal car,hurry (commute or flight),none
3069,sunny,day,wet,free,adult,middle of the lane,50m,50km/h,normal car,hurry (commute or flight),emergency vehicle
3101,sunny,day,wet,free,adult,middle of the lane,50m,50km/h,normal car,none,normal car
3114,sunny,day,wet,free,adult,right of the lane,50m,50km/h,emergency vehicle,none,normal car
3143,sunny,day,wet,free,children,middle of the lane,100m,50km/h,normal car,urgent (to hospital),emergency vehicle
3166,sunny,day,wet,free,adult,right of the lane,100m,50km/h,truck,urgent (to hospital),emergency vehicle
3170,sunny,day,wet,free,adult,right of the lane,100m,50km/h,normal car,hurry (commute or flight),none
3185,sunny,day,wet,free,adult,middle of the lane,100m,50km/h,emergency vehicle,hurry (commute or flight),normal car
3201,sunny,day,wet,free,adult,middle of the lane,100m,50km/h,truck,hurry (commute or flight),emergency vehicle
3208,sunny,day,wet,free,children,right of the lane,100m,50km/h,normal car,none,none
3209,sunny,day,wet,free,adult,middle of the lane,100m,50km/h,normal car,none,normal car
3223,sunny,day,wet,free,children,middle of the lane,100m,50km/h,emergency vehicle,none,normal car
3257,sunny,day,wet,100m,adult,middle of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),normal car
3266,sunny,day,wet,100m,adult,right of the lane,10m,25km/h,truck,urgent (to hospital),none
3278,sunny,day,wet,100m,adult,right of the lane,10m,25km/h,normal car,hurry (commute or flight),none
3287,sunny,day,wet,100m,children,middle of the lane,10m,25km/h,normal car,hurry (commute or flight),emergency vehicle
3311,sunny,day,wet,100m,children,middle of the lane,10m,25km/h,truck,hurry (commute or flight),emergency vehicle
3351,sunny,day,wet,100m,children,middle of the lane,50m,25km/h,normal car,urgent (to hospital),none
3352,sunny,day,wet,100m,children,right of the lane,50m,25km/h,normal car,urgent (to hospital),none
3354,sunny,day,wet,100m,adult,right of the lane,50m,25km/h,normal car,urgent (to hospital),normal car
3355,sunny,day,wet,100m,children,middle of the lane,50m,25km/h,normal car,urgent (to hospital),normal car
3377,sunny,day,wet,100m,adult,middle of the lane,50m,25km/h,truck,urgent (to hospital),normal car
3394,sunny,day,wet,100m,adult,right of the lane,50m,25km/h,normal car,hurry (commute or flight),emergency vehicle
3406,sunny,day,wet,100m,adult,right of the lane,50m,25km/h,emergency vehicle,hurry (commute or flight),emergency vehicle
3464,sunny,day,wet,100m,children,right of the lane,100m,25km/h,normal car,urgent (to hospital),normal car
3474,sunny,day,wet,100m,adult,right of the lane,100m,25km/h,emergency vehicle,urgent (to hospital),normal car
3483,sunny,day,wet,100m,children,middle of the lane,100m,25km/h,truck,urgent (to hospital),none
3489,sunny,day,wet,100m,adult,middle of the lane,100m,25km/h,truck,urgent (to hospital),emergency vehicle
3499,sunny,day,wet,100m,children,middle of the lane,100m,25km/h,normal car,hurry (commute or flight),normal car
3506,sunny,day,wet,100m,adult,right of the lane,100m,25km/h,emergency vehicle,hurry (commute or flight),none
3508,sunny,day,wet,100m,children,right of the lane,100m,25km/h,emergency vehicle,hurry (commute or flight),none
3509,sunny,day,wet,100m,adult,middle of the lane,100m,25km/h,emergency vehicle,hurry (commute or flight),normal car
3510,sunny,day,wet,100m,adult,right of the lane,100m,25km/h,emergency vehicle,hurry (commute or flight),normal car
3520,sunny,day,wet,100m,children,right of the lane,100m,25km/h,truck,hurry (commute or flight),none
3523,sunny,day,wet,100m,children,middle of the lane,100m,25km/h,truck,hurry (commute or flight),normal car
3526,sunny,day,wet,100m,adult,right of the lane,100m,25km/h,truck,hurry (commute or flight),emergency vehicle
3530,sunny,day,wet,100m,adult,right of the lane,100m,25km/h,normal car,none,none
3534,sunny,day,wet,100m,adult,right of the lane,100m,25km/h,normal car,none,normal car
3572,sunny,day,wet,100m,children,right of the lane,10m,50km/h,normal car,urgent (to hospital),normal car
3579,sunny,day,wet,100m,children,middle of the lane,10m,50km/h,emergency vehicle,urgent (to hospital),none
3589,sunny,day,wet,100m,adult,middle of the lane,10m,50km/h,truck,urgent (to hospital),none
3610,sunny,day,wet,100m,adult,right of the lane,10m,50km/h,normal car,hurry (commute or flight),emergency vehicle
3617,sunny,day,wet,100m,adult,middle of the lane,10m,50km/h,emergency vehicle,hurry (commute or flight),normal car
3634,sunny,day,wet,100m,adult,right of the lane,10m,50km/h,truck,hurry (commute or flight),emergency vehicle
3670,sunny,day,wet,100m,adult,right of the lane,10m,50km/h,truck,none,emergency vehicle
3683,sunny,day,wet,100m,children,middle of the lane,50m,50km/h,normal car,urgent (to hospital),emergency vehicle
3687,sunny,day,wet,100m,children,middle of the lane,50m,50km/h,emergency vehicle,urgent (to hospital),none
3690,sunny,day,wet,100m,adult,right of the lane,50m,50km/h,emergency vehicle,urgent (to hospital),normal car
3704,sunny,day,wet,100m,children,right of the lane,50m,50km/h,truck,urgent (to hospital),normal car
3712,sunny,day,wet,100m,children,right of the lane,50m,50km/h,normal car,hurry (commute or flight),none
3753,sunny,day,wet,100m,adult,middle of the lane,50m,50km/h,normal car,none,emergency vehicle
3770,sunny,day,wet,100m,adult,right of the lane,50m,50km/h,truck,none,none
3827,sunny,day,wet,100m,children,middle of the lane,100m,50km/h,normal car,hurry (commute or flight),emergency vehicle
3837,sunny,day,wet,100m,adult,middle of the lane,100m,50km/h,emergency vehicle,hurry (commute or flight),emergency vehicle
3883,sunny,day,wet,100m,children,middle of the lane,100m,50km/h,truck,none,normal car
3888,sunny,day,wet,100m,children,right of the lane,100m,50km/h,truck,none,emergency vehicle
3965,sunny,day,wet,50m,adult,middle of the lane,10m,25km/h,normal car,none,normal car
3972,sunny,day,wet,50m,children,right of the lane,10m,25km/h,normal car,none,emergency vehicle
3980,sunny,day,wet,50m,children,right of the lane,10m,25km/h,emergency vehicle,none,normal car
3994,sunny,day,wet,50m,adult,right of the lane,10m,25km/h,truck,none,emergency vehicle
4008,sunny,day,wet,50m,children,right of the lane,50m,25km/h,normal car,urgent (to hospital),emergency vehicle
4014,sunny,day,wet,50m,adult,right of the lane,50m,25km/h,emergency vehicle,urgent (to hospital),normal car
4032,sunny,day,wet,50m,children,right of the lane,50m,25km/h,truck,urgent (to hospital),emergency vehicle
4033,sunny,day,wet,50m,adult,middle of the lane,50m,25km/h,normal car,hurry (commute or flight),none
4035,sunny,day,wet,50m,children,middle of the lane,50m,25km/h,normal car,hurry (commute or flight),none
4047,sunny,day,wet,50m,children,middle of the lane,50m,25km/h,emergency vehicle,hurry (commute or flight),none
4049,sunny,day,wet,50m,adult,middle of the lane,50m,25km/h,emergency vehicle,hurry (commute or flight),normal car
4060,sunny,day,wet,50m,children,right of the lane,50m,25km/h,truck,hurry (commute or flight),none
4069,sunny,day,wet,50m,adult,middle of the lane,50m,25km/h,normal car,none,none
4070,sunny,day,wet,50m,adult,right of the lane,50m,25km/h,normal car,none,none
4073,sunny,day,wet,50m,adult,middle of the lane,50m,25km/h,normal car,none,normal car
4075,sunny,day,wet,50m,children,middle of the lane,50m,25km/h,normal car,none,normal car
4098,sunny,day,wet,50m,adult,right of the lane,50m,25km/h,truck,none,normal car
4102,sunny,day,wet,50m,adult,right of the lane,50m,25km/h,truck,none,emergency vehicle
4107,sunny,day,wet,50m,children,middle of the lane,100m,25km/h,normal car,urgent (to hospital),none
4116,sunny,day,wet,50m,children,right of the lane,100m,25km/h,normal car,urgent (to hospital),emergency vehicle
4141,sunny,day,wet,50m,adult,middle of the lane,100m,25km/h,normal car,hurry (commute or flight),none
4149,sunny,day,wet,50m,adult,middle of the lane,100m,25km/h,normal car,hurry (commute or flight),emergency vehicle
4150,sunny,day,wet,50m,adult,right of the lane,100m,25km/h,normal car,hurry (commute or flight),emergency vehicle
4167,sunny,day,wet,50m,children,middle of the lane,100m,25km/h,truck,hurry (commute or flight),none
4169,sunny,day,wet,50m,adult,middle of the lane,100m,25km/h,truck,hurry (commute or flight),normal car
4190,sunny,day,wet,50m,adult,right of the lane,100m,25km/h,emergency vehicle,none,none
4192,sunny,day,wet,50m,children,right of the lane,100m,25km/h,emergency vehicle,none,none
4194,sunny,day,wet,50m,adult,right of the lane,100m,25km/h,emergency vehicle,none,normal car
