id,天气,时间,路况,自行车前方空隙,骑车人类型,骑车人位置,与骑车人距离,本车速度,本车角色,乘客需求,后车类型
29,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,卡车,紧急（去医院）,普通车辆
30,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,卡车,紧急（去医院）,普通车辆
31,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,紧急（去医院）,普通车辆
32,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,紧急（去医院）,普通车辆
33,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,卡车,紧急（去医院）,应急车辆
34,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,卡车,紧急（去医院）,应急车辆
35,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,紧急（去医院）,应急车辆
36,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,紧急（去医院）,应急车辆
37,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
38,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
39,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
40,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
41,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
42,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
43,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
44,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
45,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
46,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
47,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
48,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
49,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
50,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
51,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
52,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
53,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
54,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
55,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
56,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
57,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
58,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
59,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
60,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
61,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,卡车,赶时间（通勤或赶飞机）,无
62,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,卡车,赶时间（通勤或赶飞机）,无
63,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,赶时间（通勤或赶飞机）,无
64,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,赶时间（通勤或赶飞机）,无
65,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
66,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
67,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
68,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
69,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
70,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
71,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
72,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
73,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,普通车辆,无特殊需求,无
74,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,普通车辆,无特殊需求,无
75,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,普通车辆,无特殊需求,无
76,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,普通车辆,无特殊需求,无
77,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,普通车辆,无特殊需求,普通车辆
78,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,普通车辆,无特殊需求,普通车辆
79,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,普通车辆,无特殊需求,普通车辆
80,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,普通车辆,无特殊需求,普通车辆
81,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,普通车辆,无特殊需求,应急车辆
82,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,普通车辆,无特殊需求,应急车辆
83,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,普通车辆,无特殊需求,应急车辆
84,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,普通车辆,无特殊需求,应急车辆
85,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,应急车辆,无特殊需求,无
86,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,无特殊需求,无
87,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,应急车辆,无特殊需求,无
88,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,无特殊需求,无
89,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,应急车辆,无特殊需求,普通车辆
90,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,无特殊需求,普通车辆
91,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,应急车辆,无特殊需求,普通车辆
92,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,无特殊需求,普通车辆
93,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,应急车辆,无特殊需求,应急车辆
94,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,无特殊需求,应急车辆
95,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,应急车辆,无特殊需求,应急车辆
96,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,无特殊需求,应急车辆
97,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,卡车,无特殊需求,无
98,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,卡车,无特殊需求,无
99,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,无特殊需求,无
100,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,无特殊需求,无
101,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,卡车,无特殊需求,普通车辆
102,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,卡车,无特殊需求,普通车辆
103,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,无特殊需求,普通车辆
104,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,无特殊需求,普通车辆
105,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,卡车,无特殊需求,应急车辆
106,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,卡车,无特殊需求,应急车辆
107,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,无特殊需求,应急车辆
108,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,无特殊需求,应急车辆
109,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,紧急（去医院）,无
110,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,无
111,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,普通车辆,紧急（去医院）,无
112,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,无
113,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,紧急（去医院）,普通车辆
114,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,普通车辆
115,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,普通车辆,紧急（去医院）,普通车辆
116,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,普通车辆
117,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,紧急（去医院）,应急车辆
118,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,应急车辆
119,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,普通车辆,紧急（去医院）,应急车辆
120,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,应急车辆
121,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,应急车辆,紧急（去医院）,无
122,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,紧急（去医院）,无
123,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,应急车辆,紧急（去医院）,无
124,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,紧急（去医院）,无
125,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,应急车辆,紧急（去医院）,普通车辆
126,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,紧急（去医院）,普通车辆
127,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,应急车辆,紧急（去医院）,普通车辆
128,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,紧急（去医院）,普通车辆
129,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,应急车辆,紧急（去医院）,应急车辆
130,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,紧急（去医院）,应急车辆
131,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,应急车辆,紧急（去医院）,应急车辆
132,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,紧急（去医院）,应急车辆
133,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,紧急（去医院）,无
134,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,紧急（去医院）,无
135,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,卡车,紧急（去医院）,无
136,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,紧急（去医院）,无
137,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,紧急（去医院）,普通车辆
138,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,紧急（去医院）,普通车辆
139,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,卡车,紧急（去医院）,普通车辆
140,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,紧急（去医院）,普通车辆
141,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,紧急（去医院）,应急车辆
142,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,紧急（去医院）,应急车辆
143,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,卡车,紧急（去医院）,应急车辆
144,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,紧急（去医院）,应急车辆
145,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
146,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
147,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
148,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
149,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
150,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
151,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
152,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
153,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
154,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
155,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
156,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
157,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
158,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
159,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
160,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
161,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
162,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
163,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
164,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
165,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
166,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
167,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
168,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
169,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,赶时间（通勤或赶飞机）,无
170,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,赶时间（通勤或赶飞机）,无
171,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,卡车,赶时间（通勤或赶飞机）,无
172,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,赶时间（通勤或赶飞机）,无
173,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
174,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
175,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
176,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
177,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
178,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
179,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
180,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
181,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,无特殊需求,无
182,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,无特殊需求,无
183,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,普通车辆,无特殊需求,无
184,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,无特殊需求,无
185,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,无特殊需求,普通车辆
186,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,无特殊需求,普通车辆
187,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,普通车辆,无特殊需求,普通车辆
188,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,无特殊需求,普通车辆
189,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,无特殊需求,应急车辆
190,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,无特殊需求,应急车辆
191,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,普通车辆,无特殊需求,应急车辆
192,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,无特殊需求,应急车辆
193,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,应急车辆,无特殊需求,无
194,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,无特殊需求,无
195,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,应急车辆,无特殊需求,无
196,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,无特殊需求,无
197,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,应急车辆,无特殊需求,普通车辆
198,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,无特殊需求,普通车辆
199,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,应急车辆,无特殊需求,普通车辆
200,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,无特殊需求,普通车辆
201,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,应急车辆,无特殊需求,应急车辆
202,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,无特殊需求,应急车辆
203,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,应急车辆,无特殊需求,应急车辆
204,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,无特殊需求,应急车辆
205,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,无特殊需求,无
206,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,无特殊需求,无
207,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,卡车,无特殊需求,无
208,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,无特殊需求,无
209,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,无特殊需求,普通车辆
210,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,无特殊需求,普通车辆
211,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,卡车,无特殊需求,普通车辆
212,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,无特殊需求,普通车辆
213,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,无特殊需求,应急车辆
214,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,无特殊需求,应急车辆
215,晴天,白天,干燥,无车辆,儿童,车道中间,50米,25km/h,卡车,无特殊需求,应急车辆
216,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,无特殊需求,应急车辆
217,晴天,白天,干燥,无车辆,成年人,车道中间,100米,25km/h,普通车辆,紧急（去医院）,无
218,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,普通车辆,紧急（去医院）,无
219,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,普通车辆,紧急（去医院）,无
220,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,普通车辆,紧急（去医院）,无
221,晴天,白天,干燥,无车辆,成年人,车道中间,100米,25km/h,普通车辆,紧急（去医院）,普通车辆
222,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,普通车辆,紧急（去医院）,普通车辆
223,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,普通车辆,紧急（去医院）,普通车辆
224,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,普通车辆,紧急（去医院）,普通车辆
225,晴天,白天,干燥,无车辆,成年人,车道中间,100米,25km/h,普通车辆,紧急（去医院）,应急车辆
226,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,普通车辆,紧急（去医院）,应急车辆
227,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,普通车辆,紧急（去医院）,应急车辆
228,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,普通车辆,紧急（去医院）,应急车辆
229,晴天,白天,干燥,无车辆,成年人,车道中间,100米,25km/h,应急车辆,紧急（去医院）,无
230,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,应急车辆,紧急（去医院）,无
231,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,应急车辆,紧急（去医院）,无
232,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,应急车辆,紧急（去医院）,无
233,晴天,白天,干燥,无车辆,成年人,车道中间,100米,25km/h,应急车辆,紧急（去医院）,普通车辆
234,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,应急车辆,紧急（去医院）,普通车辆
235,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,应急车辆,紧急（去医院）,普通车辆
236,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,应急车辆,紧急（去医院）,普通车辆
237,晴天,白天,干燥,无车辆,成年人,车道中间,100米,25km/h,应急车辆,紧急（去医院）,应急车辆
238,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,应急车辆,紧急（去医院）,应急车辆
239,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,应急车辆,紧急（去医院）,应急车辆
240,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,应急车辆,紧急（去医院）,应急车辆
241,晴天,白天,干燥,无车辆,成年人,车道中间,100米,25km/h,卡车,紧急（去医院）,无
242,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,卡车,紧急（去医院）,无
243,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,卡车,紧急（去医院）,无
244,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,卡车,紧急（去医院）,无
245,晴天,白天,干燥,无车辆,成年人,车道中间,100米,25km/h,卡车,紧急（去医院）,普通车辆
246,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,卡车,紧急（去医院）,普通车辆
247,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,卡车,紧急（去医院）,普通车辆
