id,天气,时间,路况,自行车前方空隙,骑车人类型,骑车人位置,与骑车人距离,本车速度,本车角色,乘客需求,后车类型
1289,晴天,白天,干燥,100米,成年人,车道中间,100米,50km/h,卡车,无特殊需求,普通车辆
1291,晴天,白天,干燥,100米,儿童,车道中间,100米,50km/h,卡车,无特殊需求,普通车辆
1298,晴天,白天,干燥,50米,成年人,车道右侧,10米,25km/h,普通车辆,紧急（去医院）,无
1329,晴天,白天,干燥,50米,成年人,车道中间,10米,25km/h,卡车,紧急（去医院）,应急车辆
1338,晴天,白天,干燥,50米,成年人,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
1347,晴天,白天,干燥,50米,儿童,车道中间,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
1351,晴天,白天,干燥,50米,儿童,车道中间,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
1356,晴天,白天,干燥,50米,儿童,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
1394,晴天,白天,干燥,50米,成年人,车道右侧,10米,25km/h,卡车,无特殊需求,无
1399,晴天,白天,干燥,50米,儿童,车道中间,10米,25km/h,卡车,无特殊需求,普通车辆
1428,晴天,白天,干燥,50米,儿童,车道右侧,50米,25km/h,应急车辆,紧急（去医院）,应急车辆
1434,晴天,白天,干燥,50米,成年人,车道右侧,50米,25km/h,卡车,紧急（去医院）,普通车辆
1457,晴天,白天,干燥,50米,成年人,车道中间,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
1458,晴天,白天,干燥,50米,成年人,车道右侧,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
1476,晴天,白天,干燥,50米,儿童,车道右侧,50米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
1494,晴天,白天,干燥,50米,成年人,车道右侧,50米,25km/h,应急车辆,无特殊需求,普通车辆
1504,晴天,白天,干燥,50米,儿童,车道右侧,50米,25km/h,卡车,无特殊需求,无
1505,晴天,白天,干燥,50米,成年人,车道中间,50米,25km/h,卡车,无特殊需求,普通车辆
1511,晴天,白天,干燥,50米,儿童,车道中间,50米,25km/h,卡车,无特殊需求,应急车辆
1513,晴天,白天,干燥,50米,成年人,车道中间,100米,25km/h,普通车辆,紧急（去医院）,无
1523,晴天,白天,干燥,50米,儿童,车道中间,100米,25km/h,普通车辆,紧急（去医院）,应急车辆
1528,晴天,白天,干燥,50米,儿童,车道右侧,100米,25km/h,应急车辆,紧急（去医院）,无
1531,晴天,白天,干燥,50米,儿童,车道中间,100米,25km/h,应急车辆,紧急（去医院）,普通车辆
1536,晴天,白天,干燥,50米,儿童,车道右侧,100米,25km/h,应急车辆,紧急（去医院）,应急车辆
1555,晴天,白天,干燥,50米,儿童,车道中间,100米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
1573,晴天,白天,干燥,50米,成年人,车道中间,100米,25km/h,卡车,赶时间（通勤或赶飞机）,无
1581,晴天,白天,干燥,50米,成年人,车道中间,100米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
1600,晴天,白天,干燥,50米,儿童,车道右侧,100米,25km/h,应急车辆,无特殊需求,无
1607,晴天,白天,干燥,50米,儿童,车道中间,100米,25km/h,应急车辆,无特殊需求,应急车辆
1612,晴天,白天,干燥,50米,儿童,车道右侧,100米,25km/h,卡车,无特殊需求,无
1636,晴天,白天,干燥,50米,儿童,车道右侧,10米,50km/h,应急车辆,紧急（去医院）,无
1643,晴天,白天,干燥,50米,儿童,车道中间,10米,50km/h,应急车辆,紧急（去医院）,应急车辆
1693,晴天,白天,干燥,50米,成年人,车道中间,10米,50km/h,普通车辆,无特殊需求,无
1713,晴天,白天,干燥,50米,成年人,车道中间,10米,50km/h,应急车辆,无特殊需求,应急车辆
1714,晴天,白天,干燥,50米,成年人,车道右侧,10米,50km/h,应急车辆,无特殊需求,应急车辆
1720,晴天,白天,干燥,50米,儿童,车道右侧,10米,50km/h,卡车,无特殊需求,无
1730,晴天,白天,干燥,50米,成年人,车道右侧,50米,50km/h,普通车辆,紧急（去医院）,无
1731,晴天,白天,干燥,50米,儿童,车道中间,50米,50km/h,普通车辆,紧急（去医院）,无
1769,晴天,白天,干燥,50米,成年人,车道中间,50米,50km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
1789,晴天,白天,干燥,50米,成年人,车道中间,50米,50km/h,卡车,赶时间（通勤或赶飞机）,无
1806,晴天,白天,干燥,50米,成年人,车道右侧,50米,50km/h,普通车辆,无特殊需求,普通车辆
1808,晴天,白天,干燥,50米,儿童,车道右侧,50米,50km/h,普通车辆,无特殊需求,普通车辆
1816,晴天,白天,干燥,50米,儿童,车道右侧,50米,50km/h,应急车辆,无特殊需求,无
1863,晴天,白天,干燥,50米,儿童,车道中间,100米,50km/h,卡车,紧急（去医院）,无
1902,晴天,白天,干燥,50米,成年人,车道右侧,100米,50km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
1912,晴天,白天,干燥,50米,儿童,车道右侧,100米,50km/h,普通车辆,无特殊需求,无
1969,晴天,白天,干燥,20米,成年人,车道中间,10米,25km/h,卡车,紧急（去医院）,无
1979,晴天,白天,干燥,20米,儿童,车道中间,10米,25km/h,卡车,紧急（去医院）,应急车辆
1982,晴天,白天,干燥,20米,成年人,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
2004,晴天,白天,干燥,20米,儿童,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
2009,晴天,白天,干燥,20米,成年人,车道中间,10米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
2021,晴天,白天,干燥,20米,成年人,车道中间,10米,25km/h,普通车辆,无特殊需求,普通车辆
2042,晴天,白天,干燥,20米,成年人,车道右侧,10米,25km/h,卡车,无特殊需求,无
2054,晴天,白天,干燥,20米,成年人,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,无
2085,晴天,白天,干燥,20米,成年人,车道中间,50米,25km/h,卡车,紧急（去医院）,应急车辆
2120,晴天,白天,干燥,20米,儿童,车道右侧,50米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
2128,晴天,白天,干燥,20米,儿童,车道右侧,50米,25km/h,普通车辆,无特殊需求,无
2141,晴天,白天,干燥,20米,成年人,车道中间,50米,25km/h,应急车辆,无特殊需求,普通车辆
2142,晴天,白天,干燥,20米,成年人,车道右侧,50米,25km/h,应急车辆,无特殊需求,普通车辆
2146,晴天,白天,干燥,20米,成年人,车道右侧,50米,25km/h,应急车辆,无特殊需求,应急车辆
2151,晴天,白天,干燥,20米,儿童,车道中间,50米,25km/h,卡车,无特殊需求,无
2169,晴天,白天,干燥,20米,成年人,车道中间,100米,25km/h,普通车辆,紧急（去医院）,应急车辆
2172,晴天,白天,干燥,20米,儿童,车道右侧,100米,25km/h,普通车辆,紧急（去医院）,应急车辆
2175,晴天,白天,干燥,20米,儿童,车道中间,100米,25km/h,应急车辆,紧急（去医院）,无
2196,晴天,白天,干燥,20米,儿童,车道右侧,100米,25km/h,卡车,紧急（去医院）,应急车辆
2200,晴天,白天,干燥,20米,儿童,车道右侧,100米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
2203,晴天,白天,干燥,20米,儿童,车道中间,100米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
2215,晴天,白天,干燥,20米,儿童,车道中间,100米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
2248,晴天,白天,干燥,20米,儿童,车道右侧,100米,25km/h,应急车辆,无特殊需求,无
2251,晴天,白天,干燥,20米,儿童,车道中间,100米,25km/h,应急车辆,无特殊需求,普通车辆
2268,晴天,白天,干燥,20米,儿童,车道右侧,100米,25km/h,卡车,无特殊需求,应急车辆
2278,晴天,白天,干燥,20米,成年人,车道右侧,10米,50km/h,普通车辆,紧急（去医院）,应急车辆
2301,晴天,白天,干燥,20米,成年人,车道中间,10米,50km/h,卡车,紧急（去医院）,应急车辆
2306,晴天,白天,干燥,20米,成年人,车道右侧,10米,50km/h,普通车辆,赶时间（通勤或赶飞机）,无
2309,晴天,白天,干燥,20米,成年人,车道中间,10米,50km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
2313,晴天,白天,干燥,20米,成年人,车道中间,10米,50km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
2316,晴天,白天,干燥,20米,儿童,车道右侧,10米,50km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
2320,晴天,白天,干燥,20米,儿童,车道右侧,10米,50km/h,应急车辆,赶时间（通勤或赶飞机）,无
2324,晴天,白天,干燥,20米,儿童,车道右侧,10米,50km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
2326,晴天,白天,干燥,20米,成年人,车道右侧,10米,50km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
2327,晴天,白天,干燥,20米,儿童,车道中间,10米,50km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
2335,晴天,白天,干燥,20米,儿童,车道中间,10米,50km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
2352,晴天,白天,干燥,20米,儿童,车道右侧,10米,50km/h,普通车辆,无特殊需求,应急车辆
2389,晴天,白天,干燥,20米,成年人,车道中间,50米,50km/h,应急车辆,紧急（去医院）,无
2394,晴天,白天,干燥,20米,成年人,车道右侧,50米,50km/h,应急车辆,紧急（去医院）,普通车辆
2421,晴天,白天,干燥,20米,成年人,车道中间,50米,50km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
2451,晴天,白天,干燥,20米,儿童,车道中间,50米,50km/h,普通车辆,无特殊需求,无
2468,晴天,白天,干燥,20米,儿童,车道右侧,50米,50km/h,应急车辆,无特殊需求,普通车辆
2484,晴天,白天,干燥,20米,儿童,车道右侧,50米,50km/h,卡车,无特殊需求,应急车辆
2504,晴天,白天,干燥,20米,儿童,车道右侧,100米,50km/h,应急车辆,紧急（去医院）,普通车辆
2506,晴天,白天,干燥,20米,成年人,车道右侧,100米,50km/h,应急车辆,紧急（去医院）,应急车辆
2519,晴天,白天,干燥,20米,儿童,车道中间,100米,50km/h,卡车,紧急（去医院）,应急车辆
2520,晴天,白天,干燥,20米,儿童,车道右侧,100米,50km/h,卡车,紧急（去医院）,应急车辆
2534,晴天,白天,干燥,20米,成年人,车道右侧,100米,50km/h,应急车辆,赶时间（通勤或赶飞机）,无
2547,晴天,白天,干燥,20米,儿童,车道中间,100米,50km/h,卡车,赶时间（通勤或赶飞机）,无
2555,晴天,白天,干燥,20米,儿童,车道中间,100米,50km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
2560,晴天,白天,干燥,20米,儿童,车道右侧,100米,50km/h,普通车辆,无特殊需求,无
2572,晴天,白天,干燥,20米,儿童,车道右侧,100米,50km/h,应急车辆,无特殊需求,无
2580,晴天,白天,干燥,20米,儿童,车道右侧,100米,50km/h,应急车辆,无特殊需求,应急车辆
2584,晴天,白天,干燥,20米,儿童,车道右侧,100米,50km/h,卡车,无特殊需求,无
2603,晴天,白天,潮湿,无车辆,儿童,车道中间,10米,25km/h,普通车辆,紧急（去医院）,应急车辆
2606,晴天,白天,潮湿,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,紧急（去医院）,无
2609,晴天,白天,潮湿,无车辆,成年人,车道中间,10米,25km/h,应急车辆,紧急（去医院）,普通车辆
2617,晴天,白天,潮湿,无车辆,成年人,车道中间,10米,25km/h,卡车,紧急（去医院）,无
2618,晴天,白天,潮湿,无车辆,成年人,车道右侧,10米,25km/h,卡车,紧急（去医院）,无
2622,晴天,白天,潮湿,无车辆,成年人,车道右侧,10米,25km/h,卡车,紧急（去医院）,普通车辆
2642,晴天,白天,潮湿,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
2648,晴天,白天,潮湿,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
2677,晴天,白天,潮湿,无车辆,成年人,车道中间,10米,25km/h,应急车辆,无特殊需求,无
2704,晴天,白天,潮湿,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,无
2711,晴天,白天,潮湿,无车辆,儿童,车道中间,50米,25km/h,普通车辆,紧急（去医院）,应急车辆
2715,晴天,白天,潮湿,无车辆,儿童,车道中间,50米,25km/h,应急车辆,紧急（去医院）,无
2726,晴天,白天,潮湿,无车辆,成年人,车道右侧,50米,25km/h,卡车,紧急（去医院）,无
2752,晴天,白天,潮湿,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
2782,晴天,白天,潮湿,无车辆,成年人,车道右侧,50米,25km/h,普通车辆,无特殊需求,应急车辆
2790,晴天,白天,潮湿,无车辆,成年人,车道右侧,50米,25km/h,应急车辆,无特殊需求,普通车辆
2795,晴天,白天,潮湿,无车辆,儿童,车道中间,50米,25km/h,应急车辆,无特殊需求,应急车辆
2798,晴天,白天,潮湿,无车辆,成年人,车道右侧,50米,25km/h,卡车,无特殊需求,无
2827,晴天,白天,潮湿,无车辆,儿童,车道中间,100米,25km/h,应急车辆,紧急（去医院）,普通车辆
2849,晴天,白天,潮湿,无车辆,成年人,车道中间,100米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
2865,晴天,白天,潮湿,无车辆,成年人,车道中间,100米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
2880,晴天,白天,潮湿,无车辆,儿童,车道右侧,100米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
2886,晴天,白天,潮湿,无车辆,成年人,车道右侧,100米,25km/h,普通车辆,无特殊需求,普通车辆
2894,晴天,白天,潮湿,无车辆,成年人,车道右侧,100米,25km/h,应急车辆,无特殊需求,无
2916,晴天,白天,潮湿,无车辆,儿童,车道右侧,100米,25km/h,卡车,无特殊需求,应急车辆
2936,晴天,白天,潮湿,无车辆,儿童,车道右侧,10米,50km/h,应急车辆,紧急（去医院）,普通车辆
2989,晴天,白天,潮湿,无车辆,成年人,车道中间,10米,50km/h,普通车辆,无特殊需求,无
3012,晴天,白天,潮湿,无车辆,儿童,车道右侧,10米,50km/h,应急车辆,无特殊需求,应急车辆
3016,晴天,白天,潮湿,无车辆,儿童,车道右侧,10米,50km/h,卡车,无特殊需求,无
3019,晴天,白天,潮湿,无车辆,儿童,车道中间,10米,50km/h,卡车,无特殊需求,普通车辆
3024,晴天,白天,潮湿,无车辆,儿童,车道右侧,10米,50km/h,卡车,无特殊需求,应急车辆
3025,晴天,白天,潮湿,无车辆,成年人,车道中间,50米,50km/h,普通车辆,紧急（去医院）,无
3036,晴天,白天,潮湿,无车辆,儿童,车道右侧,50米,50km/h,普通车辆,紧急（去医院）,应急车辆
3063,晴天,白天,潮湿,无车辆,儿童,车道中间,50米,50km/h,普通车辆,赶时间（通勤或赶飞机）,无
3069,晴天,白天,潮湿,无车辆,成年人,车道中间,50米,50km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
3101,晴天,白天,潮湿,无车辆,成年人,车道中间,50米,50km/h,普通车辆,无特殊需求,普通车辆
3114,晴天,白天,潮湿,无车辆,成年人,车道右侧,50米,50km/h,应急车辆,无特殊需求,普通车辆
3143,晴天,白天,潮湿,无车辆,儿童,车道中间,100米,50km/h,普通车辆,紧急（去医院）,应急车辆
3166,晴天,白天,潮湿,无车辆,成年人,车道右侧,100米,50km/h,卡车,紧急（去医院）,应急车辆
3170,晴天,白天,潮湿,无车辆,成年人,车道右侧,100米,50km/h,普通车辆,赶时间（通勤或赶飞机）,无
3185,晴天,白天,潮湿,无车辆,成年人,车道中间,100米,50km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
3201,晴天,白天,潮湿,无车辆,成年人,车道中间,100米,50km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
3208,晴天,白天,潮湿,无车辆,儿童,车道右侧,100米,50km/h,普通车辆,无特殊需求,无
3209,晴天,白天,潮湿,无车辆,成年人,车道中间,100米,50km/h,普通车辆,无特殊需求,普通车辆
3223,晴天,白天,潮湿,无车辆,儿童,车道中间,100米,50km/h,应急车辆,无特殊需求,普通车辆
3257,晴天,白天,潮湿,100米,成年人,车道中间,10米,25km/h,应急车辆,紧急（去医院）,普通车辆
3266,晴天,白天,潮湿,100米,成年人,车道右侧,10米,25km/h,卡车,紧急（去医院）,无
3278,晴天,白天,潮湿,100米,成年人,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,无
3287,晴天,白天,潮湿,100米,儿童,车道中间,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
3311,晴天,白天,潮湿,100米,儿童,车道中间,10米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
3351,晴天,白天,潮湿,100米,儿童,车道中间,50米,25km/h,普通车辆,紧急（去医院）,无
3352,晴天,白天,潮湿,100米,儿童,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,无
3354,晴天,白天,潮湿,100米,成年人,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,普通车辆
3355,晴天,白天,潮湿,100米,儿童,车道中间,50米,25km/h,普通车辆,紧急（去医院）,普通车辆
3377,晴天,白天,潮湿,100米,成年人,车道中间,50米,25km/h,卡车,紧急（去医院）,普通车辆
3394,晴天,白天,潮湿,100米,成年人,车道右侧,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
3406,晴天,白天,潮湿,100米,成年人,车道右侧,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
3464,晴天,白天,潮湿,100米,儿童,车道右侧,100米,25km/h,普通车辆,紧急（去医院）,普通车辆
3474,晴天,白天,潮湿,100米,成年人,车道右侧,100米,25km/h,应急车辆,紧急（去医院）,普通车辆
3483,晴天,白天,潮湿,100米,儿童,车道中间,100米,25km/h,卡车,紧急（去医院）,无
3489,晴天,白天,潮湿,100米,成年人,车道中间,100米,25km/h,卡车,紧急（去医院）,应急车辆
3499,晴天,白天,潮湿,100米,儿童,车道中间,100米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
3506,晴天,白天,潮湿,100米,成年人,车道右侧,100米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
3508,晴天,白天,潮湿,100米,儿童,车道右侧,100米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
3509,晴天,白天,潮湿,100米,成年人,车道中间,100米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
3510,晴天,白天,潮湿,100米,成年人,车道右侧,100米,25km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
3520,晴天,白天,潮湿,100米,儿童,车道右侧,100米,25km/h,卡车,赶时间（通勤或赶飞机）,无
3523,晴天,白天,潮湿,100米,儿童,车道中间,100米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
3526,晴天,白天,潮湿,100米,成年人,车道右侧,100米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
3530,晴天,白天,潮湿,100米,成年人,车道右侧,100米,25km/h,普通车辆,无特殊需求,无
3534,晴天,白天,潮湿,100米,成年人,车道右侧,100米,25km/h,普通车辆,无特殊需求,普通车辆
3572,晴天,白天,潮湿,100米,儿童,车道右侧,10米,50km/h,普通车辆,紧急（去医院）,普通车辆
3579,晴天,白天,潮湿,100米,儿童,车道中间,10米,50km/h,应急车辆,紧急（去医院）,无
3589,晴天,白天,潮湿,100米,成年人,车道中间,10米,50km/h,卡车,紧急（去医院）,无
3610,晴天,白天,潮湿,100米,成年人,车道右侧,10米,50km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
3617,晴天,白天,潮湿,100米,成年人,车道中间,10米,50km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
3634,晴天,白天,潮湿,100米,成年人,车道右侧,10米,50km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
