id,weather,time,road_condition,merging_vehicle_speed,merging_gap,merging_vehicle_type,mainstream_front_space,occupant_requirement,ego_role,ego_state,ego_distance,ego_velocity,following_vehicle
4875,sunny,day,dry,100km/h,100m,emergency vehicle,free,urgent (to hospital),normal car,approaching,50m,30km/h,normal car
4980,sunny,day,dry,100km/h,100m,emergency vehicle,free,hurry (commute or flight),emergency vehicle,approaching,100m,30km/h,normal car
5059,sunny,day,dry,100km/h,100m,emergency vehicle,free,none,emergency vehicle,approaching,100m,80km/h,normal car
5132,sunny,day,dry,100km/h,150m,normal car,free,urgent (to hospital),emergency vehicle,approaching,100m,50km/h,none
5134,sunny,day,dry,100km/h,150m,normal car,free,urgent (to hospital),emergency vehicle,approaching,50m,80km/h,none
5309,sunny,day,dry,100km/h,150m,normal car,free,none,emergency vehicle,approaching,10m,50km/h,normal car
5501,sunny,day,dry,100km/h,150m,truck,free,hurry (commute or flight),truck,approaching,100m,50km/h,emergency vehicle
5596,sunny,day,dry,100km/h,150m,emergency vehicle,free,urgent (to hospital),normal car,approaching,10m,80km/h,none
5694,sunny,day,dry,100km/h,150m,emergency vehicle,free,hurry (commute or flight),normal car,approaching,50m,30km/h,emergency vehicle
5760,sunny,day,dry,100km/h,150m,emergency vehicle,free,none,normal car,approaching,10m,30km/h,none
5859,sunny,day,dry,100km/h,200m,normal car,free,urgent (to hospital),normal car,approaching,10m,30km/h,emergency vehicle
6059,sunny,day,dry,100km/h,200m,normal car,free,none,truck,approaching,100m,50km/h,normal car
6173,sunny,day,dry,100km/h,200m,truck,free,hurry (commute or flight),normal car,approaching,10m,50km/h,normal car
6214,sunny,day,dry,100km/h,200m,truck,free,hurry (commute or flight),truck,approaching,50m,80km/h,none
6316,sunny,day,dry,100km/h,200m,truck,free,none,truck,approaching,10m,80km/h,emergency vehicle
6383,sunny,day,dry,100km/h,200m,emergency vehicle,free,urgent (to hospital),truck,approaching,100m,50km/h,normal car
6822,sunny,day,dry,35km/h,10m,truck,100m,urgent (to hospital),normal car,approaching,10m,30km/h,normal car
7073,sunny,day,dry,35km/h,10m,emergency vehicle,100m,urgent (to hospital),normal car,approaching,10m,50km/h,emergency vehicle
7078,sunny,day,dry,35km/h,10m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,50m,80km/h,none
7096,sunny,day,dry,35km/h,10m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,50m,80km/h,emergency vehicle
7525,sunny,day,dry,35km/h,50m,normal car,100m,none,truck,approaching,100m,80km/h,emergency vehicle
7585,sunny,day,dry,35km/h,50m,truck,100m,urgent (to hospital),emergency vehicle,approaching,10m,80km/h,emergency vehicle
7644,sunny,day,dry,35km/h,50m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,100m,30km/h,none
7816,sunny,day,dry,35km/h,50m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,50m,80km/h,normal car
7911,sunny,day,dry,35km/h,50m,emergency vehicle,100m,hurry (commute or flight),emergency vehicle,approaching,10m,30km/h,emergency vehicle
8115,sunny,day,dry,35km/h,100m,normal car,100m,hurry (commute or flight),normal car,approaching,50m,30km/h,normal car
8263,sunny,day,dry,35km/h,100m,truck,100m,urgent (to hospital),normal car,approaching,100m,80km/h,none
8267,sunny,day,dry,35km/h,100m,truck,100m,urgent (to hospital),normal car,approaching,50m,50km/h,none
8534,sunny,day,dry,35km/h,100m,emergency vehicle,100m,urgent (to hospital),emergency vehicle,approaching,100m,50km/h,none
8599,sunny,day,dry,35km/h,100m,emergency vehicle,100m,hurry (commute or flight),normal car,approaching,50m,80km/h,normal car
8749,sunny,day,dry,60km/h,50m,normal car,100m,urgent (to hospital),normal car,approaching,100m,80km/h,none
8932,sunny,day,dry,60km/h,50m,normal car,100m,none,normal car,approaching,50m,80km/h,emergency vehicle
9062,sunny,day,dry,60km/h,50m,truck,100m,urgent (to hospital),truck,approaching,10m,50km/h,normal car
9254,sunny,day,dry,60km/h,50m,emergency vehicle,100m,urgent (to hospital),normal car,approaching,100m,50km/h,emergency vehicle
9498,sunny,day,dry,60km/h,100m,normal car,100m,urgent (to hospital),normal car,approaching,100m,30km/h,emergency vehicle
9656,sunny,day,dry,60km/h,100m,normal car,100m,none,normal car,approaching,10m,50km/h,normal car
9787,sunny,day,dry,60km/h,100m,truck,100m,urgent (to hospital),truck,approaching,50m,80km/h,normal car
9788,sunny,day,dry,60km/h,100m,truck,100m,urgent (to hospital),truck,approaching,50m,50km/h,normal car
9956,sunny,day,dry,60km/h,100m,truck,100m,none,truck,approaching,100m,50km/h,emergency vehicle
10107,sunny,day,dry,60km/h,100m,emergency vehicle,100m,hurry (commute or flight),truck,approaching,10m,30km/h,none
10366,sunny,day,dry,60km/h,150m,normal car,100m,hurry (commute or flight),truck,approaching,10m,80km/h,emergency vehicle
10384,sunny,day,dry,60km/h,150m,normal car,100m,none,normal car,approaching,10m,80km/h,normal car
10390,sunny,day,dry,60km/h,150m,normal car,100m,none,normal car,approaching,50m,80km/h,emergency vehicle
10399,sunny,day,dry,60km/h,150m,normal car,100m,none,emergency vehicle,approaching,50m,80km/h,none
10415,sunny,day,dry,60km/h,150m,normal car,100m,none,emergency vehicle,approaching,100m,50km/h,emergency vehicle
10423,sunny,day,dry,60km/h,150m,normal car,100m,none,truck,approaching,100m,80km/h,none
10593,sunny,day,dry,60km/h,150m,truck,100m,hurry (commute or flight),truck,approaching,10m,30km/h,none
10650,sunny,day,dry,60km/h,150m,truck,100m,none,emergency vehicle,approaching,100m,30km/h,normal car
10747,sunny,day,dry,60km/h,150m,emergency vehicle,100m,urgent (to hospital),truck,approaching,100m,80km/h,none
10796,sunny,day,dry,60km/h,150m,emergency vehicle,100m,hurry (commute or flight),normal car,approaching,50m,50km/h,emergency vehicle
10829,sunny,day,dry,60km/h,150m,emergency vehicle,100m,hurry (commute or flight),truck,approaching,100m,50km/h,none
11687,sunny,day,dry,100km/h,150m,normal car,100m,urgent (to hospital),normal car,approaching,50m,50km/h,emergency vehicle
11714,sunny,day,dry,100km/h,150m,normal car,100m,urgent (to hospital),emergency vehicle,approaching,50m,50km/h,emergency vehicle
11859,sunny,day,dry,100km/h,150m,normal car,100m,none,emergency vehicle,approaching,50m,30km/h,none
11988,sunny,day,dry,100km/h,150m,truck,100m,urgent (to hospital),truck,approaching,10m,30km/h,emergency vehicle
12170,sunny,day,dry,100km/h,150m,emergency vehicle,100m,urgent (to hospital),normal car,approaching,100m,50km/h,emergency vehicle
12284,sunny,day,dry,100km/h,150m,emergency vehicle,100m,hurry (commute or flight),emergency vehicle,approaching,10m,50km/h,emergency vehicle
12538,sunny,day,dry,100km/h,200m,normal car,100m,hurry (commute or flight),truck,approaching,100m,80km/h,normal car
12582,sunny,day,dry,100km/h,200m,normal car,100m,none,normal car,approaching,10m,30km/h,emergency vehicle
12622,sunny,day,dry,100km/h,200m,normal car,100m,none,truck,approaching,50m,80km/h,normal car
12790,sunny,day,dry,100km/h,200m,truck,100m,hurry (commute or flight),truck,approaching,100m,80km/h,emergency vehicle
13038,sunny,day,dry,100km/h,200m,emergency vehicle,100m,hurry (commute or flight),truck,approaching,50m,30km/h,emergency vehicle
13126,sunny,day,dry,35km/h,10m,normal car,50m,urgent (to hospital),normal car,approaching,50m,80km/h,none
13397,sunny,day,dry,35km/h,10m,truck,50m,urgent (to hospital),emergency vehicle,approaching,50m,50km/h,none
13498,sunny,day,dry,35km/h,10m,truck,50m,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,emergency vehicle
13543,sunny,day,dry,35km/h,10m,truck,50m,none,normal car,approaching,10m,80km/h,normal car
13565,sunny,day,dry,35km/h,10m,truck,50m,none,emergency vehicle,approaching,100m,50km/h,normal car
13638,sunny,day,dry,35km/h,10m,emergency vehicle,50m,urgent (to hospital),emergency vehicle,approaching,100m,30km/h,none
13872,sunny,day,dry,35km/h,50m,normal car,50m,urgent (to hospital),normal car,approaching,100m,30km/h,emergency vehicle
14092,sunny,day,dry,35km/h,50m,normal car,50m,none,truck,approaching,10m,80km/h,emergency vehicle
14179,sunny,day,dry,35km/h,50m,truck,50m,hurry (commute or flight),normal car,approaching,50m,80km/h,none
14425,sunny,day,dry,35km/h,50m,emergency vehicle,50m,hurry (commute or flight),normal car,approaching,10m,80km/h,none
14454,sunny,day,dry,35km/h,50m,emergency vehicle,50m,hurry (commute or flight),emergency vehicle,approaching,10m,30km/h,none
15738,sunny,day,dry,60km/h,50m,truck,50m,none,normal car,approaching,50m,30km/h,emergency vehicle
15978,sunny,day,dry,60km/h,50m,emergency vehicle,50m,none,normal car,approaching,100m,30km/h,emergency vehicle
15982,sunny,day,dry,60km/h,50m,emergency vehicle,50m,none,normal car,approaching,10m,80km/h,emergency vehicle
16013,sunny,day,dry,60km/h,50m,emergency vehicle,50m,none,truck,approaching,100m,50km/h,none
16213,sunny,day,dry,60km/h,100m,normal car,50m,none,normal car,approaching,50m,80km/h,normal car
16281,sunny,day,dry,60km/h,100m,normal car,50m,none,truck,approaching,10m,30km/h,emergency vehicle
16464,sunny,day,dry,60km/h,100m,truck,50m,none,normal car,approaching,100m,30km/h,emergency vehicle
16593,sunny,day,dry,60km/h,100m,emergency vehicle,50m,urgent (to hospital),truck,approaching,50m,30km/h,normal car
16755,sunny,day,dry,60km/h,100m,emergency vehicle,50m,none,truck,approaching,50m,30km/h,normal car
16781,sunny,day,dry,60km/h,150m,normal car,50m,urgent (to hospital),normal car,approaching,50m,50km/h,normal car
17050,sunny,day,dry,60km/h,150m,truck,50m,urgent (to hospital),emergency vehicle,approaching,50m,80km/h,normal car
17300,sunny,day,dry,60km/h,150m,emergency vehicle,50m,urgent (to hospital),emergency vehicle,approaching,100m,50km/h,emergency vehicle
17439,sunny,day,dry,60km/h,150m,emergency vehicle,50m,none,normal car,approaching,50m,30km/h,emergency vehicle
17472,sunny,day,dry,60km/h,150m,emergency vehicle,50m,none,truck,approaching,100m,30km/h,none
17525,sunny,day,dry,100km/h,100m,normal car,50m,urgent (to hospital),emergency vehicle,approaching,100m,50km/h,none
17811,sunny,day,dry,100km/h,100m,truck,50m,urgent (to hospital),truck,approaching,10m,30km/h,normal car
17819,sunny,day,dry,100km/h,100m,truck,50m,urgent (to hospital),truck,approaching,10m,50km/h,emergency vehicle
17873,sunny,day,dry,100km/h,100m,truck,50m,hurry (commute or flight),emergency vehicle,approaching,10m,50km/h,emergency vehicle
17997,sunny,day,dry,100km/h,100m,emergency vehicle,50m,urgent (to hospital),normal car,approaching,50m,30km/h,normal car
18122,sunny,day,dry,100km/h,100m,emergency vehicle,50m,hurry (commute or flight),truck,approaching,50m,50km/h,none
18304,sunny,day,dry,100km/h,150m,normal car,50m,urgent (to hospital),truck,approaching,10m,80km/h,emergency vehicle
18306,sunny,day,dry,100km/h,150m,normal car,50m,urgent (to hospital),truck,approaching,10m,30km/h,emergency vehicle
18572,sunny,day,dry,100km/h,150m,truck,50m,hurry (commute or flight),normal car,approaching,50m,50km/h,emergency vehicle
18678,sunny,day,dry,100km/h,150m,truck,50m,none,emergency vehicle,approaching,100m,30km/h,emergency vehicle
18718,sunny,day,dry,100km/h,150m,emergency vehicle,50m,urgent (to hospital),normal car,approaching,10m,80km/h,none
18732,sunny,day,dry,100km/h,150m,emergency vehicle,50m,urgent (to hospital),normal car,approaching,100m,30km/h,emergency vehicle
18802,sunny,day,dry,100km/h,150m,emergency vehicle,50m,hurry (commute or flight),normal car,approaching,100m,80km/h,normal car
18960,sunny,day,dry,100km/h,200m,normal car,50m,urgent (to hospital),normal car,approaching,50m,30km/h,none
19287,sunny,day,dry,100km/h,200m,truck,50m,hurry (commute or flight),normal car,approaching,10m,30km/h,none
19551,sunny,day,dry,100km/h,200m,emergency vehicle,50m,hurry (commute or flight),emergency vehicle,approaching,100m,30km/h,none
19898,sunny,day,dry,35km/h,10m,normal car,20m,none,emergency vehicle,approaching,10m,50km/h,emergency vehicle
19903,sunny,day,dry,35km/h,10m,normal car,20m,none,truck,approaching,50m,80km/h,none
20022,sunny,day,dry,35km/h,10m,truck,20m,hurry (commute or flight),normal car,approaching,50m,30km/h,normal car
20035,sunny,day,dry,35km/h,10m,truck,20m,hurry (commute or flight),emergency vehicle,approaching,100m,80km/h,none
20547,sunny,day,dry,35km/h,50m,normal car,20m,hurry (commute or flight),emergency vehicle,approaching,10m,30km/h,emergency vehicle
20575,sunny,day,dry,35km/h,50m,normal car,20m,none,normal car,approaching,100m,80km/h,none
20957,sunny,day,dry,35km/h,50m,emergency vehicle,20m,urgent (to hospital),truck,approaching,50m,50km/h,none
21290,sunny,day,dry,35km/h,100m,normal car,20m,hurry (commute or flight),truck,approaching,50m,50km/h,normal car
21649,sunny,day,dry,35km/h,100m,emergency vehicle,20m,urgent (to hospital),normal car,approaching,50m,80km/h,emergency vehicle
21701,sunny,day,dry,35km/h,100m,emergency vehicle,20m,urgent (to hospital),truck,approaching,100m,50km/h,emergency vehicle
21763,sunny,day,dry,35km/h,100m,emergency vehicle,20m,hurry (commute or flight),truck,approaching,100m,80km/h,none
21823,sunny,day,dry,35km/h,100m,emergency vehicle,20m,none,emergency vehicle,approaching,10m,80km/h,none
22176,sunny,day,dry,60km/h,50m,truck,20m,urgent (to hospital),truck,approaching,10m,30km/h,none
22378,sunny,day,dry,60km/h,50m,emergency vehicle,20m,urgent (to hospital),normal car,approaching,50m,80km/h,emergency vehicle
22519,sunny,day,dry,60km/h,50m,emergency vehicle,20m,none,normal car,approaching,100m,80km/h,none
22528,sunny,day,dry,60km/h,50m,emergency vehicle,20m,none,normal car,approaching,100m,80km/h,normal car
22546,sunny,day,dry,60km/h,50m,emergency vehicle,20m,none,emergency vehicle,approaching,100m,80km/h,none
23884,sunny,day,dry,60km/h,150m,emergency vehicle,20m,urgent (to hospital),truck,approaching,10m,80km/h,normal car
24034,sunny,day,dry,60km/h,150m,emergency vehicle,20m,none,truck,approaching,50m,80km/h,none
24290,sunny,day,dry,100km/h,100m,normal car,20m,none,truck,approaching,10m,50km/h,normal car
24444,sunny,day,dry,100km/h,100m,truck,20m,hurry (commute or flight),truck,approaching,10m,30km/h,none
24550,sunny,day,dry,100km/h,100m,emergency vehicle,20m,urgent (to hospital),normal car,approaching,10m,80km/h,none
24807,sunny,day,dry,100km/h,150m,normal car,20m,urgent (to hospital),normal car,approaching,100m,30km/h,emergency vehicle
25279,sunny,day,dry,100km/h,150m,emergency vehicle,20m,urgent (to hospital),normal car,approaching,10m,80km/h,none
25372,sunny,day,dry,100km/h,150m,emergency vehicle,20m,hurry (commute or flight),normal car,approaching,100m,80km/h,emergency vehicle
25579,sunny,day,dry,100km/h,200m,normal car,20m,urgent (to hospital),truck,approaching,100m,80km/h,normal car
25680,sunny,day,dry,100km/h,200m,normal car,20m,none,normal car,approaching,100m,30km/h,none
25775,sunny,day,dry,100km/h,200m,truck,20m,urgent (to hospital),normal car,approaching,10m,50km/h,normal car
25800,sunny,day,dry,100km/h,200m,truck,20m,urgent (to hospital),emergency vehicle,approaching,50m,30km/h,normal car
26306,sunny,day,wet,35km/h,10m,normal car,free,urgent (to hospital),truck,approaching,10m,50km/h,none
26323,sunny,day,wet,35km/h,10m,normal car,free,urgent (to hospital),truck,approaching,10m,80km/h,emergency vehicle
26358,sunny,day,wet,35km/h,10m,normal car,free,hurry (commute or flight),emergency vehicle,approaching,50m,30km/h,none
26611,sunny,day,wet,35km/h,10m,truck,free,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,normal car
26622,sunny,day,wet,35km/h,10m,truck,free,hurry (commute or flight),emergency vehicle,approaching,10m,30km/h,emergency vehicle
27019,sunny,day,wet,35km/h,50m,normal car,free,urgent (to hospital),emergency vehicle,approaching,100m,80km/h,emergency vehicle
27324,sunny,day,wet,35km/h,50m,truck,free,hurry (commute or flight),normal car,approaching,10m,30km/h,emergency vehicle
27472,sunny,day,wet,35km/h,50m,emergency vehicle,free,urgent (to hospital),normal car,approaching,50m,80km/h,normal car
27544,sunny,day,wet,35km/h,50m,emergency vehicle,free,hurry (commute or flight),normal car,approaching,50m,80km/h,none
27694,sunny,day,wet,35km/h,50m,emergency vehicle,free,none,truck,approaching,100m,80km/h,emergency vehicle
27747,sunny,day,wet,35km/h,100m,normal car,free,urgent (to hospital),emergency vehicle,approaching,10m,30km/h,normal car
28132,sunny,day,wet,35km/h,100m,truck,free,none,normal car,approaching,10m,80km/h,emergency vehicle
28150,sunny,day,wet,35km/h,100m,truck,free,none,emergency vehicle,approaching,10m,80km/h,normal car
28151,sunny,day,wet,35km/h,100m,truck,free,none,emergency vehicle,approaching,10m,50km/h,normal car
28194,sunny,day,wet,35km/h,100m,emergency vehicle,free,urgent (to hospital),normal car,approaching,50m,30km/h,none
28552,sunny,day,wet,60km/h,50m,normal car,free,hurry (commute or flight),emergency vehicle,approaching,50m,80km/h,normal car
28908,sunny,day,wet,60km/h,50m,truck,free,none,truck,approaching,10m,30km/h,normal car
28953,sunny,day,wet,60km/h,50m,emergency vehicle,free,urgent (to hospital),emergency vehicle,approaching,10m,30km/h,none
28959,sunny,day,wet,60km/h,50m,emergency vehicle,free,urgent (to hospital),emergency vehicle,approaching,50m,30km/h,normal car
28991,sunny,day,wet,60km/h,50m,emergency vehicle,free,urgent (to hospital),truck,approaching,100m,50km/h,emergency vehicle
29227,sunny,day,wet,60km/h,100m,normal car,free,urgent (to hospital),truck,approaching,50m,80km/h,normal car
29240,sunny,day,wet,60km/h,100m,normal car,free,urgent (to hospital),truck,approaching,10m,50km/h,emergency vehicle
29621,sunny,day,wet,60km/h,100m,truck,free,none,truck,approaching,100m,50km/h,none
29676,sunny,day,wet,60km/h,100m,emergency vehicle,free,urgent (to hospital),emergency vehicle,approaching,100m,30km/h,none
29691,sunny,day,wet,60km/h,100m,emergency vehicle,free,urgent (to hospital),emergency vehicle,approaching,10m,30km/h,normal car
30117,sunny,day,wet,60km/h,150m,normal car,free,none,truck,approaching,100m,30km/h,normal car
30124,sunny,day,wet,60km/h,150m,normal car,free,none,truck,approaching,100m,80km/h,emergency vehicle
30175,sunny,day,wet,60km/h,150m,truck,free,urgent (to hospital),emergency vehicle,approaching,10m,80km/h,normal car
30330,sunny,day,wet,60km/h,150m,truck,free,none,emergency vehicle,approaching,10m,30km/h,none
30482,sunny,day,wet,60km/h,150m,emergency vehicle,free,hurry (commute or flight),normal car,approaching,10m,50km/h,emergency vehicle
30490,sunny,day,wet,60km/h,150m,emergency vehicle,free,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,none
30793,sunny,day,wet,100km/h,100m,normal car,free,none,normal car,approaching,50m,80km/h,normal car
30878,sunny,day,wet,100km/h,100m,truck,free,urgent (to hospital),normal car,approaching,10m,50km/h,normal car
30952,sunny,day,wet,100km/h,100m,truck,free,hurry (commute or flight),normal car,approaching,100m,80km/h,normal car
31409,sunny,day,wet,100km/h,150m,normal car,free,urgent (to hospital),truck,approaching,10m,50km/h,none
31425,sunny,day,wet,100km/h,150m,normal car,free,urgent (to hospital),truck,approaching,50m,30km/h,emergency vehicle
31474,sunny,day,wet,100km/h,150m,normal car,free,hurry (commute or flight),emergency vehicle,approaching,100m,80km/h,emergency vehicle
31521,sunny,day,wet,100km/h,150m,normal car,free,none,normal car,approaching,100m,30km/h,normal car
31541,sunny,day,wet,100km/h,150m,normal car,free,none,emergency vehicle,approaching,50m,50km/h,none
31558,sunny,day,wet,100km/h,150m,normal car,free,none,emergency vehicle,approaching,50m,80km/h,emergency vehicle
31941,sunny,day,wet,100km/h,150m,emergency vehicle,free,hurry (commute or flight),normal car,approaching,10m,30km/h,emergency vehicle
32156,sunny,day,wet,100km/h,200m,normal car,free,urgent (to hospital),truck,approaching,10m,50km/h,emergency vehicle
32396,sunny,day,wet,100km/h,200m,truck,free,urgent (to hospital),truck,approaching,50m,50km/h,emergency vehicle
32630,sunny,day,wet,100km/h,200m,emergency vehicle,free,urgent (to hospital),truck,approaching,50m,50km/h,normal car
32693,sunny,day,wet,100km/h,200m,emergency vehicle,free,hurry (commute or flight),emergency vehicle,approaching,50m,50km/h,emergency vehicle
32951,sunny,day,wet,35km/h,10m,normal car,100m,hurry (commute or flight),truck,approaching,100m,50km/h,normal car
32972,sunny,day,wet,35km/h,10m,normal car,100m,none,normal car,approaching,50m,50km/h,none
33195,sunny,day,wet,35km/h,10m,truck,100m,hurry (commute or flight),truck,approaching,100m,30km/h,normal car
33219,sunny,day,wet,35km/h,10m,truck,100m,none,normal car,approaching,10m,30km/h,none
33644,sunny,day,wet,35km/h,50m,normal car,100m,hurry (commute or flight),emergency vehicle,approaching,100m,50km/h,none
33655,sunny,day,wet,35km/h,50m,normal car,100m,hurry (commute or flight),emergency vehicle,approaching,50m,80km/h,normal car
33903,sunny,day,wet,35km/h,50m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,10m,30km/h,normal car
33918,sunny,day,wet,35km/h,50m,truck,100m,hurry (commute or flight),truck,approaching,50m,30km/h,none
33936,sunny,day,wet,35km/h,50m,truck,100m,hurry (commute or flight),truck,approaching,50m,30km/h,emergency vehicle
34110,sunny,day,wet,35km/h,50m,emergency vehicle,100m,hurry (commute or flight),normal car,approaching,10m,30km/h,none
34210,sunny,day,wet,35km/h,50m,emergency vehicle,100m,none,emergency vehicle,approaching,100m,80km/h,none
34320,sunny,day,wet,35km/h,100m,normal car,100m,urgent (to hospital),truck,approaching,100m,30km/h,none
34347,sunny,day,wet,35km/h,100m,normal car,100m,hurry (commute or flight),normal car,approaching,100m,30km/h,none
34887,sunny,day,wet,35km/h,100m,emergency vehicle,100m,hurry (commute or flight),truck,approaching,100m,30km/h,none
34988,sunny,day,wet,35km/h,100m,emergency vehicle,100m,none,truck,approaching,50m,50km/h,emergency vehicle
35026,sunny,day,wet,60km/h,50m,normal car,100m,urgent (to hospital),emergency vehicle,approaching,10m,80km/h,none
35046,sunny,day,wet,60km/h,50m,normal car,100m,urgent (to hospital),emergency vehicle,approaching,10m,30km/h,emergency vehicle
35193,sunny,day,wet,60km/h,50m,normal car,100m,none,emergency vehicle,approaching,100m,30km/h,normal car
35251,sunny,day,wet,60km/h,50m,truck,100m,urgent (to hospital),normal car,approaching,10m,80km/h,normal car
35350,sunny,day,wet,60km/h,50m,truck,100m,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,none
35592,sunny,day,wet,60km/h,50m,emergency vehicle,100m,hurry (commute or flight),emergency vehicle,approaching,50m,30km/h,none
35988,sunny,day,wet,60km/h,100m,truck,100m,urgent (to hospital),normal car,approaching,50m,30km/h,emergency vehicle
36162,sunny,day,wet,60km/h,100m,truck,100m,none,emergency vehicle,approaching,10m,30km/h,none
36497,sunny,day,wet,60km/h,150m,normal car,100m,urgent (to hospital),emergency vehicle,approaching,100m,50km/h,emergency vehicle
36543,sunny,day,wet,60km/h,150m,normal car,100m,hurry (commute or flight),normal car,approaching,100m,30km/h,normal car
36573,sunny,day,wet,60km/h,150m,normal car,100m,hurry (commute or flight),emergency vehicle,approaching,50m,30km/h,normal car
36633,sunny,day,wet,60km/h,150m,normal car,100m,none,normal car,approaching,100m,30km/h,emergency vehicle
36718,sunny,day,wet,60km/h,150m,truck,100m,urgent (to hospital),normal car,approaching,10m,80km/h,emergency vehicle
36730,sunny,day,wet,60km/h,150m,truck,100m,urgent (to hospital),emergency vehicle,approaching,100m,80km/h,normal car
