id,Météo,Moment de la journée,État de la route,Vitesse du véhicule en insertion,Distance du véhicule en insertion,Type de véhicule en insertion,Espace devant sur la voie principale,Besoin du passager,Rôle du véhicule ego,État du véhicule ego,Distance du véhicule ego,Vitesse du véhicule ego,Véhicule suiveur
1765,ensoleillé,jour,sec,35 km/h,100 m,camion,libre,urgence (vers l'hôpital),camion,en approche,100 m,80 km/h,voiture
1854,ensoleillé,jour,sec,35 km/h,100 m,camion,libre,pressé (travail ou vol),camion,en approche,10 m,30 km/h,voiture
1902,ensoleillé,jour,sec,35 km/h,100 m,camion,libre,aucune,véhicule prioritaire,en approche,100 m,30 km/h,voiture
1924,ensoleillé,jour,sec,35 km/h,100 m,camion,libre,aucune,camion,en approche,10 m,80 km/h,aucun
2000,ensoleillé,jour,sec,35 km/h,100 m,véhicule prioritaire,libre,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,aucun
2114,ensoleillé,jour,sec,35 km/h,100 m,véhicule prioritaire,libre,aucune,voiture,en approche,10 m,50 km/h,aucun
2260,ensoleillé,jour,sec,60 km/h,50 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,100 m,80 km/h,véhicule prioritaire
2539,ensoleillé,jour,sec,60 km/h,50 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,80 km/h,aucun
2628,ensoleillé,jour,sec,60 km/h,50 m,camion,libre,aucune,véhicule prioritaire,en approche,10 m,30 km/h,aucun
2696,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,libre,urgence (vers l'hôpital),voiture,en approche,50 m,50 km/h,véhicule prioritaire
2761,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,libre,pressé (travail ou vol),voiture,en approche,10 m,80 km/h,aucun
2842,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,libre,aucune,voiture,en approche,10 m,80 km/h,aucun
3124,ensoleillé,jour,sec,60 km/h,100 m,voiture,libre,aucune,véhicule prioritaire,en approche,100 m,80 km/h,véhicule prioritaire
3234,ensoleillé,jour,sec,60 km/h,100 m,camion,libre,urgence (vers l'hôpital),camion,en approche,100 m,30 km/h,véhicule prioritaire
3292,ensoleillé,jour,sec,60 km/h,100 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,véhicule prioritaire
3554,ensoleillé,jour,sec,60 km/h,100 m,véhicule prioritaire,libre,pressé (travail ou vol),camion,en approche,10 m,50 km/h,voiture
3816,ensoleillé,jour,sec,60 km/h,150 m,voiture,libre,aucune,voiture,en approche,10 m,30 km/h,aucun
3947,ensoleillé,jour,sec,60 km/h,150 m,camion,libre,urgence (vers l'hôpital),camion,en approche,50 m,50 km/h,aucun
4104,ensoleillé,jour,sec,60 km/h,150 m,camion,libre,aucune,véhicule prioritaire,en approche,10 m,30 km/h,véhicule prioritaire
4233,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,libre,pressé (travail ou vol),voiture,en approche,100 m,30 km/h,véhicule prioritaire
4271,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,libre,pressé (travail ou vol),camion,en approche,50 m,50 km/h,aucun
4418,ensoleillé,jour,sec,100 km/h,100 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,50 km/h,voiture
4679,ensoleillé,jour,sec,100 km/h,100 m,camion,libre,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,aucun
4753,ensoleillé,jour,sec,100 km/h,100 m,camion,libre,pressé (travail ou vol),camion,en approche,100 m,80 km/h,aucun
4860,ensoleillé,jour,sec,100 km/h,100 m,camion,libre,aucune,camion,en approche,10 m,30 km/h,véhicule prioritaire
4875,ensoleillé,jour,sec,100 km/h,100 m,véhicule prioritaire,libre,urgence (vers l'hôpital),voiture,en approche,50 m,30 km/h,voiture
4980,ensoleillé,jour,sec,100 km/h,100 m,véhicule prioritaire,libre,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,30 km/h,voiture
5059,ensoleillé,jour,sec,100 km/h,100 m,véhicule prioritaire,libre,aucune,véhicule prioritaire,en approche,100 m,80 km/h,voiture
5132,ensoleillé,jour,sec,100 km/h,150 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,50 km/h,aucun
5134,ensoleillé,jour,sec,100 km/h,150 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,80 km/h,aucun
5309,ensoleillé,jour,sec,100 km/h,150 m,voiture,libre,aucune,véhicule prioritaire,en approche,10 m,50 km/h,voiture
5501,ensoleillé,jour,sec,100 km/h,150 m,camion,libre,pressé (travail ou vol),camion,en approche,100 m,50 km/h,véhicule prioritaire
5596,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,libre,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,aucun
5694,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,libre,pressé (travail ou vol),voiture,en approche,50 m,30 km/h,véhicule prioritaire
5760,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,libre,aucune,voiture,en approche,10 m,30 km/h,aucun
5859,ensoleillé,jour,sec,100 km/h,200 m,voiture,libre,urgence (vers l'hôpital),voiture,en approche,10 m,30 km/h,véhicule prioritaire
6059,ensoleillé,jour,sec,100 km/h,200 m,voiture,libre,aucune,camion,en approche,100 m,50 km/h,voiture
6173,ensoleillé,jour,sec,100 km/h,200 m,camion,libre,pressé (travail ou vol),voiture,en approche,10 m,50 km/h,voiture
6214,ensoleillé,jour,sec,100 km/h,200 m,camion,libre,pressé (travail ou vol),camion,en approche,50 m,80 km/h,aucun
6316,ensoleillé,jour,sec,100 km/h,200 m,camion,libre,aucune,camion,en approche,10 m,80 km/h,véhicule prioritaire
6383,ensoleillé,jour,sec,100 km/h,200 m,véhicule prioritaire,libre,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,voiture
6822,ensoleillé,jour,sec,35 km/h,10 m,camion,100 m,urgence (vers l'hôpital),voiture,en approche,10 m,30 km/h,voiture
7073,ensoleillé,jour,sec,35 km/h,10 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,véhicule prioritaire
7078,ensoleillé,jour,sec,35 km/h,10 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,80 km/h,aucun
7096,ensoleillé,jour,sec,35 km/h,10 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,80 km/h,véhicule prioritaire
7525,ensoleillé,jour,sec,35 km/h,50 m,voiture,100 m,aucune,camion,en approche,100 m,80 km/h,véhicule prioritaire
7585,ensoleillé,jour,sec,35 km/h,50 m,camion,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,80 km/h,véhicule prioritaire
7644,ensoleillé,jour,sec,35 km/h,50 m,camion,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,30 km/h,aucun
7816,ensoleillé,jour,sec,35 km/h,50 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,80 km/h,voiture
7911,ensoleillé,jour,sec,35 km/h,50 m,véhicule prioritaire,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,30 km/h,véhicule prioritaire
8115,ensoleillé,jour,sec,35 km/h,100 m,voiture,100 m,pressé (travail ou vol),voiture,en approche,50 m,30 km/h,voiture
8263,ensoleillé,jour,sec,35 km/h,100 m,camion,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,80 km/h,aucun
8267,ensoleillé,jour,sec,35 km/h,100 m,camion,100 m,urgence (vers l'hôpital),voiture,en approche,50 m,50 km/h,aucun
8534,ensoleillé,jour,sec,35 km/h,100 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,50 km/h,aucun
8599,ensoleillé,jour,sec,35 km/h,100 m,véhicule prioritaire,100 m,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,voiture
8749,ensoleillé,jour,sec,60 km/h,50 m,voiture,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,80 km/h,aucun
8932,ensoleillé,jour,sec,60 km/h,50 m,voiture,100 m,aucune,voiture,en approche,50 m,80 km/h,véhicule prioritaire
9062,ensoleillé,jour,sec,60 km/h,50 m,camion,100 m,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,voiture
9254,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,véhicule prioritaire
9498,ensoleillé,jour,sec,60 km/h,100 m,voiture,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
9656,ensoleillé,jour,sec,60 km/h,100 m,voiture,100 m,aucune,voiture,en approche,10 m,50 km/h,voiture
9787,ensoleillé,jour,sec,60 km/h,100 m,camion,100 m,urgence (vers l'hôpital),camion,en approche,50 m,80 km/h,voiture
9788,ensoleillé,jour,sec,60 km/h,100 m,camion,100 m,urgence (vers l'hôpital),camion,en approche,50 m,50 km/h,voiture
9956,ensoleillé,jour,sec,60 km/h,100 m,camion,100 m,aucune,camion,en approche,100 m,50 km/h,véhicule prioritaire
10107,ensoleillé,jour,sec,60 km/h,100 m,véhicule prioritaire,100 m,pressé (travail ou vol),camion,en approche,10 m,30 km/h,aucun
10366,ensoleillé,jour,sec,60 km/h,150 m,voiture,100 m,pressé (travail ou vol),camion,en approche,10 m,80 km/h,véhicule prioritaire
10384,ensoleillé,jour,sec,60 km/h,150 m,voiture,100 m,aucune,voiture,en approche,10 m,80 km/h,voiture
10390,ensoleillé,jour,sec,60 km/h,150 m,voiture,100 m,aucune,voiture,en approche,50 m,80 km/h,véhicule prioritaire
10399,ensoleillé,jour,sec,60 km/h,150 m,voiture,100 m,aucune,véhicule prioritaire,en approche,50 m,80 km/h,aucun
10415,ensoleillé,jour,sec,60 km/h,150 m,voiture,100 m,aucune,véhicule prioritaire,en approche,100 m,50 km/h,véhicule prioritaire
10423,ensoleillé,jour,sec,60 km/h,150 m,voiture,100 m,aucune,camion,en approche,100 m,80 km/h,aucun
10593,ensoleillé,jour,sec,60 km/h,150 m,camion,100 m,pressé (travail ou vol),camion,en approche,10 m,30 km/h,aucun
10650,ensoleillé,jour,sec,60 km/h,150 m,camion,100 m,aucune,véhicule prioritaire,en approche,100 m,30 km/h,voiture
10747,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),camion,en approche,100 m,80 km/h,aucun
10796,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,100 m,pressé (travail ou vol),voiture,en approche,50 m,50 km/h,véhicule prioritaire
10829,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,100 m,pressé (travail ou vol),camion,en approche,100 m,50 km/h,aucun
11687,ensoleillé,jour,sec,100 km/h,150 m,voiture,100 m,urgence (vers l'hôpital),voiture,en approche,50 m,50 km/h,véhicule prioritaire
11714,ensoleillé,jour,sec,100 km/h,150 m,voiture,100 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,véhicule prioritaire
11859,ensoleillé,jour,sec,100 km/h,150 m,voiture,100 m,aucune,véhicule prioritaire,en approche,50 m,30 km/h,aucun
11988,ensoleillé,jour,sec,100 km/h,150 m,camion,100 m,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,véhicule prioritaire
12170,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,100 m,urgence (vers l'hôpital),voiture,en approche,100 m,50 km/h,véhicule prioritaire
12284,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,100 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,50 km/h,véhicule prioritaire
12538,ensoleillé,jour,sec,100 km/h,200 m,voiture,100 m,pressé (travail ou vol),camion,en approche,100 m,80 km/h,voiture
12582,ensoleillé,jour,sec,100 km/h,200 m,voiture,100 m,aucune,voiture,en approche,10 m,30 km/h,véhicule prioritaire
12622,ensoleillé,jour,sec,100 km/h,200 m,voiture,100 m,aucune,camion,en approche,50 m,80 km/h,voiture
12790,ensoleillé,jour,sec,100 km/h,200 m,camion,100 m,pressé (travail ou vol),camion,en approche,100 m,80 km/h,véhicule prioritaire
13038,ensoleillé,jour,sec,100 km/h,200 m,véhicule prioritaire,100 m,pressé (travail ou vol),camion,en approche,50 m,30 km/h,véhicule prioritaire
13126,ensoleillé,jour,sec,35 km/h,10 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,50 m,80 km/h,aucun
13397,ensoleillé,jour,sec,35 km/h,10 m,camion,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,50 km/h,aucun
13498,ensoleillé,jour,sec,35 km/h,10 m,camion,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,véhicule prioritaire
13543,ensoleillé,jour,sec,35 km/h,10 m,camion,50 m,aucune,voiture,en approche,10 m,80 km/h,voiture
13565,ensoleillé,jour,sec,35 km/h,10 m,camion,50 m,aucune,véhicule prioritaire,en approche,100 m,50 km/h,voiture
13638,ensoleillé,jour,sec,35 km/h,10 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,30 km/h,aucun
13872,ensoleillé,jour,sec,35 km/h,50 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
14092,ensoleillé,jour,sec,35 km/h,50 m,voiture,50 m,aucune,camion,en approche,10 m,80 km/h,véhicule prioritaire
14179,ensoleillé,jour,sec,35 km/h,50 m,camion,50 m,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,aucun
14425,ensoleillé,jour,sec,35 km/h,50 m,véhicule prioritaire,50 m,pressé (travail ou vol),voiture,en approche,10 m,80 km/h,aucun
14454,ensoleillé,jour,sec,35 km/h,50 m,véhicule prioritaire,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,30 km/h,aucun
15738,ensoleillé,jour,sec,60 km/h,50 m,camion,50 m,aucune,voiture,en approche,50 m,30 km/h,véhicule prioritaire
15978,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,50 m,aucune,voiture,en approche,100 m,30 km/h,véhicule prioritaire
15982,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,50 m,aucune,voiture,en approche,10 m,80 km/h,véhicule prioritaire
16013,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,50 m,aucune,camion,en approche,100 m,50 km/h,aucun
16213,ensoleillé,jour,sec,60 km/h,100 m,voiture,50 m,aucune,voiture,en approche,50 m,80 km/h,voiture
16281,ensoleillé,jour,sec,60 km/h,100 m,voiture,50 m,aucune,camion,en approche,10 m,30 km/h,véhicule prioritaire
16464,ensoleillé,jour,sec,60 km/h,100 m,camion,50 m,aucune,voiture,en approche,100 m,30 km/h,véhicule prioritaire
16593,ensoleillé,jour,sec,60 km/h,100 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),camion,en approche,50 m,30 km/h,voiture
16755,ensoleillé,jour,sec,60 km/h,100 m,véhicule prioritaire,50 m,aucune,camion,en approche,50 m,30 km/h,voiture
16781,ensoleillé,jour,sec,60 km/h,150 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,50 m,50 km/h,voiture
17050,ensoleillé,jour,sec,60 km/h,150 m,camion,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,80 km/h,voiture
17300,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,50 km/h,véhicule prioritaire
17439,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,50 m,aucune,voiture,en approche,50 m,30 km/h,véhicule prioritaire
17472,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,50 m,aucune,camion,en approche,100 m,30 km/h,aucun
17525,ensoleillé,jour,sec,100 km/h,100 m,voiture,50 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,50 km/h,aucun
17811,ensoleillé,jour,sec,100 km/h,100 m,camion,50 m,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,voiture
17819,ensoleillé,jour,sec,100 km/h,100 m,camion,50 m,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,véhicule prioritaire
17873,ensoleillé,jour,sec,100 km/h,100 m,camion,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,50 km/h,véhicule prioritaire
17997,ensoleillé,jour,sec,100 km/h,100 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,50 m,30 km/h,voiture
18122,ensoleillé,jour,sec,100 km/h,100 m,véhicule prioritaire,50 m,pressé (travail ou vol),camion,en approche,50 m,50 km/h,aucun
18304,ensoleillé,jour,sec,100 km/h,150 m,voiture,50 m,urgence (vers l'hôpital),camion,en approche,10 m,80 km/h,véhicule prioritaire
18306,ensoleillé,jour,sec,100 km/h,150 m,voiture,50 m,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,véhicule prioritaire
18572,ensoleillé,jour,sec,100 km/h,150 m,camion,50 m,pressé (travail ou vol),voiture,en approche,50 m,50 km/h,véhicule prioritaire
18678,ensoleillé,jour,sec,100 km/h,150 m,camion,50 m,aucune,véhicule prioritaire,en approche,100 m,30 km/h,véhicule prioritaire
18718,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,aucun
18732,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,50 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
18802,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,50 m,pressé (travail ou vol),voiture,en approche,100 m,80 km/h,voiture
18960,ensoleillé,jour,sec,100 km/h,200 m,voiture,50 m,urgence (vers l'hôpital),voiture,en approche,50 m,30 km/h,aucun
19287,ensoleillé,jour,sec,100 km/h,200 m,camion,50 m,pressé (travail ou vol),voiture,en approche,10 m,30 km/h,aucun
19551,ensoleillé,jour,sec,100 km/h,200 m,véhicule prioritaire,50 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,30 km/h,aucun
19898,ensoleillé,jour,sec,35 km/h,10 m,voiture,20 m,aucune,véhicule prioritaire,en approche,10 m,50 km/h,véhicule prioritaire
19903,ensoleillé,jour,sec,35 km/h,10 m,voiture,20 m,aucune,camion,en approche,50 m,80 km/h,aucun
20022,ensoleillé,jour,sec,35 km/h,10 m,camion,20 m,pressé (travail ou vol),voiture,en approche,50 m,30 km/h,voiture
20035,ensoleillé,jour,sec,35 km/h,10 m,camion,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,80 km/h,aucun
20547,ensoleillé,jour,sec,35 km/h,50 m,voiture,20 m,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,30 km/h,véhicule prioritaire
20575,ensoleillé,jour,sec,35 km/h,50 m,voiture,20 m,aucune,voiture,en approche,100 m,80 km/h,aucun
20957,ensoleillé,jour,sec,35 km/h,50 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),camion,en approche,50 m,50 km/h,aucun
21290,ensoleillé,jour,sec,35 km/h,100 m,voiture,20 m,pressé (travail ou vol),camion,en approche,50 m,50 km/h,voiture
21649,ensoleillé,jour,sec,35 km/h,100 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),voiture,en approche,50 m,80 km/h,véhicule prioritaire
21701,ensoleillé,jour,sec,35 km/h,100 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,véhicule prioritaire
21763,ensoleillé,jour,sec,35 km/h,100 m,véhicule prioritaire,20 m,pressé (travail ou vol),camion,en approche,100 m,80 km/h,aucun
21823,ensoleillé,jour,sec,35 km/h,100 m,véhicule prioritaire,20 m,aucune,véhicule prioritaire,en approche,10 m,80 km/h,aucun
22176,ensoleillé,jour,sec,60 km/h,50 m,camion,20 m,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,aucun
22378,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),voiture,en approche,50 m,80 km/h,véhicule prioritaire
22519,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,20 m,aucune,voiture,en approche,100 m,80 km/h,aucun
22528,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,20 m,aucune,voiture,en approche,100 m,80 km/h,voiture
22546,ensoleillé,jour,sec,60 km/h,50 m,véhicule prioritaire,20 m,aucune,véhicule prioritaire,en approche,100 m,80 km/h,aucun
23884,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),camion,en approche,10 m,80 km/h,voiture
24034,ensoleillé,jour,sec,60 km/h,150 m,véhicule prioritaire,20 m,aucune,camion,en approche,50 m,80 km/h,aucun
24290,ensoleillé,jour,sec,100 km/h,100 m,voiture,20 m,aucune,camion,en approche,10 m,50 km/h,voiture
24444,ensoleillé,jour,sec,100 km/h,100 m,camion,20 m,pressé (travail ou vol),camion,en approche,10 m,30 km/h,aucun
24550,ensoleillé,jour,sec,100 km/h,100 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,aucun
24807,ensoleillé,jour,sec,100 km/h,150 m,voiture,20 m,urgence (vers l'hôpital),voiture,en approche,100 m,30 km/h,véhicule prioritaire
25279,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,20 m,urgence (vers l'hôpital),voiture,en approche,10 m,80 km/h,aucun
25372,ensoleillé,jour,sec,100 km/h,150 m,véhicule prioritaire,20 m,pressé (travail ou vol),voiture,en approche,100 m,80 km/h,véhicule prioritaire
25579,ensoleillé,jour,sec,100 km/h,200 m,voiture,20 m,urgence (vers l'hôpital),camion,en approche,100 m,80 km/h,voiture
25680,ensoleillé,jour,sec,100 km/h,200 m,voiture,20 m,aucune,voiture,en approche,100 m,30 km/h,aucun
25775,ensoleillé,jour,sec,100 km/h,200 m,camion,20 m,urgence (vers l'hôpital),voiture,en approche,10 m,50 km/h,voiture
25800,ensoleillé,jour,sec,100 km/h,200 m,camion,20 m,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,voiture
26306,ensoleillé,jour,mouillé,35 km/h,10 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,aucun
26323,ensoleillé,jour,mouillé,35 km/h,10 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,10 m,80 km/h,véhicule prioritaire
26358,ensoleillé,jour,mouillé,35 km/h,10 m,voiture,libre,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,30 km/h,aucun
26611,ensoleillé,jour,mouillé,35 km/h,10 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,voiture
26622,ensoleillé,jour,mouillé,35 km/h,10 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,30 km/h,véhicule prioritaire
27019,ensoleillé,jour,mouillé,35 km/h,50 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,80 km/h,véhicule prioritaire
27324,ensoleillé,jour,mouillé,35 km/h,50 m,camion,libre,pressé (travail ou vol),voiture,en approche,10 m,30 km/h,véhicule prioritaire
27472,ensoleillé,jour,mouillé,35 km/h,50 m,véhicule prioritaire,libre,urgence (vers l'hôpital),voiture,en approche,50 m,80 km/h,voiture
27544,ensoleillé,jour,mouillé,35 km/h,50 m,véhicule prioritaire,libre,pressé (travail ou vol),voiture,en approche,50 m,80 km/h,aucun
27694,ensoleillé,jour,mouillé,35 km/h,50 m,véhicule prioritaire,libre,aucune,camion,en approche,100 m,80 km/h,véhicule prioritaire
27747,ensoleillé,jour,mouillé,35 km/h,100 m,voiture,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,30 km/h,voiture
28132,ensoleillé,jour,mouillé,35 km/h,100 m,camion,libre,aucune,voiture,en approche,10 m,80 km/h,véhicule prioritaire
28150,ensoleillé,jour,mouillé,35 km/h,100 m,camion,libre,aucune,véhicule prioritaire,en approche,10 m,80 km/h,voiture
28151,ensoleillé,jour,mouillé,35 km/h,100 m,camion,libre,aucune,véhicule prioritaire,en approche,10 m,50 km/h,voiture
28194,ensoleillé,jour,mouillé,35 km/h,100 m,véhicule prioritaire,libre,urgence (vers l'hôpital),voiture,en approche,50 m,30 km/h,aucun
28552,ensoleillé,jour,mouillé,60 km/h,50 m,voiture,libre,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,voiture
28908,ensoleillé,jour,mouillé,60 km/h,50 m,camion,libre,aucune,camion,en approche,10 m,30 km/h,voiture
28953,ensoleillé,jour,mouillé,60 km/h,50 m,véhicule prioritaire,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,10 m,30 km/h,aucun
28959,ensoleillé,jour,mouillé,60 km/h,50 m,véhicule prioritaire,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,50 m,30 km/h,voiture
28991,ensoleillé,jour,mouillé,60 km/h,50 m,véhicule prioritaire,libre,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,véhicule prioritaire
29227,ensoleillé,jour,mouillé,60 km/h,100 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,50 m,80 km/h,voiture
29240,ensoleillé,jour,mouillé,60 km/h,100 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,10 m,50 km/h,véhicule prioritaire
29621,ensoleillé,jour,mouillé,60 km/h,100 m,camion,libre,aucune,camion,en approche,100 m,50 km/h,aucun
