id,天气,时间,路况,并车车速,并车与本车距,并车车辆类型,主车道前方空隙,乘客需求,本车角色,本车状态,本车距合流点距离,本车速度,后车类型
9788,晴天,白天,干燥,60公里/小时,100米,卡车,100米,紧急（送医）,卡车,接近中,50米,50公里/小时,普通轿车
9956,晴天,白天,干燥,60公里/小时,100米,卡车,100米,无特殊需求,卡车,接近中,100米,50公里/小时,应急车辆
10107,晴天,白天,干燥,60公里/小时,100米,应急车辆,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,30公里/小时,无
10366,晴天,白天,干燥,60公里/小时,150米,普通轿车,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,80公里/小时,应急车辆
10384,晴天,白天,干燥,60公里/小时,150米,普通轿车,100米,无特殊需求,普通轿车,接近中,10米,80公里/小时,普通轿车
10390,晴天,白天,干燥,60公里/小时,150米,普通轿车,100米,无特殊需求,普通轿车,接近中,50米,80公里/小时,应急车辆
10399,晴天,白天,干燥,60公里/小时,150米,普通轿车,100米,无特殊需求,应急车辆,接近中,50米,80公里/小时,无
10415,晴天,白天,干燥,60公里/小时,150米,普通轿车,100米,无特殊需求,应急车辆,接近中,100米,50公里/小时,应急车辆
10423,晴天,白天,干燥,60公里/小时,150米,普通轿车,100米,无特殊需求,卡车,接近中,100米,80公里/小时,无
10593,晴天,白天,干燥,60公里/小时,150米,卡车,100米,赶时间（通勤/赶飞机）,卡车,接近中,10米,30公里/小时,无
10650,晴天,白天,干燥,60公里/小时,150米,卡车,100米,无特殊需求,应急车辆,接近中,100米,30公里/小时,普通轿车
10747,晴天,白天,干燥,60公里/小时,150米,应急车辆,100米,紧急（送医）,卡车,接近中,100米,80公里/小时,无
10796,晴天,白天,干燥,60公里/小时,150米,应急车辆,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,50公里/小时,应急车辆
10829,晴天,白天,干燥,60公里/小时,150米,应急车辆,100米,赶时间（通勤/赶飞机）,卡车,接近中,100米,50公里/小时,无
11687,晴天,白天,干燥,100公里/小时,150米,普通轿车,100米,紧急（送医）,普通轿车,接近中,50米,50公里/小时,应急车辆
11714,晴天,白天,干燥,100公里/小时,150米,普通轿车,100米,紧急（送医）,应急车辆,接近中,50米,50公里/小时,应急车辆
11859,晴天,白天,干燥,100公里/小时,150米,普通轿车,100米,无特殊需求,应急车辆,接近中,50米,30公里/小时,无
11988,晴天,白天,干燥,100公里/小时,150米,卡车,100米,紧急（送医）,卡车,接近中,10米,30公里/小时,应急车辆
12170,晴天,白天,干燥,100公里/小时,150米,应急车辆,100米,紧急（送医）,普通轿车,接近中,100米,50公里/小时,应急车辆
12284,晴天,白天,干燥,100公里/小时,150米,应急车辆,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,50公里/小时,应急车辆
12538,晴天,白天,干燥,100公里/小时,200米,普通轿车,100米,赶时间（通勤/赶飞机）,卡车,接近中,100米,80公里/小时,普通轿车
12582,晴天,白天,干燥,100公里/小时,200米,普通轿车,100米,无特殊需求,普通轿车,接近中,10米,30公里/小时,应急车辆
12622,晴天,白天,干燥,100公里/小时,200米,普通轿车,100米,无特殊需求,卡车,接近中,50米,80公里/小时,普通轿车
12790,晴天,白天,干燥,100公里/小时,200米,卡车,100米,赶时间（通勤/赶飞机）,卡车,接近中,100米,80公里/小时,应急车辆
13038,晴天,白天,干燥,100公里/小时,200米,应急车辆,100米,赶时间（通勤/赶飞机）,卡车,接近中,50米,30公里/小时,应急车辆
13126,晴天,白天,干燥,35公里/小时,10米,普通轿车,50米,紧急（送医）,普通轿车,接近中,50米,80公里/小时,无
13397,晴天,白天,干燥,35公里/小时,10米,卡车,50米,紧急（送医）,应急车辆,接近中,50米,50公里/小时,无
13498,晴天,白天,干燥,35公里/小时,10米,卡车,50米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,应急车辆
13543,晴天,白天,干燥,35公里/小时,10米,卡车,50米,无特殊需求,普通轿车,接近中,10米,80公里/小时,普通轿车
13565,晴天,白天,干燥,35公里/小时,10米,卡车,50米,无特殊需求,应急车辆,接近中,100米,50公里/小时,普通轿车
13638,晴天,白天,干燥,35公里/小时,10米,应急车辆,50米,紧急（送医）,应急车辆,接近中,100米,30公里/小时,无
13872,晴天,白天,干燥,35公里/小时,50米,普通轿车,50米,紧急（送医）,普通轿车,接近中,100米,30公里/小时,应急车辆
14092,晴天,白天,干燥,35公里/小时,50米,普通轿车,50米,无特殊需求,卡车,接近中,10米,80公里/小时,应急车辆
14179,晴天,白天,干燥,35公里/小时,50米,卡车,50米,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,80公里/小时,无
14425,晴天,白天,干燥,35公里/小时,50米,应急车辆,50米,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,80公里/小时,无
14454,晴天,白天,干燥,35公里/小时,50米,应急车辆,50米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,30公里/小时,无
15738,晴天,白天,干燥,60公里/小时,50米,卡车,50米,无特殊需求,普通轿车,接近中,50米,30公里/小时,应急车辆
15978,晴天,白天,干燥,60公里/小时,50米,应急车辆,50米,无特殊需求,普通轿车,接近中,100米,30公里/小时,应急车辆
15982,晴天,白天,干燥,60公里/小时,50米,应急车辆,50米,无特殊需求,普通轿车,接近中,10米,80公里/小时,应急车辆
16013,晴天,白天,干燥,60公里/小时,50米,应急车辆,50米,无特殊需求,卡车,接近中,100米,50公里/小时,无
16213,晴天,白天,干燥,60公里/小时,100米,普通轿车,50米,无特殊需求,普通轿车,接近中,50米,80公里/小时,普通轿车
16281,晴天,白天,干燥,60公里/小时,100米,普通轿车,50米,无特殊需求,卡车,接近中,10米,30公里/小时,应急车辆
16464,晴天,白天,干燥,60公里/小时,100米,卡车,50米,无特殊需求,普通轿车,接近中,100米,30公里/小时,应急车辆
16593,晴天,白天,干燥,60公里/小时,100米,应急车辆,50米,紧急（送医）,卡车,接近中,50米,30公里/小时,普通轿车
16755,晴天,白天,干燥,60公里/小时,100米,应急车辆,50米,无特殊需求,卡车,接近中,50米,30公里/小时,普通轿车
16781,晴天,白天,干燥,60公里/小时,150米,普通轿车,50米,紧急（送医）,普通轿车,接近中,50米,50公里/小时,普通轿车
17050,晴天,白天,干燥,60公里/小时,150米,卡车,50米,紧急（送医）,应急车辆,接近中,50米,80公里/小时,普通轿车
17300,晴天,白天,干燥,60公里/小时,150米,应急车辆,50米,紧急（送医）,应急车辆,接近中,100米,50公里/小时,应急车辆
17439,晴天,白天,干燥,60公里/小时,150米,应急车辆,50米,无特殊需求,普通轿车,接近中,50米,30公里/小时,应急车辆
17472,晴天,白天,干燥,60公里/小时,150米,应急车辆,50米,无特殊需求,卡车,接近中,100米,30公里/小时,无
17525,晴天,白天,干燥,100公里/小时,100米,普通轿车,50米,紧急（送医）,应急车辆,接近中,100米,50公里/小时,无
17811,晴天,白天,干燥,100公里/小时,100米,卡车,50米,紧急（送医）,卡车,接近中,10米,30公里/小时,普通轿车
17819,晴天,白天,干燥,100公里/小时,100米,卡车,50米,紧急（送医）,卡车,接近中,10米,50公里/小时,应急车辆
17873,晴天,白天,干燥,100公里/小时,100米,卡车,50米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,50公里/小时,应急车辆
17997,晴天,白天,干燥,100公里/小时,100米,应急车辆,50米,紧急（送医）,普通轿车,接近中,50米,30公里/小时,普通轿车
18122,晴天,白天,干燥,100公里/小时,100米,应急车辆,50米,赶时间（通勤/赶飞机）,卡车,接近中,50米,50公里/小时,无
18304,晴天,白天,干燥,100公里/小时,150米,普通轿车,50米,紧急（送医）,卡车,接近中,10米,80公里/小时,应急车辆
18306,晴天,白天,干燥,100公里/小时,150米,普通轿车,50米,紧急（送医）,卡车,接近中,10米,30公里/小时,应急车辆
18572,晴天,白天,干燥,100公里/小时,150米,卡车,50米,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,50公里/小时,应急车辆
18678,晴天,白天,干燥,100公里/小时,150米,卡车,50米,无特殊需求,应急车辆,接近中,100米,30公里/小时,应急车辆
18718,晴天,白天,干燥,100公里/小时,150米,应急车辆,50米,紧急（送医）,普通轿车,接近中,10米,80公里/小时,无
18732,晴天,白天,干燥,100公里/小时,150米,应急车辆,50米,紧急（送医）,普通轿车,接近中,100米,30公里/小时,应急车辆
18802,晴天,白天,干燥,100公里/小时,150米,应急车辆,50米,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,80公里/小时,普通轿车
18960,晴天,白天,干燥,100公里/小时,200米,普通轿车,50米,紧急（送医）,普通轿车,接近中,50米,30公里/小时,无
19287,晴天,白天,干燥,100公里/小时,200米,卡车,50米,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,30公里/小时,无
19551,晴天,白天,干燥,100公里/小时,200米,应急车辆,50米,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,30公里/小时,无
19898,晴天,白天,干燥,35公里/小时,10米,普通轿车,20米,无特殊需求,应急车辆,接近中,10米,50公里/小时,应急车辆
19903,晴天,白天,干燥,35公里/小时,10米,普通轿车,20米,无特殊需求,卡车,接近中,50米,80公里/小时,无
20022,晴天,白天,干燥,35公里/小时,10米,卡车,20米,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,30公里/小时,普通轿车
20035,晴天,白天,干燥,35公里/小时,10米,卡车,20米,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,80公里/小时,无
20547,晴天,白天,干燥,35公里/小时,50米,普通轿车,20米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,30公里/小时,应急车辆
20575,晴天,白天,干燥,35公里/小时,50米,普通轿车,20米,无特殊需求,普通轿车,接近中,100米,80公里/小时,无
20957,晴天,白天,干燥,35公里/小时,50米,应急车辆,20米,紧急（送医）,卡车,接近中,50米,50公里/小时,无
21290,晴天,白天,干燥,35公里/小时,100米,普通轿车,20米,赶时间（通勤/赶飞机）,卡车,接近中,50米,50公里/小时,普通轿车
21649,晴天,白天,干燥,35公里/小时,100米,应急车辆,20米,紧急（送医）,普通轿车,接近中,50米,80公里/小时,应急车辆
21701,晴天,白天,干燥,35公里/小时,100米,应急车辆,20米,紧急（送医）,卡车,接近中,100米,50公里/小时,应急车辆
21763,晴天,白天,干燥,35公里/小时,100米,应急车辆,20米,赶时间（通勤/赶飞机）,卡车,接近中,100米,80公里/小时,无
21823,晴天,白天,干燥,35公里/小时,100米,应急车辆,20米,无特殊需求,应急车辆,接近中,10米,80公里/小时,无
22176,晴天,白天,干燥,60公里/小时,50米,卡车,20米,紧急（送医）,卡车,接近中,10米,30公里/小时,无
22378,晴天,白天,干燥,60公里/小时,50米,应急车辆,20米,紧急（送医）,普通轿车,接近中,50米,80公里/小时,应急车辆
22519,晴天,白天,干燥,60公里/小时,50米,应急车辆,20米,无特殊需求,普通轿车,接近中,100米,80公里/小时,无
22528,晴天,白天,干燥,60公里/小时,50米,应急车辆,20米,无特殊需求,普通轿车,接近中,100米,80公里/小时,普通轿车
22546,晴天,白天,干燥,60公里/小时,50米,应急车辆,20米,无特殊需求,应急车辆,接近中,100米,80公里/小时,无
23884,晴天,白天,干燥,60公里/小时,150米,应急车辆,20米,紧急（送医）,卡车,接近中,10米,80公里/小时,普通轿车
24034,晴天,白天,干燥,60公里/小时,150米,应急车辆,20米,无特殊需求,卡车,接近中,50米,80公里/小时,无
24290,晴天,白天,干燥,100公里/小时,100米,普通轿车,20米,无特殊需求,卡车,接近中,10米,50公里/小时,普通轿车
24444,晴天,白天,干燥,100公里/小时,100米,卡车,20米,赶时间（通勤/赶飞机）,卡车,接近中,10米,30公里/小时,无
24550,晴天,白天,干燥,100公里/小时,100米,应急车辆,20米,紧急（送医）,普通轿车,接近中,10米,80公里/小时,无
24807,晴天,白天,干燥,100公里/小时,150米,普通轿车,20米,紧急（送医）,普通轿车,接近中,100米,30公里/小时,应急车辆
25279,晴天,白天,干燥,100公里/小时,150米,应急车辆,20米,紧急（送医）,普通轿车,接近中,10米,80公里/小时,无
25372,晴天,白天,干燥,100公里/小时,150米,应急车辆,20米,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,80公里/小时,应急车辆
25579,晴天,白天,干燥,100公里/小时,200米,普通轿车,20米,紧急（送医）,卡车,接近中,100米,80公里/小时,普通轿车
25680,晴天,白天,干燥,100公里/小时,200米,普通轿车,20米,无特殊需求,普通轿车,接近中,100米,30公里/小时,无
25775,晴天,白天,干燥,100公里/小时,200米,卡车,20米,紧急（送医）,普通轿车,接近中,10米,50公里/小时,普通轿车
25800,晴天,白天,干燥,100公里/小时,200米,卡车,20米,紧急（送医）,应急车辆,接近中,50米,30公里/小时,普通轿车
26306,晴天,白天,湿滑,35公里/小时,10米,普通轿车,畅通,紧急（送医）,卡车,接近中,10米,50公里/小时,无
26323,晴天,白天,湿滑,35公里/小时,10米,普通轿车,畅通,紧急（送医）,卡车,接近中,10米,80公里/小时,应急车辆
26358,晴天,白天,湿滑,35公里/小时,10米,普通轿车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,30公里/小时,无
26611,晴天,白天,湿滑,35公里/小时,10米,卡车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,普通轿车
26622,晴天,白天,湿滑,35公里/小时,10米,卡车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,30公里/小时,应急车辆
27019,晴天,白天,湿滑,35公里/小时,50米,普通轿车,畅通,紧急（送医）,应急车辆,接近中,100米,80公里/小时,应急车辆
27324,晴天,白天,湿滑,35公里/小时,50米,卡车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,30公里/小时,应急车辆
27472,晴天,白天,湿滑,35公里/小时,50米,应急车辆,畅通,紧急（送医）,普通轿车,接近中,50米,80公里/小时,普通轿车
27544,晴天,白天,湿滑,35公里/小时,50米,应急车辆,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,80公里/小时,无
27694,晴天,白天,湿滑,35公里/小时,50米,应急车辆,畅通,无特殊需求,卡车,接近中,100米,80公里/小时,应急车辆
27747,晴天,白天,湿滑,35公里/小时,100米,普通轿车,畅通,紧急（送医）,应急车辆,接近中,10米,30公里/小时,普通轿车
28132,晴天,白天,湿滑,35公里/小时,100米,卡车,畅通,无特殊需求,普通轿车,接近中,10米,80公里/小时,应急车辆
28150,晴天,白天,湿滑,35公里/小时,100米,卡车,畅通,无特殊需求,应急车辆,接近中,10米,80公里/小时,普通轿车
28151,晴天,白天,湿滑,35公里/小时,100米,卡车,畅通,无特殊需求,应急车辆,接近中,10米,50公里/小时,普通轿车
28194,晴天,白天,湿滑,35公里/小时,100米,应急车辆,畅通,紧急（送医）,普通轿车,接近中,50米,30公里/小时,无
28552,晴天,白天,湿滑,60公里/小时,50米,普通轿车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,80公里/小时,普通轿车
28908,晴天,白天,湿滑,60公里/小时,50米,卡车,畅通,无特殊需求,卡车,接近中,10米,30公里/小时,普通轿车
28953,晴天,白天,湿滑,60公里/小时,50米,应急车辆,畅通,紧急（送医）,应急车辆,接近中,10米,30公里/小时,无
28959,晴天,白天,湿滑,60公里/小时,50米,应急车辆,畅通,紧急（送医）,应急车辆,接近中,50米,30公里/小时,普通轿车
28991,晴天,白天,湿滑,60公里/小时,50米,应急车辆,畅通,紧急（送医）,卡车,接近中,100米,50公里/小时,应急车辆
29227,晴天,白天,湿滑,60公里/小时,100米,普通轿车,畅通,紧急（送医）,卡车,接近中,50米,80公里/小时,普通轿车
29240,晴天,白天,湿滑,60公里/小时,100米,普通轿车,畅通,紧急（送医）,卡车,接近中,10米,50公里/小时,应急车辆
29621,晴天,白天,湿滑,60公里/小时,100米,卡车,畅通,无特殊需求,卡车,接近中,100米,50公里/小时,无
29676,晴天,白天,湿滑,60公里/小时,100米,应急车辆,畅通,紧急（送医）,应急车辆,接近中,100米,30公里/小时,无
29691,晴天,白天,湿滑,60公里/小时,100米,应急车辆,畅通,紧急（送医）,应急车辆,接近中,10米,30公里/小时,普通轿车
30117,晴天,白天,湿滑,60公里/小时,150米,普通轿车,畅通,无特殊需求,卡车,接近中,100米,30公里/小时,普通轿车
30124,晴天,白天,湿滑,60公里/小时,150米,普通轿车,畅通,无特殊需求,卡车,接近中,100米,80公里/小时,应急车辆
30175,晴天,白天,湿滑,60公里/小时,150米,卡车,畅通,紧急（送医）,应急车辆,接近中,10米,80公里/小时,普通轿车
30330,晴天,白天,湿滑,60公里/小时,150米,卡车,畅通,无特殊需求,应急车辆,接近中,10米,30公里/小时,无
30482,晴天,白天,湿滑,60公里/小时,150米,应急车辆,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,50公里/小时,应急车辆
30490,晴天,白天,湿滑,60公里/小时,150米,应急车辆,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,无
30793,晴天,白天,湿滑,100公里/小时,100米,普通轿车,畅通,无特殊需求,普通轿车,接近中,50米,80公里/小时,普通轿车
30878,晴天,白天,湿滑,100公里/小时,100米,卡车,畅通,紧急（送医）,普通轿车,接近中,10米,50公里/小时,普通轿车
30952,晴天,白天,湿滑,100公里/小时,100米,卡车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,80公里/小时,普通轿车
31409,晴天,白天,湿滑,100公里/小时,150米,普通轿车,畅通,紧急（送医）,卡车,接近中,10米,50公里/小时,无
31425,晴天,白天,湿滑,100公里/小时,150米,普通轿车,畅通,紧急（送医）,卡车,接近中,50米,30公里/小时,应急车辆
